;;;;;BTOP50 Index Historical Data ROR;;;;;;;
;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
1987;11.000%;-0.670%;1.760%;14.530%;0.880%;0.170%;4.790%;-0.130%;-0.750%;-0.450%;9.770%;6.960%
1988;-3.670%;1.100%;-0.190%;-3.930%;5.590%;12.930%;-1.760%;0.780%;0.660%;2.220%;0.070%;1.050%
1989;3.370%;-3.600%;2.550%;-1.700%;7.310%;-0.170%;0.040%;-3.920%;-1.320%;-3.020%;1.310%;3.110%
1990;0.080%;0.440%;1.230%;2.990%;-3.150%;0.220%;3.630%;4.930%;2.290%;2.080%;0.740%;-0.940%
1991;-4.930%;0.240%;5.610%;0.580%;-2.380%;2.870%;-1.850%;-0.500%;4.440%;-1.460%;1.460%;10.630%
1992;-6.630%;-2.320%;-0.300%;-3.160%;0.270%;5.840%;7.400%;5.150%;-2.080%;-0.470%;1.290%;-1.570%
1993;-0.910%;6.870%;-0.480%;3.170%;1.250%;1.120%;3.140%;-0.150%;-0.890%;-0.920%;-0.910%;1.660%
1994;-3.100%;-2.150%;2.090%;-0.830%;2.120%;3.480%;-1.990%;-2.990%;1.030%;0.870%;1.370%;-0.650%
1995;-2.680%;2.930%;7.150%;1.290%;1.480%;-1.580%;-1.780%;2.000%;-1.280%;0.460%;1.810%;3.690%
1996;2.610%;-4.950%;0.070%;3.740%;-1.700%;0.340%;0.020%;-0.320%;2.800%;5.230%;4.780%;-1.540%
1997;3.150%;2.510%;0.270%;-1.100%;-1.310%;0.940%;4.970%;-3.030%;0.630%;-0.080%;1.580%;2.090%
1998;0.830%;-1.210%;1.850%;-3.130%;2.300%;0.270%;0.160%;5.540%;4.600%;1.810%;-2.380%;2.160%
1999;-2.010%;2.410%;-0.660%;2.520%;-0.930%;3.050%;-1.630%;0.990%;-0.010%;-3.710%;1.550%;0.280%
2000;0.710%;-1.900%;-2.510%;-2.550%;0.240%;-1.740%;-1.310%;0.400%;-2.840%;2.050%;6.870%;9.830%
2001;0.640%;0.130%;5.160%;-4.200%;0.500%;-0.850%;-0.480%;2.050%;2.520%;3.840%;-6.960%;2.050%
2002;-0.500%;-2.870%;0.210%;-1.720%;2.910%;7.290%;3.580%;2.170%;3.390%;-4.060%;-2.570%;5.760%
2003;5.220%;5.610%;-5.800%;1.610%;5.530%;-2.420%;-1.810%;1.990%;-0.490%;2.360%;-0.430%;3.840%
2004;0.710%;3.920%;-0.830%;-4.280%;-1.370%;-2.720%;-1.010%;-1.200%;0.300%;3.050%;4.110%;0.550%
2005;-2.870%;0.980%;0.200%;-2.180%;1.450%;2.000%;-0.240%;-0.010%;1.830%;0.160%;2.710%;-1.140%
2006;1.110%;-0.590%;2.130%;2.430%;-1.740%;-1.110%;-1.390%;-0.410%;-0.290%;1.230%;2.130%;2.080%
2007;1.120%;-1.630%;-1.100%;2.350%;2.600%;1.710%;-1.200%;-2.790%;3.470%;2.420%;-0.110%;0.700%
2008;1.830%;4.770%;-0.240%;-1.450%;1.220%;2.220%;-2.200%;-1.910%;-0.040%;4.910%;2.360%;1.630%
2009;0.160%;0.040%;-1.950%;-1.640%;0.980%;-1.660%;-0.370%;0.390%;1.430%;-1.690%;2.090%;-2.530%
2010;-1.980%;0.690%;1.970%;0.860%;-2.400%;-0.380%;-0.690%;3.140%;1.650%;2.050%;-1.770%;3.290%
2011;-1.160%;0.460%;-1.330%;2.260%;-2.600%;-1.080%;1.940%;-0.390%;0.090%;-2.410%;0.010%;0.000%
2012;0.580%;0.600%;-1.720%;0.370%;1.800%;-1.740%;2.290%;-1.390%;-0.890%;-2.400%;0.310%;0.460%
2013;1.420%;0.270%;0.230%;1.520%;-1.400%;-1.530%;-1.140%;-1.200%;-0.440%;1.210%;1.080%;0.810%
2014;-1.000%;-0.220%;-0.080%;0.330%;1.480%;0.030%;-0.730%;2.640%;1.860%;1.260%;5.200%;1.080%
2015;4.040%;-0.600%;1.460%;-2.820%;-0.680%;-4.380%;2.470%;-1.900%;1.730%;-1.160%;2.880%;-1.610%
2016;2.870%;2.290%;-2.890%;-2.140%;-1.590%;2.090%;1.450%;-2.120%;-1.690%;-2.160%;-0.830%;0.410%
2017;-1.420%;0.570%;-0.920%;-0.570%;0.110%;-2.600%;0.630%;1.870%;-2.000%;3.080%;-0.290%;0.860%
2018;3.020%;-5.590%;0.180%;0.360%;-2.130%;0.590%;-0.540%;1.640%;0.080%;-2.340%;-0.380%;0.670%
2019;-1.740%;0.510%;2.980%;3.170%;-1.670%;2.080%;3.050%;3.770%;-3.070%;-2.630%;0.740%;-0.380%
2020;0.140%;-1.320%;-1.070%;0.300%;-0.100%;;;;;;;
;;;;;;;;;;;;
;;;;;BTOP50 Index Historical Data VAMI;;;;;;;
;Jan;Feb;Mar;Apr;May;June;July;Aug;Sep;Oct;Nov;Dec
1987;1110.005;1102.599;1122.0092;1285.0057;1296.3189;1298.4799;1360.6965;1358.9848;1348.8046;1342.7863;1473.9134;1576.4963
1988;1518.5679;1535.3132;1532.3592;1472.162;1554.4264;1755.4324;1724.5105;1737.9927;1749.4652;1788.3086;1789.5908;1808.3815
1989;1869.248;1801.9924;1848.0316;1816.6778;1949.3898;1946.1187;1946.8193;1870.5683;1845.9198;1790.1656;1813.6651;1870.0774
1990;1871.5267;1879.7895;1902.9391;1959.7437;1897.9412;1902.1793;1971.1809;2068.3088;2115.669;2159.6453;2175.5208;2155.034
1991;2048.8296;2053.673;2168.9724;2181.5611;2129.6116;2190.6888;2150.2378;2139.4328;2234.4236;2201.8502;2234.0082;2471.3895
