Year, Month, Return, Assets
2003,4,-0.85,246475
2003,5,1.68,250774
2003,6,-7.85,230892
2003,7,-1.38,227696
2003,8,5.53,240297
2003,9,4.57,251480
2003,10,8.36,274918
2003,11,1.77,280281
2003,12,7.3,302949
2004,1,6.17,340928
2004,2,4.18,356538
2004,3,1.84,363800
2004,4,1.44,384311
2004,5,5.1,405423
2004,6,-1.52,398662
2004,7,0.83,409013
2004,8,-5.01,387960
2004,9,5.47,409540
2004,10,-3.21,378523
2004,11,6.47,403864
2004,12,-2.6,392478
2005,1,-3.31,379917
2005,2,-5.71,358211
2005,3,0.95,361613
2005,4,-3.42,349253
2005,5,5.65,369004
2005,6,7.04,395147
2005,7,3.48,410663
2005,8,-2.16,401936
2005,9,2.51,407429
2005,10,-3.58,399548
2005,11,5.51,419204
2005,12,2.78,432063
2006,1,3.26,458381
2006,2,-0.24,457212
2006,3,6.47,487178
2006,4,2.5,512805
2006,5,-2.71,497011
2006,6,1.92,502392
2006,7,0.66,509513
2006,8,1.28,516541
2006,9,-0.58,513304
2006,10,1.37,523351
2006,11,-0.51,520488
2006,12,1.06,526405
2007,1,2.88,1105391
2007,2,-5.25,982511
2007,3,-3.56,910757
2007,4,3.88,971706
2007,5,2.46,1019505
2007,6,2.86,1081667
2007,7,-0.2,1094530
2007,8,-8.61,901212
2007,9,2.41,944706
2007,10,7.45,1084073
2007,11,2.32,1136435
2007,12,-0.26,1129991
2008,1,-0.58,1067107
2008,2,5.99,1204317
2008,3,0.65,1221772
2008,4,-1.7,1225730
2008,5,0.69,1242718
2008,6,0.29,1249991
2008,7,-1.52,1212020
2008,8,3.75,1305429
2008,9,-2.55,1225875
2008,10,19.78,1739094
2008,11,0.9,1761532
2008,12,0.15,1753873
2009,1,-1.54,2358882
2009,2,1.11,2411245
2009,3,1.06,2465498
2009,4,0.61,2483680
2009,5,5.54,2759737
2009,6,-3.61,2649693
2009,7,-2.59,2545570
2009,8,0.95,2573973
2009,9,-0.94,2805376
2009,10,0.64,2850709
2009,11,4.27,3073948
2009,12,-2.09,2934358
2010,1,0.07,2871479
2010,2,-3.41,2675040
2010,3,-0.49,2619003
2010,4,-1.07,2512801
2010,5,7.39,2891948
2010,6,-0.27,2874824
2010,7,0.41,2879343
2010,8,0.64,2919004
2010,9,1.59,2967723
2010,10,-0.44,2906491
2010,11,-2.23,2776761
2010,12,-1.76,2679037
2011,1,-0.41,2536961
2011,2,1.35,2586325
2011,3,-4.67,2326190
2011,4,2.32,2404040
2011,5,0.75,2419766
2011,6,-1.34,2335314
2011,7,1.86,2391727
2011,8,4.62,2590642
2011,9,2.96,2717655
2011,10,-2.28,1971106
2011,11,-1.67,1792395
2011,12,1.69,1913152
2012,1,-1.91,1767017
2012,2,-2.23,2035531
2012,3,-1.38,3472387
2012,4,-1.04,1686843
2012,5,4.62,1998652
2012,6,2.8,2044719
2012,7,-2.9,1682947
2012,8,-1.91,1628918
2012,9,0.37,1709301
2012,10,-4.02,1394149
2012,11,6.25,1742863
2012,12,-1.52,1683891
2013,1,-0.11,1676950
2013,2,3,2003625
2013,3,-0.85,1819803
2013,4,1.61,1936546
2013,5,1.04,1912920
2013,6,-2.35,1660520
2013,7,-1.38,1568931
2013,8,0.84,1627367
2013,9,1.98,1730239
2013,10,3.69,1870927
2013,11,-0.96,1645653
2013,12,0.72,1692711
2014,1,0.51,1686915
2014,2,0.49,1719797
2014,3,-1.28,1575059
2014,4,-3.29,1367883
2014,5,1.93,1473549
2014,6,2.93,1646562
2014,7,-1.06,1538070
2014,8,-1.29,1458587
2014,9,6.52,1687548
2014,10,3.34,1693608
2014,11,1.76,1826803
2014,12,0.15,1838830
2015,1,1.51,1869758
2015,2,0.34,1916542
2015,3,1.26,1490374
2015,4,-1.53,1545748
2015,5,0.68,1483840
2015,6,-1.61,1489316
2015,7,1.94,1443547
2015,8,-2.5,1487688
2015,9,-0.6,1364924
2015,10,-0.9,1328017
2015,11,-0.66,1283522
2015,12,-2.1,1231606
2016,1,7.16,677483
2016,2,0.6,395662
2016,3,5.15,423521
2016,4,0.27,487008
2016,5,-1.06,485656
2016,6,2.77,482984
2016,7,-2.07,511184
2016,8,-0.43,476670
2016,9,-2.27,459807
2016,10,-0.96,423696
2016,11,-0.52,409197
2016,12,-0.09,402397
2017,1,-3.38,387786
2017,2,-3.52,334894
2017,3,4.96,313026
2017,4,1.26,361857
2017,5,3.07,386836
2017,6,-0.02,421258
2017,7,4.94,411175
2017,8,-5.09,418734
2017,9,2.26,359350
2017,10,-1.67,376749
2017,11,-1.47,352337
2017,12,2.55,475143
2018,1,4.66,753078
2018,2,1.98,873900
2018,3,0.47,941077
2018,4,1.61,982165
2018,5,-0.55,1040344
2018,6,1.64,1039601
2018,7,-1.37,1095718
2018,8,2.56,995643
2018,9,0.74,1096114
2018,10,4.13,1074155
2018,11,-0.8,1040833
2018,12,-0.41,998879
2019,1,1.63,1004089
2019,2,0.25,1076646
2019,3,1.11,1105615
2019,4,2.58,1075825
2019,5,0.98,1044863
2019,6,-0.32,1003402
2019,7,1.44,1009739
2019,8,5.88,5208336
2019,9,-2.85,7737725
2019,10,0.1,7544820
2019,11,0.6,10588094
2019,12,0.68,10656514
2020,1,-0.02,12048336
2020,2,2.51,17419337
2020,3,4.92,21754947
2020,4,-4.34,21692028
