Year, Month, Return, Assets
2006,12,-0.45,30000
2007,1,2.83,30000
2007,2,12.28,30000
2007,3,4.19,60000
2007,4,25.23,90000
2007,5,15.83,210000
2007,6,-20.86,1450000
2007,7,-9.7,3850000
2007,8,28.01,14850000
2007,9,-25.28,17800000
2007,10,-6.67,13900000
2007,11,22.94,12800000
2007,12,-3.07,15400000
2008,1,31.43,13600000
2008,2,-5.85,17100000
2008,3,-3.83,17700000
2008,4,10.25,19900000
2008,5,12.3,22500000
2008,6,11.7,22400000
2008,7,1.8,22700000
2008,8,1.38,33400000
2008,9,3.75,33900000
2008,10,1.41,36400000
2008,11,-1.29,37500000
2008,12,4.14,36800000
2009,1,9.33,39700000
2009,2,1.35,46800000
2009,3,6.06,58200000
2009,4,1.47,65000000
2009,5,-1.93,67000000
2009,6,2.66,85200000
2009,7,1.8,94800000
2009,8,0.06,98238000
2009,9,-0.55,98600000
2009,10,3.14,98000000
2009,11,2.74,103900000
2009,12,-0.05,115450000
2010,1,-3.62,115628000
2010,2,4.82,111600000
2010,3,0.56,122400000
2010,4,10.37,126150000
2010,5,2.24,151000000
2010,6,-2.42,157000000
2010,7,0.57,152000000
2010,8,4.4,154000000
2010,9,0.69,169500000
2010,10,-0.21,172100000
2010,11,-4.04,171900000
2010,12,-1.63,163500000
2011,1,14.7,170500000
2011,2,-1.02,217900000
2011,3,2.25,215100000
2011,4,0.52,169000000
2011,5,6.5,168800000
2011,6,2.69,208900000
2011,7,-0.46,146000000
2011,8,-1.94,218700000
2011,9,3.47,218700000
2011,10,1.14,158400000
2011,11,-0.38,172400000
2011,12,3.18,274000000
2012,1,-0.65,298086000
2012,2,-4.51,323000000
2012,3,-2.7,349000000
2012,4,5.24,426106000
2012,5,-1.81,469300000
2012,6,-2.55,464800000
2012,7,-8,418130000
2012,8,-0.67,409840000
2012,9,1.49,411898000
2012,10,1.41,421033000
2012,11,0.81,427045000
2012,12,0.27,404764000
2013,1,-2.65,386939000
2013,2,0.53,387647000
2013,3,-2.04,367687000
2013,4,0.46,353807000
2013,5,1.6,364102000
2013,6,-4.21,344841000
2013,7,-6.35,182913000
2013,8,1.39,148523000
2013,9,3.26,146152000
2013,10,0.02,102934000
2013,11,0.34,74454000
2013,12,1.53,84194000
2014,1,-4.92,75950000
2014,2,-0.38,72673000
2014,3,1.37,73659000
2014,4,3.18,77889000
2014,5,-1.77,29259000
2014,6,-0.95,28449000
2014,7,6.37,29633000
2014,8,-1.59,29637000
2014,9,-0.41,29633000
2014,10,1.53,26797000
2014,11,-0.35,39876000
2014,12,-8.46,40876000
2015,1,1.91,26497000
2015,2,-1.97,25497000
2015,3,6.03,17978936
2015,4,6.32,18834899
2015,5,0.86,16890157
2015,6,-0.23,17737971
2015,7,-0.55,16894377
2015,8,1.4,17000000
2015,9,-5.32,16000000
2015,10,-1.71,13000000
2015,11,2.48,13000000
2015,12,-2.61,12000000
2016,1,7.13,13000000
2016,2,-1.36,13000000
2016,3,2.5,13000000
2016,4,0.12,13000000
2016,5,-1.4,13000000
2016,6,2.86,13000000
2016,7,3.68,13000000
2016,8,-0.11,13000000
2016,9,-0.22,13000000
2016,10,0.46,13000000
2016,11,1.61,13000000
2016,12,-1.25,13000000
2017,1,3.42,13000000
2017,2,0.11,13000000
2017,3,0.56,13000000
2017,4,0.87,14000000
2017,5,-0.21,14000000
2017,6,0.17,14000000
2017,7,-0.65,14000000
2017,8,-0.7,14000000
2017,9,-4.49,14000000
2017,10,0.03,14000000
2017,11,-1.49,13000000
2017,12,0.29,10000000
2018,1,-1.19,10000000
2018,2,0.54,8000000
2018,3,1.82,8000000
2018,4,0.49,8000000
2018,5,-0.36,8000000
2018,6,0.2,11000000
2018,7,0.47,11000000
2018,8,-1.2,11000000
2018,9,1.38,11000000
2018,10,-2.66,11000000
2018,11,5.56,11000000
2018,12,-8.67,11000000
2019,1,1.95,11000000
2019,2,-2.18,11000000
2019,3,2.83,8000000
2019,4,1.12,8000000
2019,5,-4.38,8000000
2019,6,0.59,8000000
2019,7,-0.36,8000000
2019,8,-0.78,8000000
2019,9,0.44,8000000
2019,10,-4.5,8000000
2019,11,-0.75,8000000
2019,12,3.23,8000000
2020,1,-8.84,8000000
2020,2,-6.2,8000000
2020,3,-1.17,8000000
