Year, Month, Return, Assets
1999,5,-0.29,5000000
1999,6,-0.14,5000000
1999,7,-2.22,5000000
1999,8,2.13,5000000
1999,9,-4.81,5000000
1999,10,-4.8,5000000
1999,11,7.01,5000000
1999,12,4.84,5000000
2000,1,-5.02,5000000
2000,2,2.52,5000000
2000,3,-8.4,5000000
2000,4,-0.27,5000000
2000,5,6.97,5000000
2000,6,1.55,5000000
2000,7,-1.25,5000000
2000,8,12.68,5000000
2000,9,-4.36,5000000
2000,10,1.96,5000000
2000,11,9.05,5000000
2000,12,8.9,5000000
2001,1,-9.62,5000000
2001,2,18.76,5000000
2001,3,13.46,5000000
2001,4,-15.25,5000000
2001,5,-0.66,5000000
2001,6,5.39,5000000
2001,7,-1.26,5000000
2001,8,0,0
2001,9,0,0
2001,10,0,0
2001,11,0,0
2001,12,0,0
2002,1,0,0
2002,2,0,0
2002,3,-7.52,5500000
2002,4,1.55,5600000
2002,5,6.75,6000000
2002,6,7.38,6400000
2002,7,5.95,6800000
2002,8,5.44,6900000
2002,9,5.13,7200000
2002,10,-7.73,7700000
2002,11,-5.08,8300000
2002,12,7.8,14000000
2003,1,13.2,15500000
2003,2,7.22,16300000
2003,3,-12.83,14700000
2003,4,1.45,10600000
2003,5,7.64,12300000
2003,6,-7.61,12400000
2003,7,-6.33,12500000
2003,8,0.07,12500000
2003,9,6.66,20900000
2003,10,15.32,24300000
2003,11,-0.27,24500000
2003,12,5.35,26300000
2004,1,4.19,30400000
2004,2,8.45,34600000
2004,3,2.37,49700000
2004,4,-11.5,54000000
2004,5,-6.99,48800000
2004,6,-0.73,51700000
2004,7,-0.41,51900000
2004,8,-6.21,49000000
2004,9,7.76,52000000
2004,10,0.76,54000000
2004,11,9.63,59500000
2004,12,-4.94,56600000
2005,1,-4.28,65000000
2005,2,0.54,66100000
2005,3,2.3,72800000
2005,4,-9.28,73100000
2005,5,-4.08,67400000
2005,6,5.32,67700000
2005,7,6.62,75000000
2005,8,2.78,81400000
2005,9,13.57,89000000
2005,10,-5.64,82700000
2005,11,15.27,96000000
2005,12,8.35,102800000
2006,1,11.09,120400000
2006,2,-2.7,119200000
2006,3,13.05,135000000
2006,4,11.46,156000000
2006,5,-4.27,151000000
2006,6,-6.1,131000000
2006,7,-5.2,124000000
2006,8,1.95,118000000
2006,9,1,124000000
2006,10,-0.13,131000000
2006,11,0.56,135000000
2006,12,1.6,135000000
2007,1,0.56,148000000
2007,2,-5.18,153000000
2007,3,-8.82,148000000
2007,4,2.59,154000000
2007,5,4.7,150000000
2007,6,4.85,201000000
2007,7,-16.89,169000000
2007,8,-19.4,125000000
2007,9,3.92,91000000
2007,10,13.72,91000000
2007,11,-8.59,79000000
2007,12,8.47,86000000
2008,1,21.65,98000000
2008,2,28.86,127000000
2008,3,-7.96,114000000
2008,4,-8.58,105000000
2008,5,5.35,110000000
2008,6,8.51,120000000
2008,7,-18.78,96000000
2008,8,-6.73,89000000
2008,9,11.58,100000000
2008,10,45.49,114000000
2008,11,6.97,120000000
2008,12,5.3,128000000
2009,1,1.6,109000000
2009,2,-0.03,108000000
2009,3,-3.36,105000000
2009,4,-5.51,96000000
2009,5,-1.3,96000000
2009,6,-6.81,89000000
2009,7,-0.53,89000000
2009,8,10.85,99000000
2009,9,1.32,101000000
2009,10,-7.86,93000000
2009,11,10.7,104000000
2009,12,-3.19,100000000
2010,1,-3.84,96000000
2010,2,-7.15,89000000
2010,3,-5.15,96000000
2010,4,2.02,98000000
2010,5,-8.77,96000000
2010,6,0.53,97000000
2010,7,-12.03,86000000
2010,8,14.59,115000000
2010,9,16.46,133000000
2010,10,22.29,162000000
2010,11,-5.36,153000000
2010,12,25.3,159000000
2011,1,2.07,161000000
2011,2,9.78,178000000
2011,3,-4.62,172000000
2011,4,6.07,186000000
2011,5,-11.82,162000000
2011,6,-7.41,162000000
2011,7,11.15,180000000
2011,8,1.59,188000000
2011,9,-4.2,183000000
2011,10,-14.14,174000000
2011,11,12.05,193000000
2011,12,-1.64,190000000
2012,1,-3.75,186000000
2012,2,0.78,189000000
2012,3,5.21,198000000
2012,4,-1.08,194000000
2012,5,-0.9,190000000
2012,6,-18.12,161000000
2012,7,11.38,181000000
2012,8,-6.26,170500000
2012,9,-8.58,157100000
2012,10,-15.07,135000000
2012,11,-0.97,133400000
2012,12,0.76,133000000
2013,1,10.46,149000000
2013,2,7.39,159000000
2013,3,9.29,173000000
2013,4,9.73,187000000
2013,5,0.13,187000000
2013,6,-3.15,180000000
2013,7,-4.03,171000000
2013,8,-10.9,153000000
2013,9,2.61,142000000
2013,10,7.29,156000000
2013,11,11.58,156000000
2013,12,-1.24,150000000
2014,1,-1.46,164000000
2014,2,1.36,157000000
2014,3,4.65,156000000
2014,4,2.67,161000000
2014,5,-4.47,148000000
2014,6,2.37,143000000
2014,7,2.25,146000000
2014,8,9.33,158000000
2014,9,17.69,180000000
2014,10,-1.67,176000000
2014,11,13.05,198000000
2014,12,9.05,218000000
2015,1,6.93,233000000
2015,2,-0.5,215000000
2015,3,3.84,221000000
2015,4,-7.98,207000000
2015,5,4.13,186000000
2015,6,-6.07,178000000
2015,7,4.77,185000000
2015,8,-9.23,194000000
2015,9,6.15,200000000
2015,10,-11.05,179000000
2015,11,13.52,200000000
2015,12,-2.1,187000000
2016,1,5.94,197000000
2016,2,10.75,223000000
2016,3,-13.52,196000000
2016,4,-2.84,192000000
2016,5,-8.35,176000000
2016,6,27.33,224000000
2016,7,-1.01,214000000
2016,8,-13.3,187000000
2016,9,18.22,223000000
2016,10,-10.77,200000000
2016,11,-0.71,204000000
2016,12,-5.05,193000000
2017,1,-6.33,181000000
2017,2,9.23,197000000
2017,3,-7.77,182000000
2017,4,8.97,163000000
2017,5,-0.41,164000000
2017,6,-4.53,155000000
2017,7,-5.42,149000000
2017,8,2.38,163000000
2017,9,-8.08,152000000
2017,10,10.68,160000000
2017,11,-2.29,183000000
2017,12,7.93,183000000
2018,1,12.99,205000000
2018,2,-15.33,174000000
2018,3,-6.57,164000000
2018,4,3.46,168000000
2018,5,-7.23,155000000
2018,6,4.57,159000000
2018,7,15.55,182000000
2018,8,16.15,186000000
2018,9,-1.12,184000000
2018,10,-25.79,135000000
2018,11,15.6,153000000
2018,12,-6.35,144000000
2019,1,-19.33,110000000
2019,2,-2.94,103000000
2019,3,10.05,114000000
