Year, Month, Return, Assets
2005,10,-2.79,0
2005,11,13.21,0
2005,12,6.62,2130000
2006,1,16.03,2130000
2006,2,-5.95,2130000
2006,3,6.56,2130000
2006,4,17.13,2130000
2006,5,-7.87,2130000
2006,6,-7.02,2130000
2006,7,-6.87,2130000
2006,8,-2.57,2130000
2006,9,1.69,2130000
2006,10,6.79,2130000
2006,11,6.61,2130000
2006,12,8.45,4440000
2007,1,1.47,4440000
2007,2,-5.38,4440000
2007,3,-4.6,4440000
2007,4,10.21,4440000
2007,5,0.63,4440000
2007,6,1.13,4440000
2007,7,-6.01,4440000
2007,8,-8.95,4440000
2007,9,16.47,4440000
2007,10,14.24,4440000
2007,11,-7.1,4440000
2007,12,9.75,7890000
2008,1,7.64,7890000
2008,2,21.31,7890000
2008,3,-5.86,7890000
2008,4,-7.01,7890000
2008,5,9.03,7890000
2008,6,14.02,7890000
2008,7,-15.52,7890000
2008,8,-17.46,7890000
2008,9,5.58,7890000
2008,10,0.67,7890000
2008,11,14.76,7890000
2008,12,9.45,23010000
2009,1,4.98,23010000
2009,2,2,23010000
2009,3,-5.11,23010000
2009,4,-11.75,23010000
2009,5,-4.79,23010000
2009,6,-7.88,23010000
2009,7,-5.4,23010000
2009,8,3.17,23010000
2009,9,8.42,23010000
2009,10,-6.72,23010000
2009,11,26.74,23010000
2009,12,-15.67,19460000
2010,1,-11.4,19460000
2010,2,4.7,19460000
2010,3,12.54,19460000
2010,4,10.14,19460000
2010,5,-15.88,19460000
2010,6,3.85,19460000
2010,7,-6.99,19460000
2010,8,8.63,19460000
2010,9,9.01,19460000
2010,10,8.75,19460000
2010,11,-0.64,19460000
2010,12,13.73,14980000
2011,1,-9.84,14980000
2011,2,10.44,14980000
2011,3,1.3,14980000
2011,4,17.94,17000000
2011,5,-9.94,17000000
2011,6,-4.53,13910000
2011,7,14.19,13910000
2011,8,12.46,13910000
2011,9,-14.43,16900000
2011,10,-5.22,16900000
2011,11,-1.57,16900000
2011,12,-15.96,11560000
2012,1,10.83,11560000
2012,2,-0.13,11560000
2012,3,-9.68,11190000
2012,4,-1.27,11190000
2012,5,10.99,11190000
2012,6,-9.26,10740000
2012,7,2.34,10740000
2012,8,2.12,10740000
2012,9,2.22,10820000
2012,10,-7.74,10820000
2012,11,-5.06,10820000
2012,12,0.37,8020000
2013,1,3.38,8020000
2013,2,-4.4,8020000
2013,3,2.49,7880000
2013,4,4.08,8050000
2013,5,-13.16,6930000
2013,6,-15.32,5690000
2013,7,7.35,6090000
2013,8,4.5,6150000
2013,9,-7.94,5600000
2013,10,2.32,5710000
2013,11,-5.11,5340000
2013,12,-2.35,5120000
2014,1,0.32,5140000
2014,2,10.59,5590000
2014,3,-6.68,4960000
2014,4,-0.23,4880000
2014,5,-2.57,4660000
2014,6,5.66,4730000
2014,7,-4.83,4480000
2014,8,6.6,4740000
2014,9,-4.31,4430000
2014,10,-4.83,3790000
2014,11,7.92,4080000
2014,12,-0.93,4040000
2015,1,11.64,4390000
2015,2,-3.45,4220000
2015,3,-1.76,4060000
2015,4,-2.71,3790000
2015,5,0.29,3790000
2015,6,-8.98,3330000
2015,7,-2.57,3240000
2015,8,-3.61,3130000
2015,9,-1.72,2960000
2015,10,3.26,2990000
2015,11,-1.48,2930000
2015,12,-3.03,2840000
2016,1,5.43,2980000
2016,2,11.76,3290000
2016,3,-1.31,3250000
2016,4,-0.75,3220000
2016,5,-8.26,2920000
2016,6,9.59,3200000
2016,7,4.54,3340000
2016,8,-6.36,2120000
2016,9,-1.32,2090000
2016,10,-8.47,1700000
2016,11,-9.08,1530000
2016,12,-3.41,1530000
2017,1,5,1550000
2017,2,5.99,1580000
2017,3,-0.76,1570000
2017,4,1.55,1590000
2017,5,1.26,1610000
2017,6,-4.76,1500000
2017,7,5.28,1520000
2017,8,5.5,1600000
2017,9,-3.58,1550000
2017,10,5.22,1400000
2017,11,0.19,5530000
2017,12,4.19,10160000
2018,1,6.66,10650000
2018,2,-9.23,9440000
2018,3,1.49,9520000
2018,4,-1.4,9290000
2018,5,-3.5,8940000
2018,6,-5.59,8360000
2018,7,-2.29,7940000
2018,8,-2.95,7650000
2018,9,-4.42,7280000
2018,10,-4.64,6910000
2018,11,0.77,6950000
2018,12,4.85,7280000
2019,1,5.19,7530000
2019,2,1.24,7520000
2019,3,-0.13,7410000
2019,4,2.05,7320000
2019,5,-1.38,7180000
2019,6,11.44,7980000
2019,7,1.71,8030000
2019,8,11.18,8900000
2019,9,-7.24,8190000
2019,10,1.05,8270000
2019,11,-1.72,8120000
2019,12,4.09,8420000
2020,1,7.45,8970000
2020,2,-1.51,8770000
2020,3,2.25,9030000
2020,4,7.34,10050000
