Year, Month, Return, Assets
1992,10,-3.22,1742050
1992,11,0.97,1758890
1992,12,2.13,1999340
1993,1,1.67,2032780
1993,2,1.46,5069340
1993,3,-2.3,4952570
1993,4,-0.97,4904480
1993,5,7.72,5882710
1993,6,6.77,7088740
1993,7,2.02,7399170
1993,8,7.43,7088740
1993,9,2.58,8087500
1993,10,1.29,8293430
1993,11,3.26,9195680
1993,12,3.68,9533680
1994,1,-5.06,8649680
1994,2,-8.48,7915870
1994,3,8.07,11367400
1994,4,8.38,17568800
1994,5,4.96,23516200
1994,6,0.43,24968200
1994,7,8.07,28743100
1994,8,-9.62,16546100
1994,9,-1.24,18116400
1994,10,1.52,28661700
1994,11,-3.29,28897600
1994,12,-0.23,32550000
1995,1,4,36511100
1995,2,3.85,37829700
1995,3,6.57,41409800
1995,4,4.11,47087100
1995,5,1.36,49175200
1995,6,0.52,49466600
1995,7,0.51,54123100
1995,8,5.97,52040200
1995,9,4.38,56832300
1995,10,-1.92,57545500
1995,11,0.12,58821700
1995,12,-9.17,55992200
1996,1,5.88,78144096
1996,2,-10.64,72607296
1996,3,13.39,83875200
1996,4,5.82,93900000
1996,5,-1.04,91529000
1996,6,8.31,98430400
1996,7,-7.92,92800000
1996,8,9.14,101455000
1996,9,5.82,107159000
1996,10,3.22,126121000
1996,11,0.75,109444000
1996,12,7.2,117016000
1997,1,1.7,115424000
1997,2,0.32,140287008
1997,3,-2.39,140670000
1997,4,-4.58,139000000
1997,5,-5.69,150000000
1997,6,0.92,191170000
1997,7,-0.69,194100000
1997,8,-8.66,187620000
1997,9,1.33,192210000
1997,10,-5.08,131510000
1997,11,3.61,125500000
1997,12,6.72,133400000
1998,1,-3.31,127540000
1998,2,-3.83,121450000
1998,3,-10.72,99175200
1998,4,-5.91,81545904
1998,5,-0.74,69242096
1998,6,-7.8,80662496
1998,7,10.67,85531504
1998,8,-7.26,76151400
1998,9,-12.96,66492000
1998,10,-0.36,49512800
1998,11,12.34,47043600
1998,12,9.21,41532800
1999,1,-3.83,37975400
1999,2,4.33,38173100
1999,3,4.91,38377900
1999,4,6.01,39799300
1999,5,-6.9,37860700
1999,6,13.93,40707400
1999,7,1.11,40769600
1999,8,2.24,40942000
1999,9,-6.52,37883600
1999,10,-1.73,37586900
1999,11,8.7,40210300
1999,12,7.61,40091600
2000,1,0.07,41098100
2000,2,4.9,42026000
2000,3,-3.25,38215800
2000,4,-8.82,34441900
2000,5,4.38,35929900
2000,6,10,38365300
2000,7,-9.01,34221400
2000,8,11.73,38043100
2000,9,-4.14,36183900
2000,10,6.45,38199300
2000,11,-1.46,36673300
2000,12,-1.38,35748400
2001,1,-0.91,35171300
2001,2,2.89,35806300
2001,3,10.33,39584000
2001,4,-4.23,37504100
2001,5,-6.1,35325200
2001,6,-0.15,35139000
2001,7,-2.15,34336200
2001,8,0.29,34242300
2001,9,2.36,34001000
2001,10,3.62,34824000
2001,11,-2.49,33217600
2001,12,0.69,33400000
2002,1,-2.96,32268700
2002,2,-1.69,30000000
2002,3,3.81,32000000
2002,4,0.26,31014400
2002,5,-5.86,28750000
2002,6,3.3,27908900
2002,7,5.22,28994900
2002,8,5.19,29782200
2002,9,3.93,29905200
