Year, Month, Return, Assets
2001,2,0.6,4623420
2001,3,11.9,7267676
2001,4,-3.7,9265500
2001,5,-1.5,8784594
2001,6,2.7,9005736
2001,7,0,9373392
2001,8,4.2,10044918
2001,9,-7.3,10396728
2001,10,0.7,10322816
2001,11,-1.3,10169033
2001,12,13.2,10367335
2002,1,2.6,11338800
2002,2,-1.9,11245872
2002,3,-4.8,11720247
2002,4,-0.2,12035674
2002,5,8,13241800
2002,6,8.4,15050112
2002,7,-0.8,17185692
2002,8,-1.9,16917075
2002,9,-0.2,18377375
2002,10,-0.6,22146476
2002,11,1,22463035
2002,12,6.1,26715780
2003,1,7.7,26383266
2003,2,-2.6,25998948
2003,3,3.5,24849720
2003,4,5.8,28167458
2003,5,10.8,32748192
2003,6,-4,44887047
2003,7,-5.5,47701596
2003,8,-7.7,51903984
2003,9,0.8,58760000
2003,10,-3.1,69720000
2003,11,1,78050000
2003,12,7.5,89930000
2004,1,-6.8,88790000
2004,2,4.3,99710000
2004,3,0.2,98060000
2004,4,0.2,106190000
2004,5,-2.5,108400000
2004,6,-10.3,75740000
2004,7,2.3,86750000
2004,8,-7.8,76320000
2004,9,0.2,58900000
2004,10,0.5,59170000
2004,11,8.5,66100000
2004,12,3.9,67670000
2005,1,-9.1,61300000
2005,2,2.7,67450000
2005,3,4.7,70120000
2005,4,-2.4,67260000
2005,5,1.2,64850000
2005,6,5,66490000
2005,7,3.6,68070000
2005,8,-2.1,67780000
2005,9,-0.2,62270000
2005,10,6,65620000
2005,11,6.9,68860000
2005,12,-2.1,73060000
2006,1,4.8,78010000
2006,2,-2.7,76140000
2006,3,-7,81940000
2006,4,1.5,86380000
2006,5,2,92890000
2006,6,3.4,96020000
2006,7,-2.5,104980000
2006,8,8.1,110580000
2006,9,-5.9,111220000
2006,10,-2.2,114840000
2006,11,10.3,121860000
2006,12,5.7,127380000
2007,1,3.5,129430000
2007,2,-8.2,119080000
2007,3,1.6,120200000
2007,4,0.4,122170000
2007,5,4.1,155440000
2007,6,-0.2,155300000
2007,7,0,159950000
2007,8,1.2,160040000
2007,9,4.5,172650000
2007,10,1.2,172130000
2007,11,1.6,180320000
2007,12,-2.5,172430000
2008,1,2.1,159200000
2008,2,7.4,167320000
2008,3,7.5,187190000
2008,4,0,184710000
2008,5,-4.3,215640000
2008,6,-0.1,218390000
2008,7,-6.3,213710000
2008,8,-6.6,207000000
2008,9,2,174140000
2008,10,3.5,165160000
2008,11,-1.4,173860000
2008,12,0.4,170270000
2009,1,4.9,172060000
2009,2,0.6,177090000
2009,3,2.4,187610000
2009,4,3.3,192600000
2009,5,0.5,195960000
2009,6,-4.9,200700000
2009,7,5.1,239050000
2009,8,-4.3,251830000
2009,9,-2.8,283690000
2009,10,0.4,308830000
2009,11,1.6,320160000
2009,12,4,331100000
2010,1,1.8,336130000
2010,2,0.5,334300000
2010,3,2.7,339480000
2010,4,-0.7,338330000
2010,5,0.6,325500000
2010,6,0.1,330100000
2010,7,1.7,377420000
2010,8,-1.5,372360000
2010,9,0.9,396890000
2010,10,-0.3,457160000
2010,11,2.1,457430000
2010,12,-0.4,533190000
2011,1,-3,549170000
2011,2,4.3,629930000
2011,3,-1.7,622760000
2011,4,9.1,672830000
2011,5,-7.9,629100000
2011,6,-6.8,598920000
2011,7,8.8,637070000
2011,8,-3.8,612670000
2011,9,-3.4,558320000
2011,10,-3.8,541550000
2011,11,0.7,530200000
2011,12,6.7,548670000
2012,1,1.4,570320000
2012,2,-2.7,537550000
2012,3,-8,501340000
2012,4,-3.5,451970000
2012,5,2.3,448680000
2012,6,3.9,472520000
2012,7,10.4,518840000
2012,8,-5.6,490960000
2012,9,-4.5,475810000
2012,10,-3.2,461270000
2012,11,3,481100000
2012,12,4.4,499300000
2013,1,-0.2,492681636
