Year, Month, Return, Assets
1996,1,0,0
1996,2,0,0
1996,3,-10.84,0
1996,4,-0.63,0
1996,5,1.6,0
1996,6,14.85,0
1996,7,-31.93,0
1996,8,8.82,0
1996,9,14.12,0
1996,10,10.05,0
1996,11,13.68,0
1996,12,-10.81,0
1997,1,17.21,0
1997,2,0.64,0
1997,3,5.66,0
1997,4,2.83,0
1997,5,7.17,0
1997,6,3.63,0
1997,7,6.41,0
1997,8,-2.22,0
1997,9,1.9,0
1997,10,-6.01,0
1997,11,11.48,0
1997,12,6.22,0
1998,1,2.43,0
1998,2,11.12,0
1998,3,6.81,0
1998,4,1.6,0
1998,5,-2.46,0
1998,6,5.98,0
1998,7,-4.01,0
1998,8,-1.97,0
1998,9,-5.92,0
1998,10,-5.97,0
1998,11,7.27,0
1998,12,8.51,0
1999,1,0.01,0
1999,2,3.27,0
1999,3,8.37,0
1999,4,-2.19,0
1999,5,2.01,0
1999,6,7.21,0
1999,7,-4.22,0
1999,8,-2.68,0
1999,9,4.21,0
1999,10,-7.01,0
1999,11,6.03,0
1999,12,7.68,0
2000,1,-4.95,0
2000,2,1.75,0
2000,3,-5.9,0
2000,4,-18.63,0
2000,5,4.54,0
2000,6,9,0
2000,7,1.1,0
2000,8,9.99,0
2000,9,11.75,0
2000,10,-6.82,0
2000,11,2.13,0
2000,12,-4.18,0
2001,1,7.64,0
2001,2,4.33,0
2001,3,-1.41,0
2001,4,-19.02,0
2001,5,5.07,0
2001,6,3.91,0
2001,7,-1,0
2001,8,11.09,0
2001,9,4.98,0
2001,10,3.26,0
2001,11,0,0
2001,12,1.46,0
2002,1,5.29,0
2002,2,5.88,0
2002,3,0.92,0
2002,4,4.73,0
2002,5,2.16,0
2002,6,-1.35,0
2002,7,-11.77,0
2002,8,0.09,0
2002,9,7.04,0
2002,10,-15.04,0
2002,11,-2.55,0
2002,12,7.39,0
2003,1,0.73,14000000
2003,2,5.17,15000000
2003,3,5.1,17000000
2003,4,0.61,17000000
2003,5,0.02,20000000
2003,6,0.79,21000000
2003,7,0.12,21000000
2003,8,1.93,21000000
2003,9,0.63,25000000
2003,10,2.32,26000000
2003,11,1.45,27000000
2003,12,1.76,28000000
2004,1,1.49,30000000
2004,2,3.12,36000000
2004,3,0.65,37000000
2004,4,3.2,41000000
2004,5,1.07,46000000
2004,6,2.3,47000000
2004,7,1.54,52000000
2004,8,1.34,55000000
2004,9,2.55,58000000
2004,10,-0.25,58000000
2004,11,1.71,61000000
2004,12,1.12,65000000
2005,1,1.59,72000000
2005,2,0.5,85000000
2005,3,0.5,87000000
2005,4,0.45,91000000
2005,5,0.78,95000000
2005,6,1.13,86000000
2005,7,-0.68,92000000
2005,8,2.26,95000000
2005,9,2.16,106000000
2005,10,-1.33,108000000
2005,11,1.72,119000000
2005,12,1.55,123000000
2006,1,0.19,136000000
2006,2,1.08,147000000
2006,3,1.19,147000000
2006,4,0.88,152000000
2006,5,-0.5,148000000
2006,6,-0.09,144000000
2006,7,0.07,147000000
2006,8,1.59,149000000
2006,9,0.72,146000000
2006,10,1.14,154000000
2006,11,0.39,138000000
2006,12,0.66,144000000
2007,1,2.31,143000000
2007,2,-2.11,134000000
2007,3,-0.17,133000000
2007,4,0.24,133000000
2007,5,1.57,121000000
2007,6,1.31,122000000
2007,7,-0.79,122000000
2007,8,1.04,132000000
2007,9,0.99,134000000
2007,10,0.54,132000000
2007,11,-0.58,130000000
2007,12,0.72,127000000
2008,1,-4.48,113000000
2008,2,-1.71,96000000
2008,3,-5.1,93000000
2008,4,0.85,75000000
2008,5,1.05,70000000
2008,6,-0.64,66000000
2008,7,0.04,55000000
2008,8,1.39,50000000
2008,9,-27.95,30000000
2008,10,-11.85,20000000
2008,11,0.62,14000000
2008,12,2.54,14000000
2009,1,2.35,11000000
2009,2,5.16,13000000
2009,3,-4.49,10000000
2009,4,2.37,10000000
2009,5,1.84,11000000
2009,6,2.89,12000000
2009,7,0.46,13000000
2009,8,2.73,13000000
2009,9,1.73,13000000
2009,10,-0.37,12000000
2009,11,3.73,12000000
2009,12,3.37,13000000
2010,1,1.64,14000000
2010,2,2.16,14500000
2010,3,2.36,14500000
2010,4,-1.8,14500000
2010,5,-6.08,14000000
2010,6,0.85,14000000
2010,7,1.83,19000000
2010,8,2.15,19000000
2010,9,1.26,14000000
2010,10,3.47,14000000
2010,11,-0.36,14000000
2010,12,4.11,15000000
2011,1,1.21,15000000
2011,2,0.75,15000000
2011,3,1.36,15000000
2011,4,4.11,15000000
2011,5,1.06,15000000
2011,6,-1.39,15000000
2011,7,-3.95,15000000
2011,8,-16.17,15000000
2011,9,-10.77,12000000
2011,10,7.45,12000000
2011,11,-6.96,12000000
2011,12,5.55,9000000
2012,1,6.18,9000000
2012,2,5.07,9000000
2012,3,1.97,9000000
2012,4,2.77,11000000
2012,5,0.76,10000000
2012,6,7.05,10000000
2012,7,-3.12,10000000
2012,8,4.93,10000000
2012,9,3.48,11000000
2012,10,6.95,12000000
2012,11,-0.77,12000000
2012,12,0.6,13000000
2013,1,2.94,13000000
2013,2,-0.65,13000000
2013,3,0.61,13000000
2013,4,0.39,13000000
2013,5,0.14,13000000
2013,6,-0.01,13000000
2013,7,2.63,13000000
2013,8,0.67,13000000
2013,9,2.34,13000000
2013,10,3.47,15000000
2013,11,1.12,15000000
2013,12,1.62,15000000
2014,1,0.38,15000000
2014,2,2.09,15000000
2014,3,1.84,15000000
2014,4,2.17,15000000
2014,5,3.9,16000000
2014,6,4.12,16000000
2014,7,-2,17000000
2014,8,4.63,18000000
2014,9,0.71,18000000
2014,10,-3.83,18000000
2014,11,3.89,18000000
2014,12,-3.27,18000000
