Year, Month, Return, Assets
1998,12,0.4,21000000
1999,1,-4.88,20000000
1999,2,2.86,25000000
1999,3,-4.84,24000000
1999,4,7.26,28000000
1999,5,-2.53,28000000
1999,6,-0.41,28000000
1999,7,-3.16,31000000
1999,8,-0.67,31000000
1999,9,-1.76,34000000
1999,10,-3.4,34000000
1999,11,7.66,36000000
1999,12,5.66,38000000
2000,1,1.64,39000000
2000,2,-0.28,39000000
2000,3,-0.57,36000000
2000,4,-2.69,33000000
2000,5,3.72,34000000
2000,6,-3.19,33000000
2000,7,-1.85,32000000
2000,8,3.43,33000000
2000,9,-0.16,33000000
2000,10,3.62,35000000
2000,11,8.12,37000000
2000,12,11.73,36000000
2001,1,0.87,34000000
2001,2,0.35,39000000
2001,3,10.48,55000000
2001,4,-6.85,42000000
2001,5,-2.1,44000000
2001,6,0.41,49000000
2001,7,3.52,53000000
2001,8,2.72,55000000
2001,9,10.13,64000000
2001,10,5.25,62000000
2001,11,-5.62,106000000
2001,12,-2.81,112000000
2002,1,-5.15,129000000
2002,2,-9.73,120000000
2002,3,4.81,126000000
2002,4,-2.73,127000000
2002,5,2.52,129000000
2002,6,11.29,153000000
2002,7,8.47,167000000
2002,8,1.63,165000000
2002,9,7.16,178000000
2002,10,-6.51,174000000
2002,11,-4.86,171000000
2002,12,13.9,191000000
2003,1,3.72,200000000
2003,2,8.35,232000000
2003,3,-7.08,239000000
2003,4,-1.48,235000000
2003,5,10.49,257000000
2003,6,-3.1,265000000
2003,7,2.17,285000000
2003,8,-0.57,315000000
2003,9,1.94,345000000
2003,10,2.46,386000000
2003,11,-0.92,440000000
2003,12,4.13,539000000
2004,1,1.9,628000000
2004,2,6.78,797000000
2004,3,-5.27,924000000
2004,4,-7.55,940000000
2004,5,-1.38,1014000000
2004,6,-7.96,948000000
2004,7,-0.24,948000000
2004,8,0.8,979000000
2004,9,0.67,1028000000
2004,10,3.33,1058000000
2004,11,5.17,1115000000
2004,12,-3.01,1052000000
2005,1,-7.48,934000000
2005,2,4.09,925000000
2005,3,1.44,838000000
2005,4,-2.94,792000000
2005,5,4.61,805000000
2005,6,4.47,817000000
2005,7,-0.87,727000000
2005,8,4.24,767000000
2005,9,0.58,745000000
2005,10,-1.43,741000000
