Year, Month, Return, Assets
2006,4,-1.07,4900000
2006,5,0.75,4900000
2006,6,-2.93,4700000
2006,7,-4.12,4600000
2006,8,2.73,4700000
2006,9,0.73,4700000
2006,10,-2.35,4600000
2006,11,-0.24,4600000
2006,12,-3.68,4600000
2007,1,-1.43,4600000
2007,2,-1.76,4500000
2007,3,-2.42,4400000
2007,4,-0.79,4400000
2007,5,0.71,4400000
2007,6,-1.32,4300000
2007,7,-3.16,4200000
2007,8,-3.07,4100000
2007,9,5.87,4300000
2007,10,4.53,4200000
2007,11,-2.13,4100000
2007,12,2.29,4200000
2008,1,5.6,4500000
2008,2,14.53,5100000
2008,3,-1.73,5100000
2008,4,-1.59,5100000
2008,5,0.71,5100000
2008,6,2.87,5200000
2008,7,-5.61,5700000
2008,8,-1.99,5500000
2008,9,6.86,5900000
2008,10,10.8,6600000
2008,11,5.77,6900000
2008,12,2.73,7100000
2009,1,-0.61,7900000
2009,2,1.08,7800000
2009,3,-2.27,7600000
2009,4,-3.32,6800000
2009,5,-0.58,6800000
2009,6,0.15,6800000
2009,7,-3.23,5300000
2009,8,0.75,5300000
2009,9,1.44,5400000
2009,10,-2.3,5500000
2009,11,4.85,5600000
2009,12,-3.8,5800000
2010,1,-3.22,6400000
2010,2,0.5,6800000
2010,3,0.66,6500000
2010,4,1.01,6700000
2010,5,0.06,7700000
2010,6,0.72,8000000
2010,7,-1.02,8400000
2010,8,1.16,8500000
2010,9,2.1,8500000
2010,10,7.75,9100000
2010,11,-2.46,8900000
2010,12,8.08,10600000
2011,1,1.52,11400000
2011,2,3.76,12000000
2011,3,-1.17,16600000
2011,4,5.3,18800000
2011,5,-1.44,19700000
2011,6,-1.85,19900000
2011,7,2.77,25200000
2011,8,-1.2,26200000
2011,9,-2.76,26900000
2011,10,-3.93,25900000
2011,11,1.17,26300000
2011,12,-3.12,27400000
2012,1,2.54,29500000
2012,2,-0.97,29300000
2012,3,-1.07,29500000
2012,4,0.73,29900000
2012,5,1.82,33400000
2012,6,-6.16,31200000
2012,7,1.32,31600000
2012,8,-0.59,31100000
2012,9,-3.46,37800000
2012,10,-1.73,35600000
2012,11,-2.23,30400000
2012,12,0.98,30600000
2013,1,0.58,31000000
2013,2,-2.05,30800000
2013,3,0.47,32100000
2013,4,1.15,33300000
2013,5,-0.73,33100000
2013,6,0.82,33300000
2013,7,-1.54,32000000
2013,8,-1.33,31000000
2013,9,-4.07,31000000
2013,10,2.01,31000000
2013,11,0.04,31000000
2013,12,-0.36,30000000
2014,1,-2.02,29300000
2014,2,1.62,24600000
2014,3,-1.84,24200000
2014,4,3.25,24800000
2014,5,-3.11,22600000
2014,6,2.65,21820000
2014,7,-0.43,19400000
2014,8,3.92,20220000
2014,9,8.55,23400000
2014,10,-0.78,23954000
2014,11,7.05,25684000
2014,12,4.19,26264192
2015,1,4.68,27029371
2015,2,-1.93,26459254
2015,3,0.47,26415764
2015,4,-0.98,26144000
2015,5,-2.03,25751940
2015,6,-1.84,21389771
2015,7,-4.36,20580631
2015,8,-2.14,19927991
2015,9,0.26,19625079
2015,10,-2.75,17833167
2015,11,2.56,16527259
2015,12,0.66,16635183
2016,1,-0.22,16600861
2016,2,3.11,17123038
2016,3,-4.93,16267437
2016,4,3.58,16742411
2016,5,-1.64,16492859
2016,6,0.55,16683871
2016,7,2.44,17086440
2016,8,-1.55,16904918
2016,9,-1.06,12736592
2016,10,-1.34,12556049
2016,11,2.68,13047133
2016,12,-0.13,13100034
2017,1,-3.66,12621229
2017,2,-1.89,13154199
2017,3,-1.35,13776581
2017,4,-1.39,13554699
2017,5,-0.53,13602988
2017,6,-0.51,13228080
2017,7,-1.61,13424454
2017,8,2.76,14018689
2017,9,-2.53,13738951
2017,10,5.16,14546308
2017,11,-0.27,13752953
2017,12,0.67,13879595
2018,1,3.12,14343014
2018,2,-5.81,11064429
2018,3,-2.27,10810466
2018,4,-0.19,10772985
2018,5,1.41,10951524
2018,6,-1.48,10792675
2018,7,1.89,10798290
2018,8,3.57,10110918
2018,9,-0.84,8745158
2018,10,-4.75,8251664
2018,11,3.66,8594964
2018,12,1.64,8628022
2019,1,-4.15,11630656
2019,2,-0.47,11452137
2019,3,-0.65,11196902
2019,4,3.5,11408061
2019,5,-7.43,10471793
2019,6,-0.37,10043638
2019,7,0.52,10097885
2019,8,10.6,8070419
2019,9,-7.59,7459047
2019,10,-1.33,7359372
2019,11,1.42,7248137
2019,12,0.25,7095261
2020,1,-2.06,6956032
2020,2,-0.19,9438234
2020,3,9.72,10355438
2020,4,-3.16,15836941
