Year, Month, Return, Assets
1988,2,-2.63,1947370
1988,3,-6.89,2091770
1988,4,-10.71,248776
1988,5,6.93,266024
1988,6,32.42,1837050
1988,7,-9.41,1957000
1988,8,6.85,2090980
1988,9,2.03,2739550
1988,10,10.65,3031200
1988,11,11.06,5368730
1988,12,7.04,6246790
1989,1,4.93,8752970
1989,2,-5.42,10129600
1989,3,6.64,10601300
1989,4,-8.82,9691210
1989,5,22.38,12967700
1989,6,-8.28,12155600
1989,7,11.66,13895400
1989,8,-11.75,16836700
1989,9,-2.82,13098800
1989,10,-7.4,11785600
1989,11,3.9,12704300
1989,12,28.56,15475100
1990,1,0.49,15519500
1990,2,3.37,19042400
1990,3,8.62,20686100
1990,4,4.37,21833800
1990,5,-4.61,21045200
1990,6,1.77,21418400
1990,7,6.25,23219000
1990,8,15.15,27692700
1990,9,0.6,34222700
1990,10,1.86,35284000
1990,11,-0.25,41901500
1990,12,0.11,41799500
1991,1,-1.29,48935200
1991,2,4.84,69640600
1991,3,2.32,77381200
1991,4,-2.8,83003600
1991,5,0.27,91624704
1991,6,-1.25,91283800
1991,7,-1.75,91398200
1991,8,-3.32,96531296
1991,9,4.39,104150000
1991,10,4.21,109174000
1991,11,-4.68,105933000
1991,12,12.08,122624000
1992,1,-10.98,112123000
1992,2,-2.86,124866000
1992,3,0.53,127370000
1992,4,-0.44,126251000
1992,5,-3.66,121755000
1992,6,6.52,123363000
1992,7,12.96,141782000
1992,8,3.16,152156992
1992,9,-6.78,140950000
1992,10,5.21,143466000
1992,11,2.27,152184000
1992,12,-1.93,149748992
1993,1,0.42,151172000
1993,2,15.99,180632000
1993,3,5.86,194148992
1993,4,7.38,213060000
1993,5,0.4,217170000
1993,6,0.98,216207008
1993,7,9.49,241331008
1993,8,5.88,269031008
1993,9,-2.63,310563008
1993,10,-0.06,315296992
1993,11,1.03,317208000
1993,12,5.77,330276000
1994,1,-3.33,369504992
1994,2,-4.88,347187008
1994,3,0.09,383084992
1994,4,-0.6,390787008
1994,5,9.06,415028000
1994,6,7.02,442081984
1994,7,-1.7,476241984
1994,8,-2.98,424062016
1994,9,3.49,452724000
1994,10,1.97,482542016
1994,11,4.83,525567008
1994,12,2.86,549702976
1995,1,-3.23,549883008
1995,2,-4.39,515887008
1995,3,8.6,836012032
1995,4,1.45,866145984
1995,5,6.84,938604992
1995,6,0.88,931369984
1995,7,-3.09,908953024
1995,8,-2.66,876310976
1995,9,0.2,873081984
1995,10,-1.11,850536000
1995,11,1.76,865840000
1995,12,9.18,896534016
1996,1,1.69,907328000
1996,2,-4.26,854249984
1996,3,0.28,853697024
1996,4,10.16,938638016
1996,5,-3.04,905886976
1996,6,3.27,936622016
1996,7,-7.64,879806976
1996,8,0.57,863057984
1996,9,6.47,912472000
1996,10,5.92,956436992
1996,11,6.57,1027630016
1996,12,-4.3,971516032
1997,1,1.86,1048790016
1997,2,5.48,1119830016
1997,3,-1.24,1108280064
1997,4,-2.41,1110470016
1997,5,-2.28,1119449984
1997,6,1.44,1147379968
1997,7,6.24,1211020032
1997,8,-7.88,1064929984
1997,9,5.06,1099830016
1997,10,-2.34,1061249984
1997,11,1.7,1070940032
1997,12,4.88,1096679936
1998,1,-1.29,929616000
1998,2,6.06,1014339968
1998,3,3.65,1064009984
1998,4,-2.16,1013500032
1998,5,3.62,950136000
1998,6,-0.67,1077260032
1998,7,3.03,1111100032
1998,8,7.27,1197699968
1998,9,-0.59,1179879936
1998,10,-3.21,1115619968
1998,11,-1.68,1086729984
1998,12,1.8,1097709952
1999,1,-2.76,1075529984
1999,2,1.9,1095440000
1999,3,-2.65,1054120000
1999,4,8.42,959780992
1999,5,-8.71,872761024
