Year, Month, Return, Assets
1994,4,-0.38,748851
1994,5,6.84,885029
1994,6,5.37,981078
1994,7,-5.51,1747652
1994,8,-6.21,1649112
1994,9,8.08,1993145
1994,10,4.06,2094367
1994,11,8.56,2301438
1994,12,4.97,2670039
1995,1,-7,2525457
1995,2,-8.83,2328774
1995,3,16.49,2797498
1995,4,1.9,2864295
1995,5,11.43,3114116
1995,6,1.22,3247849
1995,7,-7.57,3016472
1995,8,-6.12,2850533
1995,9,-1.5,2826309
1995,10,-2.62,2750575
1995,11,2.88,2793318
1995,12,18.24,3176934
1996,1,2.63,2991885
1996,2,-9.4,2524114
1996,3,0.06,2527865
1996,4,18.03,3020819
1996,5,-6.52,2807506
1996,6,5.69,2983344
1996,7,-15.78,2169833
1996,8,0.68,2182309
1996,9,12.82,2473864
1996,10,9.2,2720321
1996,11,11.12,3038794
1996,12,-7.94,2783044
1997,1,3.08,2325773
1997,2,10.98,2352873
1997,3,-3.1,2274711
1997,4,-5.09,2079998
1997,5,-4.54,2005755
1997,6,2.22,2087314
1997,7,11.94,2371397
1997,8,-14.8,1977538
1997,9,9.39,2408606
1997,10,-5.22,11697671
1997,11,3.25,12868148
1997,12,8.67,13785454
1998,1,-3.22,13008884
1998,2,11.26,19022312
1998,3,6.95,19701928
1998,4,-4.66,18372215
1998,5,6.91,21495185
1998,6,-1.34,21994577
1998,7,4.96,25099375
1998,8,12.61,28114943
1998,9,-1.31,28636359
1998,10,-7.56,26403476
1998,11,-3.51,25891832
1998,12,3.84,27297442
1999,1,-5.78,26688343
1999,2,3.41,29171601
1999,3,-5.57,28657564
1999,4,16.83,33564461
1999,5,-17.05,26854934
1999,6,7.68,30759313
1999,7,-9.66,27779020
1999,8,8.66,28689896
1999,9,2.46,25769596
1999,10,-15.57,21710535
1999,11,6.27,22569881
1999,12,13.66,24948746
2000,1,-2.98,22944708
2000,2,0.42,23980643
2000,3,5.7,25367105
2000,4,-8.27,23317475
2000,5,0.91,23367126
2000,6,-1.77,22821149
2000,7,-5.57,21271114
2000,8,8.89,21371715
2000,9,-16.47,18340917
2000,10,-1.97,17035974
2000,11,18.19,19108001
2000,12,19.8,22456107
2001,1,-3.73,21153663
2001,2,10.46,29652669
2001,3,8.85,31813501
2001,4,-15.73,26009629
2001,5,-3.45,25296830
2001,6,0.83,25620284
2001,7,-7.79,23505764
2001,8,-8.64,21419677
2001,9,16.64,24907465
2001,10,9.42,26044783
2001,11,-17.87,21449416
2001,12,-4.25,20699754
2002,1,-5.62,19787639
2002,2,-2.2,19205402
2002,3,5.67,19667763
2002,4,-5.51,18089317
2002,5,5.26,18179543
2002,6,9.82,19232563
2002,7,6.03,20163093
2002,8,5.64,19377901
2002,9,7.49,20733775
2002,10,-4.7,19456824
2002,11,-2.99,18896680
2002,12,7.96,20160623
2003,1,13.98,21682606
2003,2,6.72,22982098
2003,3,-14.74,19689278
2003,4,0.41,19954024
2003,5,9.38,21336978
2003,6,-11.18,18331813
2003,7,-4.02,17707887
2003,8,5.12,18271469
2003,9,-4.76,17093203
2003,10,31.35,22187448
2003,11,2.78,22414176
2003,12,11.5,23967804
2004,1,3.2,28041005
2004,2,10.4,28204022
2004,3,-5.08,28261335
2004,4,-11.37,26234459
2004,5,-1.82,34625984
2004,6,-4.62,33338083
2004,7,-4.37,32349474
2004,8,-7.61,31198100
2004,9,8.23,33909133
2004,10,4.94,35283223
2004,11,19.47,41919590
2004,12,2.97,43202677
2005,1,-7.42,38626549
2005,2,-0.57,39406634
2005,3,-2.6,38314615
2005,4,-7.17,36686129
2005,5,-4.6,35926800
2005,6,7.03,39177392
2005,7,0.42,39032444
2005,8,11.23,43513349
2005,9,-3.67,41612650
2005,10,-9.16,37633060
2005,11,9.23,40644240
2005,12,3.57,39624349
2006,1,10.18,43588312
2006,2,-1.18,42228627
2006,3,9.31,46045054
2006,4,5.94,47775856
2006,5,-1.7,47100799
2006,6,-1.07,46513940
2006,7,-4.26,44716908
2006,8,-8.92,40417497
2006,9,-3.07,39009275
2006,10,2.23,40149278
2006,11,6.31,44092624
2006,12,4.81,45513579
2007,1,5.09,48367775
2007,2,-4.24,43105014
2007,3,-0.88,42707863
2007,4,7.64,45686352
2007,5,9.69,49994467
2007,6,1.4,50580703
2007,7,-15.46,42793818
2007,8,-38.8,26144958
2007,9,11.85,31290328
2007,10,13.57,34960420
2007,11,-7.75,31953035
2007,12,7.19,33683215
2008,1,2.58,34382867
2008,2,25.05,40112604
2008,3,-10.48,19228409
2008,4,0.49,18880881
2008,5,2.99,18880220
2008,6,13.15,21055045
2008,7,-12.69,18186701
2008,8,-10.24,16345474
2008,9,-9.64,14882534
2008,10,8.72,16023983
2008,11,8.78,17326695
2008,12,6.01,17710693
2009,1,0.44,17406119
2009,2,-1.35,17033695
2009,3,-1.29,16915017
2009,4,-3.78,16022430
2009,5,-3.05,15477039
2009,6,-1.89,15759216
2009,7,-0.05,15733108
2009,8,7.13,16803440
2009,9,4.43,17590115
2009,10,-6.32,16241370
2009,11,6.08,17083278
2009,12,4.05,15898097
2010,1,-8.93,14750630
2010,2,4.57,15200696
2010,3,6.87,16038135
2010,4,6.21,18031161
2010,5,-25.03,13524708
2010,6,-5.07,12989782
2010,7,-2.29,12303255
2010,8,5.69,13097209
2010,9,13.17,14643740
2010,10,17.89,16798459
2010,11,-9.55,14747290
2010,12,22.7,17789816
2011,1,2.6,17339587
2011,2,9.44,18907558
2011,3,1.53,19047319
2011,4,7.97,20690709
2011,5,-13.02,16091383
2011,6,-10.84,14150810
2011,7,5.43,14986649
2011,8,-0.96,14543167
2011,9,-20.39,11748716
2011,10,-1.82,12381866
2011,11,8.91,13187818
2011,12,1.27,12051526
2012,1,-3.68,11468819
2012,2,-3.45,11082899
2012,3,1.88,11001745
2012,4,3.64,11568650
2012,5,-5.18,10764378
2012,6,-5.31,10311822
2012,7,9.57,11209401
2012,8,-1.62,10862959
2012,9,-7.62,10044367
2012,10,-8.17,9416480
2012,11,-0.01,9264911
2012,12,-5.28,8626356
2013,1,9.6,9463795
2013,2,-1.67,9275310
2013,3,3.57,9515806
2013,4,1.8,9372061
2013,5,-1.23,9066577
2013,6,-0.36,9043284
2013,7,5.27,9329837
2013,8,-7.51,6591467
2013,9,1.54,10767559
2013,10,6.66,11499129
2013,11,13.8,12567709
2013,12,8.81,13547284
2014,1,-9.73,10665918
2014,2,3.77,11093155
2014,3,-2.55,10833982
2014,4,2.14,11090142
2014,5,2.69,11413415
2014,6,5.86,12143016
2014,7,-1.81,10928935
2014,8,6.34,11725496
2014,9,3.58,12145302
2014,10,2.63,12515168
2014,11,8.55,14492548
2014,12,7.36,15663036
2015,1,7.34,17045023
2015,2,-0.48,17129933
2015,3,3.73,17745859
2015,4,-8.26,15995764
2015,5,2.63,8541016
2015,6,-5.07,13681701
2015,7,9.27,15054017
2015,8,-6.56,14024139
2015,9,2.03,14300220
2015,10,-1.48,14087971
2015,11,3.58,14529215
2015,12,-0.86,14415837
2016,1,1.08,14621178
2016,2,1.52,14819620
2016,3,-8.36,13528523
2016,4,-3.16,13115437
2016,5,1.37,13309518
2016,6,9.58,14717376
2016,7,0.18,14761665
2016,8,-2.46,14400281
2016,9,1.41,14627604
2016,10,-3.29,14152610
2016,11,-2.64,13794583
2016,12,-1.94,13686020
2017,1,2.25,21162375
2017,2,3.79,21974057
2017,3,-4.56,19147880
2017,4,-0.27,18789908
2017,5,-1.68,154000000
2017,6,-1.83,142000000
2017,7,-0.77,133000000
2017,8,3.42,143000000
2017,9,-2.94,141000000
2017,10,3.7,155800000
2017,11,3.42,0
2017,12,5.36,177500000
2018,1,13.81,18780000
2018,2,-10.34,18005616
2018,3,-3.39,19709509
2018,4,-1.29,20400000
2018,5,-4.78,194000000
2018,6,-2.08,198000000
2018,7,0.32,202000000
2018,8,10.11,217000000
2018,9,-1.02,214000000
2018,10,-6.88,213000000
2018,11,-1.9,210000000
2018,12,-6.79,200000000
2019,1,-7.65,26000000
2019,2,5.68,30257000
2019,3,1.44,30800000
2019,4,2.96,31700000
2019,5,-6.9,33600000
2019,6,3.61,39000000
2019,7,2.49,43000000
2019,8,3.9,49100000
2019,9,-0.47,49039000
2019,10,-3.01,48000000
2019,11,-2.12,47000000
2019,12,0.19,47600000
2020,1,3.23,49170000
2020,2,-3.26,52450000
2020,3,0.29,53000000
