Year, Month, Return, Assets
2005,10,-2.06,1014630
2005,11,4.34,1058620
2005,12,0.18,1060580
2006,1,4.04,1103460
2006,2,0.28,1106510
2006,3,1.6,1124210
2006,4,8.34,1217920
2006,5,2.14,1244020
2006,6,-1.25,1228510
2006,7,-3.87,1180960
2006,8,4.66,1236030
2006,9,-1.16,1221670
2006,10,3.34,1262500
2006,11,-0.48,1256500
2006,12,1.5,1275330
2007,1,1.64,1297750
2007,2,4.13,1349940
2007,3,-1.08,1335330
2007,4,4.72,1398400
2007,5,6.46,2513470
2007,6,0.46,11000000
2007,7,-0.21,15300000
2007,8,-5.19,14700000
2007,9,4.38,15800000
2007,10,-4.4,18400000
2007,11,12.11,22100000
2007,12,-7.87,25700000
2008,1,19.01,30500000
2008,2,-7.19,33000000
2008,3,-3.55,33700000
2008,4,1.95,34500000
2008,5,-4.99,30800000
2008,6,7.43,37700000
2008,7,0.19,38000000
2008,8,0.32,40100000
2008,9,-2.01,38500000
2008,10,9.17,34500000
2008,11,-2.37,29500000
2008,12,-2.87,30500000
2009,1,-3.77,30000000
2009,2,2.44,29500000
2009,3,-3.43,26400000
2009,4,2.59,21400000
2009,5,8.48,22100000
2009,6,-1.58,23200000
2009,7,0.49,22100000
2009,8,-1.92,21600000
2009,9,-1.19,21400000
2009,10,-5.77,20200000
2009,11,-2.72,19700000
2009,12,-0.01,17600000
2010,1,1.91,17100000
2010,2,-5.32,16200000
2010,3,-0.37,16100000
2010,4,-2.3,17500000
2010,5,4,14600000
2010,6,-3.64,14100000
2010,7,-1.92,14000000
2010,8,8.28,14800000
2010,9,-0.86,9100000
2010,10,3.05,9300000
2010,11,-5.72,8800000
2010,12,1.08,7800000
2011,1,-4.58,6900000
2011,2,1.42,4800000
2011,3,3.02,4500000
2011,4,6.49,4700000
2011,5,-14,4000000
2011,6,1.95,4100000
2011,7,0.75,4100000
2011,8,5.56,3500000
2011,9,2.74,2600000
2011,10,-1.16,2600000
2011,11,0,2500000
2011,12,-2.12,2400000
2012,1,2.27,2600000
2012,2,0.28,2500000
2012,3,2.82,2600000
2012,4,0.41,2500000
2012,5,14,5400000
2012,6,-5.01,5400000
2012,7,0.56,4800000
2012,8,-0.5,4800000
2012,9,0.44,3800000
2012,10,-1.84,4400000
2012,11,-0.14,4400000
2012,12,0.92,4400000
2013,1,1.76,4600000
2013,2,-1.15,4600000
2013,3,-2.99,5900000
2013,4,1.64,5900000
2013,5,2.25,8100000
2013,6,3.99,8900000
2013,7,-3.98,11800000
2013,8,-0.96,13700000
2013,9,-0.49,18500000
2013,10,-0.92,19200000
2013,11,-2.01,18700000
2013,12,6.73,20000000
2014,1,5.13,20567270
2014,2,4.15,21333000
2014,3,-1.6,20025000
2014,4,-4.33,18678000
2014,5,-2.13,20405000
2014,6,2.1,21188000
2014,7,1.6,20952000
2014,8,1.53,18508000
2014,9,8.96,23656000
2014,10,5.04,22200000
2014,11,1.8,26000000
2014,12,-1.46,25600000
2015,1,2.43,27400000
2015,2,-4.53,27400000
2015,3,-3.02,28200000
2015,4,-2.04,26500000
2015,5,-3.69,27900000
2015,6,-8.76,26000000
2015,7,0,18500000
2015,8,10.94,20500000
2015,9,-6.34,19300000
2015,10,3.8,19600000
2015,11,4.91,19500000
2015,12,-11.95,17100000
2016,1,8.44,13800000
2016,2,2.54,15200000
2016,3,-0.08,16200000
2016,4,1.19,20500000
2016,5,-1.02,21000000
2016,6,-1.4,21600000
2016,7,1.78,21400000
2016,8,-3.31,20000000
2016,9,-13.16,17300000
2016,10,0.92,19000000
2016,11,5.36,18300000
2016,12,3.89,19600000
2017,1,-5.41,19500000
2017,2,0.26,20000000
2017,3,5.55,20400000
2017,4,-0.87,20400000
2017,5,5.59,20800000
2017,6,2.25,22600000
2017,7,1.18,18300000
2017,8,-8.58,16500000
2017,9,-2.63,16500000
2017,10,-0.94,16300000
2017,11,-0.93,16900000
2017,12,-2.71,14800000
2018,1,15.17,17000000
2018,2,-0.81,14400000
2018,3,-4.68,13400000
2018,4,-5.17,12700000
2018,5,3.47,13100000
2018,6,2.72,13500000
2018,7,2.1,13800000
2018,8,0.06,14600000
2018,9,0.84,14700000
2018,10,7.61,18000000
2018,11,-2.78,17500000
2018,12,3.31,20100000
2019,1,-3.38,19600000
2019,2,-4.45,11700000
2019,3,-3.47,10600000
2019,4,1.26,10400000
2019,5,5.08,11000000
2019,6,4.74,11400000
2019,7,-3.36,10000000
2019,8,3.7,10400000
2019,9,-1.64,9200000
2019,10,-4.53,8800000
2019,11,6.16,9400000
2019,12,0.85,9400000
2020,1,3.79,8100000
2020,2,9.79,8900000
2020,3,16.84,10400000
2020,4,-0.33,10400000
