Year, Month, Return, Assets
1998,3,1.97,3071524.8
1998,4,0.22,3098227.38
1998,5,-0.24,1592670.09
1998,6,-1.87,1561506.46
1998,7,-6.65,1466527.94
1998,8,-8.37,1341070.65
1998,9,39.36,1911852.75
1998,10,3.36,2075375.372
1998,11,-4.45,1967349.256
1998,12,-1.03,1943626.667
1999,1,-1.59,1929252.778
1999,2,-6.8,1794609.524
1999,3,-0.7,1779472.456
1999,4,0.59,1805665.957
1999,5,0.51,1811954.286
1999,6,-2.44,1764634.878
1999,7,18.18,2743114.044
1999,8,8,2991213.13
1999,9,-1.52,4898009.553
1999,10,2.55,5141456.766
1999,11,-3.13,4943840.004
1999,12,2.47,5075968.5
2000,1,2.02,5187623.942
2000,2,5.99,7342535.704
2000,3,1.55,7456592.853
2000,4,7.5,8083396.445
2000,5,5.14,15941596.1
2000,6,3.39,23287958.51
2000,7,0.21,26318047.3
2000,8,4.08,26089788.27
2000,9,4.78,27478468.27
2000,10,-8.44,27675613.27
2000,11,-6.12,26547035.27
2000,12,5.69,28220185.27
2001,1,11.08,19606750.27
2001,2,-1.37,11446620.27
2001,3,4.25,10188877.27
2001,4,6.64,10947105.27
2001,5,5.27,12437158.27
2001,6,-0.02,23993772.27
2001,7,1.62,26547316.27
2001,8,-0.73,29624884.27
2001,9,-9.81,35155584.27
2001,10,-2.58,48292652.27
2001,11,-1.8,54559171.27
2001,12,2.02,58876475.27
2002,1,1.25,62195966.27
2002,2,-2.36,66475485.27
2002,3,3.01,70391598.27
2002,4,2.9,78268122.27
2002,5,-0.14,83290125.27
2002,6,7.14,92530563.27
2002,7,9.98,115213380.3
2002,8,1.6,156337334.3
2002,9,1.07,158289983.3
2002,10,-3.89,164179081.3
2002,11,4.34,171135146.3
2002,12,0.3,171499572.3
2003,1,-1.5,210998746.3
2003,2,1.66,229120143.3
2003,3,-4.05,229629486.3
2003,4,1.87,234102278.3
2003,5,1.41,245222061.3
2003,6,2.75,266157455.3
2003,7,-0.86,276479767.3
2003,8,1.48,307657453.3
2003,9,1.79,309261373.3
2003,10,-1.3,332710992.3
2003,11,0.21,353788960.3
2003,12,-1.4,357826268.3
2004,1,-0.92,346247802.3
2004,2,2.01,326895477.3
2004,3,-1.89,294821802.3
2004,4,2.25,306031312.3
2004,5,1.29,327490882.3
2004,6,-1.38,338822967.3
2004,7,0.54,350061432.3
2004,8,0.23,352453883.3
2004,9,0.16,351659510.3
2004,10,1.73,340415679.3
2004,11,1.35,333414948.3
2004,12,0.81,310113083.3
2005,1,-0.55,305774002.3
2005,2,1.4,307002973.3
2005,3,0.79,311797564.3
2005,4,3.25,325406367.3
2005,5,1.96,331005003.3
2005,6,-1.05,324162011.2
2005,7,-2.97,316421270.2
2005,8,1.72,296451307.2
2005,9,0.61,306083841.2
2005,10,-2.21,278137988.2
2005,11,3.06,279411222.2
2005,12,0.6,252299616.2
2006,1,2.04,256618535.2
2006,2,2.59,261238363.2
2006,3,2.72,266497775.2
2006,4,0.6,267030550.2
2006,5,2.7,280876300.2
2006,6,0.55,321019768.2
2006,7,0.54,325544268.2
2006,8,-4.43,318247882.2
2006,9,-2.58,314095916.2
2006,10,2.65,330011751.2
2006,11,1.73,307264648.2
2006,12,-0.72,306977622.2
2007,1,2.91,314857799.2
2007,2,3.04,322490492.2
2007,3,-0.45,302310917.2
2007,4,-1.34,320781996.2
2007,5,-2.7,322768005.2
2007,6,4.33,343717713.2
2007,7,6.47,386619712.2
2007,8,3.58,414232079.2
2007,9,2.12,451729789.2
2007,10,3.16,500377841.2
2007,11,3.98,526709812.2
2007,12,4.06,585454948.2
2008,1,2.72,650543756.2
2008,2,0.52,829422884.2
2008,3,2.95,1092390757
2008,4,-0.93,1198425745
2008,5,0.56,1332489889
2008,6,0.64,1424946228
2008,7,1.54,1573370881
2008,8,-3.71,1603954945
2008,9,4.75,1824748684
2008,10,-3.48,1515469841
2008,11,-2.57,1308488997
2008,12,-3.51,911793773.1
2009,1,2.74,941003463.7
2009,2,-0.15,912270715.8
2009,3,-0.02,825495712.5
2009,4,1.06,908243837.3
2009,5,2.02,984399269.1
2009,6,0.53,1045129446
2009,7,-2.96,1156852934
2009,8,1.34,1172533802
2009,9,-0.66,1166013139
2009,10,-1.08,1150827062
2009,11,-1.59,1015225377
2009,12,-1.42,950804239.2
2010,1,-0.34,905921362.9
2010,2,1.33,910966169.8
2010,3,-0.5,706693239.5
2010,4,1.48,729337994.6
2010,5,1.18,680996139.7
2010,6,-0.51,658938302.7
2010,7,1.76,589502349.9
2010,8,3.15,578795494.6
2010,9,0.79,616899639.5
2010,10,-1.08,618900710.2
2010,11,-1.5,666564272.3
2010,12,3.5,666723031.5
2011,1,1.8,646900000
2011,2,0.39,652000000
2011,3,-1.46,619700000
2011,4,-1.31,651700000
2011,5,2.4,705300000
2011,6,0.75,733200000
2011,7,0.25,732600000
2011,8,-2.5,756000000
2011,9,2.79,750800000
2011,10,-0.14,728200000
2011,11,-4.58,685100000
2011,12,0.4,626500000
2012,1,1.98,665000000
2012,2,-1.05,665600000
2012,3,2.14,630500000
2012,4,-0.28,630500000
2012,5,1.85,606300000
2012,6,0.61,666400000
2012,7,3.37,680600000
2012,8,-1.89,688500000
2012,9,0.11,685400000
2012,10,2.06,699400000
2012,11,3.8,752000000
2012,12,1.64,877000000
2013,1,6.63,1100000000
2013,2,3.53,1328000000
2013,3,1.81,1342000000
2013,4,1.59,1442000000
2013,5,-3.65,1605200000
2013,6,-1.75,1568200000
2013,7,-2.89,1567000000
2013,8,0.46,1598800000
2013,9,-7.13,1314000000
2013,10,0.7,1362500000
2013,11,1.5,1352300000
2013,12,2.02,1367500000
2014,1,6.67,1423100000
2014,2,-3.5,1359600000
2014,3,0.83,1380000000
2014,4,-2.14,1365300000
2014,5,1.53,1401000000
2014,6,0.86,1305200000
2014,7,0.47,1320200000
2014,8,1.16,1483000000
2014,9,1.45,1485000000
2014,10,-0.47,1633700000
2014,11,1.8,1672000000
