Year, Month, Return, Assets
2005,10,4.7,27000
2005,11,0.93,56000
2005,12,4.43,58000
2006,1,5.57,61000
2006,2,1.5,62000
2006,3,3.15,103000
2006,4,4.14,545000
2006,5,-1.75,845000
2006,6,2.41,1007000
2006,7,-3.23,1150000
2006,8,3.82,1286000
2006,9,1.76,1130000
2006,10,-1.17,1480000
2006,11,3.11,1708000
2006,12,2.25,1800000
2007,1,6.35,2480000
2007,2,-3.22,2560000
2007,3,-9.18,2700000
2007,4,-2.73,2810000
2007,5,6.77,3125000
2007,6,0.6,3000000
2007,7,-10.1,2100000
2007,8,-0.1,2200000
2007,9,4.7,1900000
2007,10,2.5,1900000
2007,11,5.5,1750000
2007,12,2.8,1600000
2008,1,-2.5,1700000
2008,2,6.88,1570000
2008,3,8.78,1800000
2008,4,1.78,1850000
2008,5,-0.85,1900000
2008,6,2.22,1940000
2008,7,0.98,2200000
2008,8,1.97,2220000
2008,9,-11.44,1900000
2008,10,-9.73,1690000
2008,11,-2.09,1740000
2008,12,0.75,1680000
2009,1,2.04,1580000
2009,2,-0.88,1500000
2009,3,-7.33,1410000
2009,4,1.58,1250000
2009,5,1.31,1260000
2009,6,1.21,1270000
2009,7,-4.47,1140000
2009,8,2.15,1120000
2009,9,3,930000
2009,10,-0.93,990000
2009,11,3.25,1030000
2009,12,1.74,1020000
2010,1,0.62,990000
2010,2,3.64,1010000
2010,3,-3.19,870000
2010,4,0.56,820000
2010,5,-1.6,810000
2010,6,2.06,820000
2010,7,3.19,850000
2010,8,3.01,870000
2010,9,0.8,870000
2010,10,0.25,870000
2010,11,-1.28,846000
2010,12,1.83,860000
2011,1,2.1,880000
2011,2,-1.36,860000
2011,3,0.83,840000
2011,4,1.67,860000
2011,5,3,880000
2011,6,1.23,890000
2011,7,-2.92,893000
2011,8,-7.89,770000
2011,9,4.16,800000
2011,10,-2.58,710000
2011,11,-1.71,700000
2011,12,4.36,725000
2012,1,4.4,660000
2012,2,2.8,680000
2012,3,1.52,690000
2012,4,2.03,670000
2012,5,1.03,670000
2012,6,-0.63,670000
2012,7,1.44,590000
2012,8,2.28,600000
2012,9,-0.55,600000
2012,10,0.04,600000
2012,11,-0.35,620000
2012,12,2.2,730000
2013,1,0.02,740000
2013,2,-3.01,710000
2013,3,-0.39,710000
2013,4,0.11,710000
2013,5,-13.5,610000
2013,6,2.06,650000
2013,7,-3.4,630000
2013,8,2.04,650000
2013,9,-1.81,630000
2013,10,-0.64,550000
2013,11,-2.42,570000
2013,12,1.13,580000
2014,1,0.86,590000
2014,2,-5.16,550000
2014,3,2.75,570000
2014,4,-2.11,540000
2014,5,1.45,540000
2014,6,1,540000
2014,7,-0.34,543000
2014,8,1.34,361000
2014,9,0.54,363000
2014,10,1.98,370000
2014,11,0.24,209000
2014,12,-1.18,170000
2015,1,3.68,176000
2015,2,2.82,182000
2015,3,1.19,184000
2015,4,1.24,186000
2015,5,1.17,188000
2015,6,1.23,190000
2015,7,-0.11,144000
2015,8,1.1,146000
2015,9,-0.53,145000
2015,10,2.33,148000
2015,11,1.31,130000
2015,12,-2.2,127000
2016,1,-5.37,120000
2016,2,0.38,90000
2016,3,1.31,92000
2016,4,1.16,93000
2016,5,1.06,94000
2016,6,1.87,95000
2016,7,2.24,97000
2016,8,1.6,100000
2016,9,0.81,100000
2016,10,1.75,102000
2016,11,-0.1,102000
2016,12,-5.69,92000
2017,1,3.33,80000
2017,2,-0.12,70000
2017,3,2.57,30000
2017,4,1.23,30000
2017,5,1.78,32000
2017,6,0.43,12000
2017,7,1.07,13000
2017,8,0.76,23000
2017,9,0.87,23000
2017,10,0.44,23000
2017,11,-7.1,21000
2017,12,4.84,32000
2018,1,-8.17,40000
2018,2,-2.05,30000
2018,3,3.24,30000
2018,4,1.15,37000
2018,5,0.92,31000
2018,6,0.13,20000
2018,7,0.5,20000
2018,8,0.88,20000
2018,9,1.88,21000
2018,10,1.08,21000
2018,11,0.79,21000
2018,12,-0.16,21000
2019,1,1.87,21000
2019,2,2.44,22000
2019,3,1.3,22000
2019,4,-0.91,22000
2019,5,1.7,22000
2019,6,1.72,22000
2019,7,2.17,23000
2019,8,1.13,23000
2019,9,0.61,22000
2019,10,1.81,43000
2019,11,0.21,44000
2019,12,0.39,44000
2020,1,2.12,45000
2020,2,-13.73,47000
