Year, Month, Return, Assets
1994,6,13.76,38300000
1994,7,-7.07,38700000
1994,8,-11.31,35000000
1994,9,-7.85,32100000
1994,10,-8.75,28500000
1994,11,0.77,28700000
1994,12,-3.03,28000000
1995,1,-8.93,25600000
1995,2,20.02,30500000
1995,3,28.91,28300000
1995,4,9.99,37100000
1995,5,-6.09,32400000
1995,6,7.04,34700000
1995,7,-3.01,32900000
1995,8,13.6,37700000
1995,9,-10.04,33800000
1995,10,4.11,40700000
1995,11,3.32,41800000
1995,12,5.41,43900000
1996,1,15.68,59200000
1996,2,-27.28,45000000
1996,3,19.08,54200000
1996,4,7.91,59400000
1996,5,-3.5,57600000
1996,6,3.06,61500000
1996,7,-20.85,52600000
1996,8,-3.17,49600000
1996,9,3.37,49400000
1996,10,20.61,59700000
1996,11,24.99,67700000
1996,12,-0.25,74700000
1997,1,11.43,85000000
1997,2,-0.33,91200000
1997,3,2.41,95600000
1997,4,-10.71,91700000
1997,5,-7.31,91500000
1997,6,-6.41,96400000
1997,7,26.72,123300000
1997,8,-20.94,108100000
1997,9,9.73,115100000
1997,10,0.32,106200000
1997,11,1.99,102100000
1997,12,2.48,51900000
1998,1,10.3,58200000
1998,2,-3.97,56000000
1998,3,5.47,57300000
1998,4,-19.26,46000000
1998,5,0.82,46000000
1998,6,3.39,46600000
1998,7,-1.3,45800000
1998,8,25.46,56400000
1998,9,15.25,63600000
1998,10,-7.36,59400000
1998,11,-8.47,54200000
1998,12,5.93,56700000
1999,1,-16.78,47300000
1999,2,16.01,61800000
1999,3,-3.55,52500000
1999,4,5.2,54800000
1999,5,5.21,56800000
1999,6,4.98,52400000
1999,7,-6.93,49200000
1999,8,4.13,51200000
1999,9,-5.09,48600000
1999,10,-18.63,39500000
1999,11,2.69,40400000
1999,12,-5.2,35000000
2000,1,3.71,35500000
2000,2,-1.8,34400000
2000,3,-8.38,30600000
2000,4,-13.71,25800000
2000,5,-1.14,24800000
2000,6,-2.71,24000000
2000,7,-4.07,22400000
2000,8,7.91,23200000
2000,9,-5.5,22000000
2000,10,6.5,23200000
2000,11,27.06,29400000
2000,12,34.42,39200000
2001,1,-1.27,38700000
2001,2,3.45,39900000
2001,3,15.01,45500000
2001,4,-19.08,37000000
2001,5,0.52,37100000
2001,6,-6.22,35200000
2001,7,-1.35,33900000
2001,8,15.2,44200000
2001,9,11.19,44600000
2001,10,19.33,53100000
2001,11,-22.67,41000000
2001,12,0.64,41100000
2002,1,-1.42,40500000
2002,2,-7.15,37400000
2002,3,-1.72,36300000
2002,4,-5.93,33500000
2002,5,4.67,34900000
2002,6,20.47,41000000
2002,7,23.49,50000000
2002,8,13.19,55900000
2002,9,18.1,65000000
2002,10,-17.65,53600000
2002,11,-11.02,48100000
2002,12,20.47,56300000
2003,1,12.07,61600000
2003,2,16.62,72000000
2003,3,-21.8,57500000
2003,4,-1.25,57200000
2003,5,10.98,63300000
2003,6,-14,53500000
2003,7,-5.3,52700000
2003,8,8.49,57500000
2003,9,-5.64,55600000
2003,10,-2.82,54300000
2003,11,-4.13,52100000
2003,12,-0.5,51800000
2004,1,0.5,51700000
2004,2,17.11,61100000
2004,3,3.13,63500000
2004,4,-16.91,53100000
2004,5,-3.51,51200000
2004,6,-5.88,48000000
2004,7,-4.93,46500000
2004,8,3.85,48300000
2004,9,-2.01,47700000
2004,10,10.75,52900000
2004,11,9.13,58500000
2004,12,-3.08,56300000
2005,1,-5.49,53200000
2005,2,-5.27,50400000
2005,3,0.03,50400000
2005,4,-10.59,44700000
2005,5,12.26,48100000
2005,6,6.13,50900000
2005,7,-3.26,49000000
2005,8,-1.59,48100000
2005,9,-4.52,45700000
2005,10,3.1,46700000
2005,11,7.22,48300000
2005,12,-6.33,45100000
2006,1,-3.78,42000000
2006,2,-2.86,40500000
2006,3,9.49,43300000
2006,4,15.2,48800000
2006,5,-4.86,45100000
2006,6,-5.21,42600000
2006,7,-8.73,38200000
2006,8,-2.79,36900000
2006,9,-0.9,36100000
2006,10,-1.11,35000000
2006,11,7.28,36300000
2006,12,-0.03,36100000
2007,1,5.87,38000000
2007,2,-10.92,32700000
2007,3,-6.4,29900000
2007,4,5.59,30700000
2007,5,11.28,33800000
2007,6,7.36,36300000
2007,7,-16.5,30300000
2007,8,-15.78,24900000
2007,9,15.11,28400000
2007,10,1.88,28900000
2007,11,2.5,29200000
2007,12,1.85,29100000
2008,1,16.15,30300000
2008,2,24.52,37000000
2008,3,-3.06,35300000
2008,4,-5.73,33200000
2008,5,7.36,35400000
2008,6,3.81,34900000
2008,7,-9.52,31600000
2008,8,4.78,33000000
2008,9,4.85,34500000
2008,10,26.55,43200000
2008,11,14.06,49200000
2008,12,7.28,51100000
2009,1,-6.27,44800000
2009,2,1.65,45500000
2009,3,-8.37,40400000
2009,4,0.94,40300000
2009,5,10.34,44500000
2009,6,-8.04,41400000
2009,7,-7.31,38100000
2009,8,5.03,38600000
2009,9,3.7,39800000
2009,10,-8.79,35900000
2009,11,11.12,39400000
2009,12,-11.39,34500000
2010,1,-19.53,27800000
2010,2,13.81,31400000
2010,3,10.33,34700000
2010,4,8.28,37800000
2010,5,3.41,38800000
2010,6,0.3,38700000
2010,7,-3.76,37200000
2010,8,15.56,42700000
2010,9,-2.14,41500000
2010,10,14.99,47400000
2010,11,-10.22,42200000
2010,12,8.61,45500000
2011,1,4.37,47300000
2011,2,-0.34,47200000
2011,3,-10.44,43000000
2011,4,5.34,45800000
2011,5,-5.81,44900000
2011,6,-1.67,47600000
2011,7,14.25,54200000
2011,8,4.71,56700000
2011,9,1.99,57900000
2011,10,-7.46,54000000
