Year, Month, Return, Assets
1984,11,-10.95,445242
1984,12,18.01,525436
1985,1,6.23,3499200
1985,2,10.03,4777400
1985,3,-7.25,8264480
1985,4,-13.09,7214400
1985,5,21.66,9701010
1985,6,-6.79,9411890
1985,7,-8.36,8479350
1985,8,-13.48,7069780
1985,9,-30.68,3511140
1985,10,6.69,3984680
1985,11,13.61,3823470
1985,12,10.02,4205220
1986,1,-1.5,4124680
1986,2,24.55,4238670
1986,3,11.93,4709220
1986,4,-5.59,4300140
1986,5,-5.98,4284350
1986,6,-13.98,3660020
1986,7,-4.2,3347250
1986,8,12.45,3766590
1986,9,0.64,4225020
1986,10,-2.79,5652480
1986,11,-6.18,4850580
1986,12,-0.11,3674690
1987,1,8.81,3968960
1987,2,-1.75,4411260
1987,3,7.18,3911910
1987,4,31.63,4489220
1987,5,-2.69,4099600
1987,6,-4.61,3730010
1987,7,5.97,6783090
1987,8,-2.98,6225500
1987,9,5.5,6130670
1987,10,-5.59,5831750
1987,11,17.76,6681810
1987,12,1.96,8923310
1988,1,0.73,10695700
1988,2,4.34,18734800
1988,3,-6.55,17533700
1988,4,-2.47,17153300
1988,5,3.88,14907100
1988,6,-0.56,15775000
1988,7,-1.83,15900700
1988,8,-2.65,15417300
1988,9,1.98,20683000
1988,10,1.92,19265600
1988,11,-0.72,19738400
1988,12,-16.7,15519600
1989,1,21.1,29637500
1989,2,-4.23,28398300
1989,3,9.3,26947500
1989,4,6.09,29532700
1989,5,20.02,35388800
1989,6,3.21,35982200
1989,7,8.15,48882900
1989,8,-13.02,42660700
1989,9,-1.56,41586700
1989,10,-16.65,34855500
1989,11,7.34,37380300
1989,12,-5.42,34909800
1990,1,23.45,43017700
1990,2,5.35,64805900
1990,3,6.11,68314200
1990,4,6.8,72014600
1990,5,-11.23,84918704
1990,6,3.99,88127696
1990,7,1.37,89339104
1990,8,2.07,91263800
1990,9,3.76,94207904
1990,10,-0.4,144274000
1990,11,5.44,152252992
1990,12,-1.19,150036000
1991,1,-7.05,139352000
1991,2,-4.51,137839008
1991,3,10.3,153335008
1991,4,-4.49,146590000
1991,5,-4.99,158560000
1991,6,-0.46,156602000
1991,7,-2.54,153267008
1991,8,9.93,168672000
1991,9,9.23,180351008
1991,10,-14.93,153224000
1991,11,1.2,153151008
1991,12,31.22,196042000
1992,1,-14.53,168208000
1992,2,-0.9,163324992
1992,3,4.04,164456000
1992,4,-15.1,139280992
1992,5,-0.36,136760992
1992,6,13.04,148792992
1992,7,11.43,165348000
1992,8,9.18,178531008
1992,9,-8.23,159616992
1992,10,-5.42,149380992
1992,11,-4.3,142848000
1992,12,-8.15,118778000
1993,1,2.9,122112000
1993,2,13.99,138756000
1993,3,-3.28,124918000
1993,4,12.37,140323008
1993,5,3.76,144543008
1993,6,0.58,145715008
1993,7,7.41,156486000
1993,8,8.42,169828992
1993,9,-5.02,162804992
1993,10,1.59,165546000
1993,11,1.03,167816000
1993,12,6.1,177272992
1994,1,-1.71,174420000
1994,2,-5.34,165786000
1994,3,14.9,231178000
1994,4,6.97,247216000
1994,5,5.21,262047008
1994,6,3.29,275332992
1994,7,-13.38,239674000
1994,8,-17.67,198124992
1994,9,-4.68,188135008
1994,10,-1.02,184511008
1994,11,0.74,185663008
