Year, Month, Return, Assets
1991,5,2.92,205849
1991,6,0.91,407716
1991,7,-0.46,405855
1991,8,-7.01,377419
1991,9,0.81,380494
1991,10,-1.05,376503
1991,11,2.04,384198
1991,12,9.9,422227
1992,1,-5.95,397110
1992,2,-8.36,363926
1992,3,-3.7,350471
1992,4,-5.48,331274
1992,5,0.55,333082
1992,6,3.65,345252
1992,7,16.6,402574
1992,8,0.72,405462
1992,9,-2.95,393514
1992,10,-5.1,373447
1992,11,2.52,382851
1992,12,1.45,188394
1993,1,3.79,195533
1993,2,1.96,199357
1993,3,0.66,200680
1993,4,18.14,237088
1993,5,2.79,243698
1993,6,2.19,249043
1993,7,1.54,252871
1993,8,-3.65,443640
1993,9,-5.62,418690
1993,10,3.67,434036
1993,11,-2.41,423587
1993,12,10.24,466965
1994,1,-2.62,454727
1994,2,1.69,462434
1994,3,1.8,470777
1994,4,-7.23,436757
1994,5,13.87,497338
1994,6,10.41,549091
1994,7,-2.05,537853
1994,8,0.41,1034041
1994,9,9.16,1110591
1994,10,-4.89,1047009
1994,11,10.1,1591745
1994,12,4.46,2284719
1995,1,-4.97,2178232
1995,2,9.33,2863898
1995,3,13.66,4393544
1995,4,3.61,6215849
1995,5,1.24,7601498
1995,6,7.45,10293560
1995,7,-6,7766271
1995,8,4.72,7921002
1995,9,-0.3,8257403
1995,10,2.94,10488306
1995,11,9.17,9690070
1995,12,8.84,13845492
1996,1,1.46,15374804
1996,2,-11.64,18348648
1996,3,8.41,21721309
1996,4,13.3,26621458
1996,5,-8.66,28967145
1996,6,10.6,32548657
1996,7,-17.62,27281126
1996,8,-2.17,30271647
1996,9,10.09,33726284
1996,10,3.79,34737404
1996,11,15.1,39269738
1996,12,7.58,38506994
1997,1,-1.5,40308010
1997,2,11.39,43788731
1997,3,-2.66,41456026
1997,4,-9.59,39723428
1997,5,-7.4,37510498
1997,6,-19.13,26159491
1997,7,-1.83,28133499
1997,8,-4.62,27477053
1997,9,3.2,28858376
1997,10,13.61,31007935
1997,11,-6.7,30227835
1997,12,4.42,29072037
1998,1,6.81,29418851
1998,2,1.7,29184655
1998,3,0.05,28943542
1998,4,0.58,26937778
1998,5,6.34,26794849
1998,6,3.77,22725964
1998,7,7.74,24853092
1998,8,16.2,27739055
1998,9,-3.29,28639284
1998,10,-10.09,25978706
1998,11,-7.87,22846990
1998,12,1.57,23121609
1999,1,-5.41,22981723
1999,2,7.66,24196232
1999,3,-21.29,17760054
1999,4,19.34,19987775
1999,5,-16.03,15952835
1999,6,2.74,16322019
1999,7,-3.31,15075047
1999,8,5.33,15498111
1999,9,6.92,16811145
1999,10,-16.61,14204775
1999,11,16.68,14503583
1999,12,13.91,9991466
2000,1,3.63,10134545
2000,2,5.52,10025334
2000,3,-11.14,8006642
2000,4,-12.97,6111542
2000,5,9.18,6030860
2000,6,-7.23,5500099
2000,7,-2.59,5373326
2000,8,9.9,4697967
2000,9,-0.84,4677435
2000,10,3.57,4190072
2000,11,12.62,4716694
2000,12,14.71,5166748
2001,1,-1.77,4892494
2001,2,4.53,4963246
2001,3,8.51,5339095
2001,4,-18.44,4454754
2001,5,0.55,4472082
2001,6,-1.34,4419106
2001,7,2.39,4510558
2001,8,1.9,4582176
2001,9,16.35,5241655
2001,10,8.94,3649911
2001,11,-20.02,3026435
2001,12,-3.43,3085501
2002,1,-3.28,3001655
2002,2,2.6,3039971
2002,3,-8.85,2290184
2002,4,-2.87,2369535
2002,5,3.84,2198873
2002,6,16.44,2559620
2002,7,14.86,2776772
2002,8,-0.09,2763428
2002,9,0.14,2605917
2002,10,-0.04,2549957
2002,11,-0.06,2547628
2002,12,0.37,2556183
2003,1,0.13,2551000
2003,2,-0.06,2544000
2003,3,-0.03,2543000
2003,4,0.09,2544000
2003,5,0.39,2553000
2003,6,-0.34,2350000
2003,7,-0.24,2343000
2003,8,1.68,2382000
2003,9,15.72,2605000
2003,10,1.21,2635649
2003,11,0.08,2636817
2003,12,0.14,2639531
2004,1,-0.12,2635470
2004,2,0.25,2384559
2004,3,0.56,2542986
2004,4,-1.26,2365950
2004,5,-1.45,2330542
2004,6,0.28,2336310
2004,7,-2.35,2280648
2004,8,-10.41,2042366
2004,9,-0.34,2034732
2004,10,-1.06,2012493
2004,11,10.95,2231933
2004,12,-3.21,2159390
2005,1,-5.51,2039755
2005,2,5.13,2143782
2005,3,-6.4,2005792
2005,4,-8.14,1301662
2005,5,-0.83,763092
2005,6,3.39,800000
2005,7,2.02,800000
2005,8,8.02,869421
2005,9,15.96,1008137
2005,10,-0.21,1005970
2005,11,13.39,1140663
2005,12,3.55,1181138
2006,1,12.01,1322987
2006,2,-2.5,1289946
2006,3,12.65,1453186
2006,4,12.86,641722
2006,5,0.06,642124
2006,6,-2.8,624146
2006,7,-1.32,615876
2006,8,-1.25,608178
2006,9,0.3,609991
2006,10,0.69,1090156
2006,11,5.36,1153397
2006,12,2.21,1686255
2007,1,1.41,1710056
2007,2,-11.48,1513716
2007,3,-8.58,962690
2007,4,4.58,1006794
2007,5,9.1,1098378
2007,6,4.41,1150000
2007,7,-16.7,955363
2007,8,-3.39,922992
2007,9,15.59,1066929
2007,10,9.4,1167252
2007,11,-3.17,1130259
2007,12,5.01,1186896
2008,1,16.24,720757
2008,2,29.19,931148
2008,3,-2.11,911474
2008,4,-7.42,843827
2008,5,-0.47,839819
2008,6,3.26,867228
2008,7,-5.37,820644
2008,8,0.04,820947
2008,9,5,661972
2008,10,45.42,962649
2008,11,13.42,1091870
2008,12,4.93,1250687
2009,1,-0.76,1241220
2009,2,0.8,1251172
2009,3,-1.65,1230509
2009,4,1.23,1245688
2009,5,-1.94,1221551
2009,6,-0.29,1218015
2009,7,0.51,1224200
2009,8,5.94,786978
2009,9,-1.29,776840
2009,10,-3.39,750543
2009,11,8.47,814147
2009,12,-7.83,750438
2010,1,-12.03,660145
2010,2,-1.44,650641
2010,3,4.11,677355
2010,4,5.4,713944
2010,5,-18.46,582151
2010,6,1.41,590353
2010,7,-6.46,552197
2010,8,11.31,614642
2010,9,13.72,698951
2010,10,17.71,822747
2010,11,-7.24,763220
2010,12,19.08,908822
2011,1,3.91,944381
2011,2,4.92,990872
2011,3,-3.29,958317
2011,4,7.31,1028373
2011,5,-9.48,930857
2011,6,-7.63,859000
2011,7,1.58,924696
2011,8,-3.26,894518
2011,9,13.37,1014127
2011,10,-21.43,796799
2011,11,17.95,327148
2011,12,-1.49,1244337
2012,1,-5.9,1170953
2012,2,-2.19,1145363
2012,3,-2.15,1120757
2012,4,-1.24,1106820
2012,5,1.42,1122546
2012,6,-17.74,923372
2012,7,14.96,1061501
2012,8,-9.29,962933
2012,9,-10.34,863346
2012,10,-17.7,710590
2012,11,5.15,2864824
2012,12,7.17,2994325
2013,1,12.67,3226414
2013,2,-11.04,1261695
2013,3,6.7,1344956
2013,4,-0.53,1444133
2013,5,9.21,3613799
2013,6,4.02,3694798
2013,7,-11.71,3283498
2013,8,-9.84,3118430
2013,9,3.53,3128964
2013,10,2.89,3166229
2013,11,10.29,3340917
2013,12,4.65,3430216
2014,1,0.88,1188704
2014,2,9.48,1301406
2014,3,3.96,1352980
2014,4,12.57,1488503
2014,5,6.98,1569969
2014,6,9.34,1696155
2014,7,9.32,1837070
2014,8,-0.62,10949900
2014,9,4.79,11241463
2014,10,-10.92,10088275
2014,11,15.91,11499405
2014,12,4.6,9014776
2015,1,11.9,10294268
2015,2,-0.12,8954687
2015,3,6.56,10418496
2015,4,-4.47,9655879
2015,5,-0.47,9610048
2015,6,-5.16,9077799
2015,7,8.04,8232358
2015,8,-4.16,8775938
2015,9,10.73,9727363
2015,10,-22.81,7407211
2015,11,21.14,9626355
2015,12,-8.61,8759628
2016,1,-0.66,7786532
2016,2,8.66,8457952
2016,3,-9.19,7678102
2016,4,4.12,8016397
2016,5,-6.33,7218898
2016,6,18.56,8538193
2016,7,5.96,9067847
2016,8,-5.45,8565742
2016,9,12.2,9656993
2016,10,-4.09,9266987
2016,11,6.22,9868713
2016,12,-10.46,8837194
2017,1,-0.07,3056526
2017,2,-5.82,2878736
2017,3,-5.51,2540085
2017,4,-1.02,2493690
2017,5,1.68,2535640
2017,6,-0.6,2575315
2017,7,-1.97,2524601
2017,8,-1.18,2494845
2017,9,-15.3,2113456
2017,10,16.57,2463758
2017,11,-2.15,2410762
2017,12,7.9,2601673
2018,1,10.64,2818000
2018,2,-18.83,2287816
2018,3,0.23,2293815
2018,4,2.37,2348127
2018,5,-4.21,2249453
2018,6,-3.96,2160309
2018,7,-0.3,2153907
2018,8,10.97,2300000
2018,9,-0.41,2380000
2018,10,-8.29,2183414
2018,11,-1.14,2159000
2018,12,6.83,1706402
2019,1,-7.56,1448124
2019,2,5.93,1574000
2019,3,2.6,1535000
2019,4,6.28,2000000
2019,5,-0.19,1628686
2019,6,6.01,1726645
2019,7,9.82,1896287
2019,8,26.01,2239478
2019,9,-14.94,1904821
2019,10,-2.2,1813000
2019,11,-6.92,1687568
2019,12,12.09,1891737
2020,1,-11.02,1558274
2020,2,-0.33,1553000
2020,3,18.09,958703
