Year, Month, Return, Assets
1997,5,-4.57,954335
1997,6,14.98,1099130
1997,7,12.49,1238460
1997,8,-2.12,1214230
1997,9,-2.08,1190980
1997,10,-9.35,1988020
1997,11,17.34,2336660
1997,12,3.64,2423560
1998,1,7.84,3157250
1998,2,6.11,3358680
1998,3,6.6,5721260
1998,4,-5.46,5469410
1998,5,7.78,5904630
1998,6,2.2,6209520
1998,7,-1.38,10997900
1998,8,19.34,19065400
1998,9,-5.22,18026100
1998,10,-2.74,26310500
1998,11,4.25,33610700
1998,12,2.46,34350200
1999,1,0.06,34945200
1999,2,6.05,37194300
1999,3,-2.82,40730300
1999,4,4.46,42832900
1999,5,-5.56,40061400
1999,6,-0.36,49861100
1999,7,-4.43,47585800
1999,8,8.54,51712200
1999,9,-3.59,49666300
1999,10,-1.24,48989700
1999,11,5.2,54734800
1999,12,4.88,57675600
2000,1,-5.58,59849200
2000,2,0.35,59982600
2000,3,-1.59,58951100
2000,4,11.91,66311300
2000,5,1.14,67048900
2000,6,-4.41,62026300
2000,7,1.49,65425100
2000,8,4.92,69243296
2000,9,-1.7,72503600
2000,10,3.26,75122000
2000,11,6.33,74469800
2000,12,-0.12,74148096
2001,1,-6.2,68505800
2001,2,4.95,97601600
2001,3,15.48,115810000
2001,4,-4.19,111643000
2001,5,2.41,101582000
2001,6,4.97,102568000
2001,7,-3.66,97104800
2001,8,2.03,109712000
2001,9,6.23,128793000
2001,10,3.82,138831008
2001,11,-9.34,122787000
2001,12,4.82,134164000
2002,1,0.52,136219008
2002,2,-1.32,128365000
2002,3,-2.05,121682000
2002,4,-3.68,122628000
2002,5,-5.13,115619000
2002,6,11.62,129143000
2002,7,4.82,139740000
2002,8,3.75,155734000
2002,9,4.35,146172992
2002,10,-9.42,126836000
2002,11,-5.97,127187000
2002,12,10.19,139716000
2003,1,7.76,142403008
2003,2,6.94,156020000
2003,3,-6.32,146494000
2003,4,-4.1,157528000
2003,5,9.42,184923008
2003,6,-6.35,196031008
2003,7,-4.41,205640992
2003,8,-0.87,266244000
2003,9,4.17,287654016
2003,10,13.8,331688000
2003,11,-1.03,341272992
