Year, Month, Return, Assets
1985,1,26.7,1266980
1985,2,23.1,1559700
1985,3,-20.3,1084170
1985,4,-27.8,782777
1985,5,72.5,1350610
1985,6,-22.5,1046750
1985,7,29.2,1868930
1985,8,-18.8,1516710
1985,9,-26.9,1108540
1985,10,-6.6,1035220
1985,11,47,1522150
1985,12,20,1251840
1986,1,33.6,1672100
1986,2,84.2,3080520
1986,3,23.3,3799630
1986,4,-9.8,3427000
1986,5,-5.2,3248720
1986,6,-14.7,2772630
1986,7,6.6,2954330
1986,8,7.2,3166090
1986,9,-0.3,3157440
1986,10,-6.9,2940590
1986,11,0,2940590
1986,12,0,3000000
1987,1,27.4,3820850
1987,2,-9.3,3466320
1987,3,15.6,3207570
1987,4,108.3,6681100
1987,5,-1,6615830
1987,6,-3.7,6371360
1987,7,9.9,7004480
1987,8,-13.1,5504420
1987,9,6.7,5871980
1987,10,-6.1,0
1987,11,1.6,1809200
1987,12,7.8,0
1988,1,3.3,1859460
1988,2,9.4,2034040
1988,3,-5.8,189421
1988,4,-16.6,157915
1988,5,9.5,10832800
1988,6,77.1,1918570
1988,7,-19.6,3383190
1988,8,4.6,2560560
1988,9,10.5,2829170
1988,10,15.8,3275900
1988,11,8.5,3507100
1988,12,11.9,5402720
1989,1,-4.1,8480120
1989,2,-2.4,11833000
1989,3,17.1,13852400
1989,4,-18.2,12224600
1989,5,34,17652300
1989,6,-4,21394800
1989,7,5.3,22416400
1989,8,-22.4,16236800
1989,9,-7.7,15056000
1989,10,-19.3,9579960
1989,11,0.6,8629000
1989,12,36,11654100
1990,1,5.3,12136600
1990,2,0.5,12078900
1990,3,36.4,15568400
1990,4,39.6,19273200
1990,5,-15.9,15995600
1990,6,18,18650600
1990,7,11.5,20805700
1990,8,16.7,28330500
1990,9,9.4,31702200
1990,10,2.9,37475300
1990,11,0.2,36499800
1990,12,-2,41445900
1991,1,-7.3,41218700
1991,2,-11.8,40377100
1991,3,0.2,47791300
1991,4,-4.8,48165800
1991,5,-3.2,55095100
1991,6,1.1,65163600
1991,7,-11.3,57728500
1991,8,-1.8,72610400
1991,9,13.4,81594800
1991,10,-2.8,79810600
1991,11,-2.6,77770096
1991,12,44.6,111664000
1992,1,-15.2,97395600
1992,2,-5.8,93671000
1992,3,-5.7,86041504
1992,4,-4.8,82158896
1992,5,-3.8,77741104
1992,6,5.4,81083504
1992,7,9.4,97162304
1992,8,1.2,100416000
1992,9,-12.1,86811400
1992,10,-1.1,83825696
1992,11,0.8,82821504
1992,12,-4.3,74889904
1993,1,6.9,81842304
1993,2,8.5,89217200
1993,3,3,90637904
1993,4,10.2,101145000
1993,5,-5.5,96640896
1993,6,-1.5,94467400
1993,7,22,114896000
1993,8,9.5,126842000
1993,9,-2.7,121499000
1993,10,-1.9,158180000
1993,11,-2.4,155810000
1993,12,8.2,166524000
1994,1,-13,146844000
1994,2,-11.4,129694000
1994,3,12,158996000
1994,4,-1.4,157988000
1994,5,11.9,176270000
1994,6,-1.2,180846000
1994,7,-6.8,176131008
