Year, Month, Return, Assets
1991,10,-6.09,469566
1991,11,3.25,484846
1991,12,48.7,720943
1992,1,-19.25,582139
1992,2,-12.7,508231
1992,3,-12.52,444583
1992,4,6.65,474136
1992,5,-9.37,429733
1992,6,17.69,505750
1992,7,25.69,635666
1992,8,11.22,707002
1992,9,0.5,710537
1992,10,-4.51,678502
1992,11,9.76,744753
1992,12,-4.14,713887
1993,1,-1.85,700671
1993,2,12.16,785877
1993,3,-9.22,713393
1993,4,11.89,798203
1993,5,6.03,846348
1993,6,15,973317
1993,7,16.09,1129936
1993,8,8.68,1228006
1993,9,-7.72,1133201
1993,10,2.9,1166044
1993,11,7.71,1255955
1993,12,14.52,1438337
1994,1,-28.85,1243103
1994,2,0.11,1244473
1994,3,16.36,1448119
1994,4,6.06,1535881
1994,5,9.48,1681551
1994,6,2.01,1715378
1994,7,1.21,1736150
1994,8,-13.18,1507287
1994,9,19.93,1807749
1994,10,-17.61,1489392
1994,11,14.47,1704881
1994,12,-15.9,1433842
1995,1,-2.59,1394010
1995,2,14.63,1597927
1995,3,20.81,1930470
1995,4,3.46,1997342
1995,5,26.71,2530826
1995,6,-2.03,2479550
1995,7,-16.91,2060177
1995,8,-5.95,1937628
1995,9,-4.79,1844848
1995,10,-9.45,1670554
1995,11,15.16,1923863
1995,12,21.57,2338907
1996,1,13.92,2664472
1996,2,-8.27,2444145
1996,3,4.31,2549554
1996,4,26.29,3219823
1996,5,-14.51,2752576
1996,6,-5.92,2589494
1996,7,-9.23,2350548
1996,8,-1.95,3848600
1996,9,26.88,4814756
1996,10,24.25,5195767
1996,11,16.81,6025298
1996,12,-7.64,5589088
1997,1,18.53,10216802
1997,2,8.97,11137339
1997,3,7.72,11984344
1997,4,1.48,13686383
1997,5,2.47,14006386
1997,6,6.35,16401918
1997,7,11.08,29519374
1997,8,-4.64,28657088
1997,9,8,32319988
1997,10,-0.46,31984609
1997,11,-5.08,30523970
1997,12,-2.91,29015497
1998,1,6.74,30674502
1998,2,3.7,31608167
1998,3,-4.75,30173776
1998,4,-6.55,28177629
1998,5,2.28,28746209
1998,6,2.04,29166051
1998,7,-2.02,28530142
1998,8,32.07,35515312
1998,9,0.28,35468978
1998,10,0.57,35550819
1998,11,0,35455573
1998,12,1.2,24034843
1999,1,2.01,24542025
1999,2,6.42,26040317
1999,3,-6.89,24174229
1999,4,-3.07,23431987
1999,5,-2.74,21868746
1999,6,1.87,21350403
1999,7,6.3,22636362
1999,8,-6.42,21182196
1999,9,4.11,21992873
1999,10,-3.23,21206293
1999,11,0.41,21276668
1999,12,-0.75,20135504
2000,1,-2.48,19605585
2000,2,-0.59,19451113
2000,3,-2.15,15455802
2000,4,-0.14,15401136
2000,5,2.44,15748905
2000,6,-1.5,15474726
2000,7,-3.01,14971691
2000,8,0.71,15042536
2000,9,1.65,15402718
2000,10,1.03,15532162
2000,11,15.98,17928214
2000,12,11.28,19915194
2001,1,2.08,20277160
2001,2,-1.01,20024034
2001,3,0.65,31077536
2001,4,-0.38,33985951
2001,5,4.11,35333106
2001,6,-3.54,34016711
2001,7,-1.49,33455909
2001,8,7.03,35765700
2001,9,-3.39,35290141
2001,10,6.54,34362470
2001,11,-2.53,33714423
2001,12,1,40084925
2002,1,3.22,39233299
2002,2,-5.27,36692247
2002,3,-1.1,36000704
2002,4,4.68,37666725
2002,5,-0.62,38134499
2002,6,3.07,39314504
2002,7,2.65,40514484
2002,8,-0.33,41883501
2002,9,-1.14,42574300
2002,10,-2.41,38189483
2002,11,-1.41,37601747
2002,12,13.2,42592692
2003,1,2,47460601
2003,2,8.82,52594518
2003,3,-0.44,49327706
2003,4,0.46,51703100
2003,5,5.7,63038890
2003,6,-0.75,65643782
2003,7,-1.83,64491601
2003,8,0.7,64867253
2003,9,0.44,65914446
2003,10,-0.7,64985672
2003,11,1.29,64822448
2003,12,3.35,66968591
2004,1,-2.48,66611127
2004,2,5.1,72578676
2004,3,-0.91,71367188
2004,4,-5.27,64076234
2004,5,0.06,64088319
2004,6,-4.19,62677292
2004,7,-3.08,56066503
2004,8,5.11,58904623
2004,9,1.08,60668692
2004,10,6.92,65949500
2004,11,5.28,75998931
2004,12,-1.19,75343556
2005,1,-4.09,69480912
2005,2,0.29,67967040
2005,3,1.54,68980307
2005,4,-2.16,68586340
2005,5,7.22,74184300
2005,6,3.65,76990777
2005,7,-0.38,80253607
2005,8,4.87,84115587
2005,9,-2.25,82962506
2005,10,0.31,84074975
2005,11,0.72,85284922
2005,12,0.4,82177177
2006,1,0.68,81648380
2006,2,-2.64,79418618
2006,3,-5.29,70331118
2006,4,5.63,74224902
2006,5,1.29,75968860
2006,6,2.06,77447453
2006,7,-4.21,75090271
2006,8,2.09,76594070
2006,9,-2.22,75177786
2006,10,0.71,73375799
2006,11,7.09,78491404
2006,12,-3.1,140003662
2007,1,0.35,155895650
2007,2,0.84,129110344
2007,3,-4.54,74776416
2007,4,3.71,75860490
2007,5,2.1,61411687
2007,6,5.81,188270956
2007,7,1.48,196895506
2007,8,-2,190498465
2007,9,13.33,176452700
2007,10,6.04,183905958
2007,11,3.36,195880123
2007,12,4.18,181080764
2008,1,2.16,185632050
2008,2,11.42,208360765
2008,3,0.3,178901528
2008,4,0.23,210605739
2008,5,1.96,214739874
2008,6,3.48,222106327
2008,7,-6.54,222174349
2008,8,-2.98,224960312
2008,9,3.09,232087066
2008,10,0.12,238634294
2008,11,1.38,171838099
2008,12,0.18,171763308
2009,1,-1.6,180546543
2009,2,-0.28,188888812
2009,3,1.01,191111917
2009,4,-2.19,193803916
2009,5,4.02,200794857
2009,6,-5.85,184962939
2009,7,1.23,193088257
2009,8,0.47,192695199
2009,9,2.63,196719937
2009,10,-5.43,202988294
2009,11,8.14,216986205
2009,12,-6.78,201114635
2010,1,-8.11,181147413
2010,2,-1.27,175336932
2010,3,0.5,171392914
2010,4,2.83,179967641
2010,5,3.41,185896400
2010,6,6.41,212483836
2010,7,-2.37,201356366
2010,8,4.31,211567781
2010,9,5.97,223640615
2010,10,4.37,232939751
2010,11,-2.92,230736248
2010,12,10.12,254793611
2011,1,-3.87,268900123
2011,2,3.64,285145661
2011,3,-1.72,283277884
2011,4,10.88,320264344
2011,5,-5.23,310117253
2011,6,-6.04,298101246
2011,7,0.91,297110876
2011,8,-0.29,300696128
2011,9,-9.47,267187708
2011,10,-4.58,245324470
2011,11,-2.85,227693883
2011,12,0,210628758
2012,1,1.65,203674556
2012,2,1.93,206962437
2012,3,-3.19,189564462
2012,4,1.72,188691821
2012,5,9.27,192661693
2012,6,-7.49,166107339
2012,7,9.29,179097856
2012,8,1.86,185540340
2012,9,-1.05,180857092
2012,10,-9.04,157072285
2012,11,0.29,159238721
2012,12,-0.02,159140607
2013,1,3.66,165941780
2013,2,-1.33,165418842
2013,3,1.08,169946704
2013,4,0.52,178715736
2013,5,-5.7,162807335
2013,6,-5.05,142455917
2013,7,-0.75,138551484
2013,8,0.65,128471262
2013,9,1.63,116759459
2013,10,-0.17,115487434
2013,11,4.2,114037645
2013,12,2.65,99707195
2014,1,-2.52,96610384
2014,2,7.87,96350661
2014,3,-5.45,90021738
2014,4,0.9,89221641
2014,5,1.89,88582132
2014,6,0.76,70372649
2014,7,-4.76,52487427
2014,8,6.09,54457465
2014,9,1.27,54850863
2014,10,6.29,57876999
2014,11,4.48,60322648
2014,12,1.67,49030400
2015,1,5.52,51581892
2015,2,-0.51,51511645
2015,3,-0.72,50206131
2015,4,-1.92,49114482
2015,5,2.48,50241088
2015,6,-5.54,47131907
2015,7,0.41,47265849
2015,8,-5.37,44546033
2015,9,3.49,46081953
2015,10,-0.76,43993845
2015,11,1.96,44656737
2015,12,-8.53,40603660
2016,1,8.88,44050829
2016,2,3.86,45539376
2016,3,-2.39,44932785
2016,4,0.57,45017551
2016,5,-2.56,43696609
2016,6,9.87,47788010
2016,7,0.01,47701967
2016,8,-10.22,42650880
2016,9,-2.34,39204083
2016,10,-3,37727684
2016,11,1.37,37947810
2016,12,4.19,39273269
2017,1,-3.9,37247350
2017,2,-1.15,36638543
2017,3,-2.05,35747185
2017,4,2.18,36170832
2017,5,0.2,35752353
2017,6,2.88,36419197
2017,7,-0.59,36202634
2017,8,1.01,36574237
2017,9,-0.07,36303706
2017,10,3.95,37511892
2017,11,-2.24,36669994
2017,12,4.05,38054197
2018,1,9.75,41448025
2018,2,-3.14,39851473
2018,3,-1.09,39291695
2018,4,-0.89,38942315
2018,5,-1.99,38177773
2018,6,0.19,38278220
2018,7,1,38537451
2018,8,0.2,38431240
2018,9,1.88,38992808
2018,10,-1.46,38400000
2018,11,-1,38000000
2018,12,1.85,38700000
2019,1,-1.77,38100000
2019,2,-1.44,37400000
2019,3,-0.66,37200000
2019,4,-0.22,36500000
2019,5,0.21,36500000
2019,6,-0.61,36300000
2019,7,2.08,36900000
2019,8,6.81,39300000
2019,9,-6.72,36700000
2019,10,-2.35,35846000
2019,11,-4.15,34400000
2019,12,-1.03,34000000
2020,1,4.2,9800000
2020,2,4.09,1300000
2020,3,0.05,1300000
