Year, Month, Return, Assets
1991,8,-1,5320619
1991,9,6.64,5767017
1991,10,0.25,5769057
1991,11,2.09,5811408
1991,12,27.92,7946980
1992,1,-15.27,6746588
1992,2,-7.56,5419496
1992,3,-5.7,5136724
1992,4,2.22,10303273
1992,5,-3.45,9907486
1992,6,9.35,10650449
1992,7,11.43,11924350
1992,8,7.51,12838385
1992,9,-1.18,17558821
1992,10,-4.35,16638382
1992,11,7.7,17831491
1992,12,-4.6,16922384
1993,1,-1.38,16406072
1993,2,9.63,20201325
1993,3,-8.28,18331055
1993,4,9.41,20067593
1993,5,3.81,21006158
1993,6,12.13,25914751
1993,7,9.41,36056654
1993,8,4.85,50846721
1993,9,-6.67,55834703
1993,10,1.74,58940493
1993,11,4.9,64169744
1993,12,9.45,72070006
1994,1,-18.3,58277750
1994,2,-0.7,57328058
1994,3,10.58,63534195
1994,4,2.17,64945062
1994,5,5.05,68363403
1994,6,1.66,71497914
1994,7,-0.1,71341681
1994,8,-8.59,63820483
1994,9,13.36,69419910
1994,10,-10.5,57947995
1994,11,8.74,63220317
1994,12,-10.45,56781762
1995,1,-1.39,55598662
1995,2,8.85,58454486
1995,3,14.13,63818980
1995,4,3.21,66218484
1995,5,20.13,82254205
1995,6,-1.32,80100628
1995,7,-10.31,69188970
1995,8,-3.27,65353679
1995,9,-2.8,62754951
1995,10,-5.58,56725669
1995,11,9.24,62260625
1995,12,13.01,63612386
1996,1,8.72,70142977
1996,2,-5.4,64414577
1996,3,2.6,66320220
1996,4,17.48,80643130
1996,5,-9.28,71780690
1996,6,-3.32,68774181
1996,7,-4.28,70746893
1996,8,-1.2,69814926
1996,9,17.55,84525804
1996,10,16.24,100300564
1996,11,11.43,114496404
1996,12,-5.51,98799433
1997,1,12.66,116935093
1997,2,6.91,137588626
1997,3,6.6,148828130
1997,4,1.24,153941494
1997,5,1.89,163724994
1997,6,5.39,179934058
1997,7,9.18,228307087
1997,8,-4.11,224454171
1997,9,6.51,255466202
1997,10,-0.41,256359213
1997,11,-3.54,251079534
1997,12,-2.35,244477425
1998,1,4.77,252895429
1998,2,2.48,259823474
1998,3,-3.2,249924300
1998,4,-5.17,235706823
1998,5,1.89,237951681
1998,6,1.57,241491869
1998,7,-1.59,237145150
1998,8,25.28,307041997
1998,9,0.18,304556959
1998,10,0.39,309904774
1998,11,-0.15,309118471
1998,12,0.65,310041837
1999,1,1.49,314107247
1999,2,5.12,333745744
1999,3,-6.18,308395476
1999,4,-2.59,297194844
1999,5,-2.43,289776074
1999,6,1.43,299072502
1999,7,5.18,315023351
1999,8,-5.62,296747209
1999,9,3.31,307351387
1999,10,-2.86,297977928
1999,11,0.04,292421865
1999,12,-0.73,255540169
2000,1,-2.14,283738080
2000,2,-0.61,284004151
2000,3,-1.94,278087718
2000,4,-0.29,274592656
2000,5,1.88,272179041
2000,6,-1.45,270999812
2000,7,-2.71,259324112
2000,8,0.43,264139607
2000,9,1.48,262113862
2000,10,0.83,239522220
2000,11,12.3,255425623
2000,12,10.02,270978588
2001,1,1.63,278328168
2001,2,-1.07,280893921
2001,3,0.4,293515273
2001,4,-0.48,293837197
2001,5,3.4,283435568
2001,6,-3.28,284149960
2001,7,-1.42,297352305
2001,8,5.87,316410346
2001,9,-3.28,300661654
2001,10,5.58,319454263
2001,11,-2.36,299848350
2001,12,0.76,312901327
2002,1,2.69,325568822
2002,2,-4.55,302967869
2002,3,-0.99,299876592
2002,4,3.92,312880853
2002,5,-0.68,317977992
2002,6,2.59,333916563
2002,7,2.24,342072357
2002,8,-0.34,334302759
2002,9,-1.01,324824324
2002,10,-1.9,314503059
2002,11,-1.4,315182177
2002,12,10.79,343990873
2003,1,1.56,357087437
2003,2,7.26,394047427
2003,3,-0.58,391526012
2003,4,0.31,382877825
2003,5,4.78,418858546
2003,6,-0.8,412395652
2003,7,-1.55,405689896
2003,8,0.44,407259566
2003,9,0.15,410748209
2003,10,-0.7,400900447
2003,11,0.86,411281374
2003,12,2.69,410980105
2004,1,-2.22,412741687
2004,2,4.28,431973476
2004,3,-0.75,427559122
2004,4,-4.37,407361565
2004,5,0.04,409614284
2004,6,-3.65,390580275
2004,7,-2.69,365612621
2004,8,4.4,385209916
2004,9,0.86,390953210
2004,10,5.97,416960292
2004,11,4.39,440308814
2004,12,-1.12,453889224
2005,1,-3.38,440185842
2005,2,0.23,425991551
2005,3,1.33,439203117
2005,4,-1.79,432509463
2005,5,6.16,455987659
2005,6,3.25,417170250
2005,7,-0.2,468314897
2005,8,3.72,498916672
2005,9,-1.86,476618078
2005,10,0.31,479527021
2005,11,0.64,481558913
2005,12,0.34,439605240
2006,1,0.67,447591663
2006,2,-2.13,442507421
2006,3,-4.36,417578682
2006,4,4.92,438153684
2006,5,1.34,442791859
2006,6,1.83,418603222
2006,7,-3.54,407526991
2006,8,1.86,420079677
2006,9,-1.79,407964077
2006,10,0.67,414928846
2006,11,5.95,413383338
2006,12,-2.33,431626382
2007,1,0.37,435155392
2007,2,0.67,433786739
2007,3,-4.07,404582816
2007,4,3.19,412907716
2007,5,1.7,392315074
2007,6,5.21,312999248
2007,7,1.23,319953570
2007,8,-1.76,313560988
2007,9,11.81,350832594
2007,10,5.39,373901006
2007,11,3.06,358093769
2007,12,3.76,350888581
2008,1,1.85,375393753
2008,2,10.01,414987927
2008,3,0.21,422012067
2008,4,0.14,446679286
2008,5,1.7,457819588
2008,6,3.1,465107092
2008,7,-5.47,442737132
2008,8,-2.71,475608343
2008,9,2.69,507054949
2008,10,0.17,416682732
2008,11,1.2,384576436
2008,12,0.26,346816576
2009,1,-1.38,367845760
2009,2,-0.23,357316961
2009,3,0.86,357138585
2009,4,-1.79,336664944
2009,5,3.41,347501221
2009,6,-5.06,436148058
2009,7,1.26,452174606
2009,8,0.48,449728581
2009,9,2.35,479289484
2009,10,-4.85,485563511
2009,11,6.74,473406206
2009,12,-5.64,445443935
2010,1,-6.92,394794122
2010,2,-1.12,362812379
2010,3,0.52,312542651
2010,4,2.55,316079236
2010,5,2.73,300412618
2010,6,5.53,275677258
2010,7,-1.87,273406981
2010,8,3.63,312320188
2010,9,5.09,344621468
2010,10,3.62,389564335
2010,11,-2.35,383250574
2010,12,8.45,417640330
2011,1,-3.24,442895818
2011,2,3.07,480335948
2011,3,-1.48,471222005
2011,4,9.04,516713710
2011,5,-4.26,506999035
2011,6,-5,483285543
2011,7,0.85,480801031
2011,8,-0.32,557212214
2011,9,-8.07,535742250
2011,10,-3.92,504890829
2011,11,-2.53,496852031
2011,12,0.03,498390949
2012,1,1.36,503900029
2012,2,1.68,509346761
2012,3,-2.47,482472910
2012,4,1.61,490134217
2012,5,8.23,533330446
2012,6,-6.71,480195872
2012,7,8.29,515244044
2012,8,1.72,524248355
2012,9,-0.95,516473110
2012,10,-7.91,439910972
2012,11,0.28,393696216
2012,12,-0.07,391928763
2013,1,3.26,409804840
2013,2,-1.27,430553329
2013,3,0.85,431736476
2013,4,0.45,438312344
2013,5,-5.03,395705804
2013,6,-4.53,384104779
2013,7,-0.73,373703301
2013,8,0.57,304900565
2013,9,1.47,298619554
2013,10,-0.1,292545363
2013,11,3.89,300008020
2013,12,2.34,303741390
2014,1,-2.38,296288565
2014,2,7.11,321175350
2014,3,-5.02,297562093
2014,4,0.72,325073338
2014,5,1.72,331579937
2014,6,0.7,329662681
2014,7,-4.36,312303978
2014,8,5.4,315672833
2014,9,1.16,308876961
2014,10,5.44,325639998
2014,11,3.63,336398002
2014,12,1.5,334104012
2015,1,4.72,352169360
2015,2,-0.46,347203097
2015,3,-0.66,336917204
2015,4,-1.66,331849317
2015,5,2.13,338174048
2015,6,-4.82,313298553
2015,7,0.22,320567180
2015,8,-4.69,312330955
2015,9,3.06,307213698
2015,10,-0.68,306833688
2015,11,1.62,308601056
2015,12,-7.41,279598880
2016,1,7.76,310347565
2016,2,3.3,318878164
2016,3,-2.13,302845359
2016,4,0.31,303554084
2016,5,-2.06,297658423
2016,6,8.53,308074292
2016,7,-0.03,309607250
2016,8,-8.8,284155318
2016,9,-2.04,266508311
2016,10,-2.71,259392085
2016,11,1.27,260334774
2016,12,3.68,266200486
2017,1,-3.45,253665226
2017,2,-1.17,264766236
2017,3,-1.93,146623787
2017,4,1.87,150582137
2017,5,0.21,150964039
2017,6,2.34,153536097
2017,7,-0.54,152500960
2017,8,0.97,153911810
2017,9,-0.18,151711750
2017,10,3.48,158654028
2017,11,-2.04,155568239
2017,12,3.4,161303232
2018,1,8.58,175451531
2018,2,-2.96,168749196
2018,3,-0.85,166775471
2018,4,-0.66,165595695
2018,5,-1.47,160701149
2018,6,0.29,153548073
2018,7,0.8,154644750
2018,8,0.35,155113017
2018,9,1.56,158835489
2018,10,-1.11,156900000
2018,11,-0.83,152300000
2018,12,1.7,154700000
2019,1,-1.23,152500000
2019,2,-1.17,149700000
2019,3,-0.41,146500000
2019,4,-0.05,145200000
2019,5,0.15,124500000
2019,6,-0.46,117500000
2019,7,1.96,118400000
2019,8,6.35,116900000
2019,9,-6.05,106400000
2019,10,-2.01,101233000
2019,11,-3.61,97600000
2019,12,-0.94,96700000
2020,1,3.97,100600000
2020,2,4.06,104200000
2020,3,1.19,104800000
2020,4,0.49,103300000
