Year, Month, Return, Assets
2006,1,5.73,2114536
2006,2,-2.34,2066050
2006,3,7.17,2215297
2006,4,7.46,2381718
2006,5,-0.37,2374135
2006,6,-2.81,2308473
2006,7,-0.19,2305318
2006,8,0.49,2317817
2006,9,0.64,2333854
2006,10,-0.53,2322536
2006,11,3.62,2407889
2006,12,-1.27,2378495
2007,1,0.27,2386115
2007,2,-2.47,2328339
2007,3,-2.41,1509049
2007,4,1.6,1535344
2007,5,0.89,1549805
2007,6,1.38,1572000
2007,7,0.58,1581876
2007,8,-5.39,1497389
2007,9,5.17,1575628
2007,10,6.96,1686155
2007,11,-2.01,1653143
2007,12,0.78,1666808
2008,1,5.64,1761682
2008,2,2.03,1798324
2008,3,1.91,1833654
2008,4,-5.03,1742340
2008,5,1.7,1772768
2008,6,1.08,1792847
2008,7,-3.71,2407132
2008,8,0.33,2416226
2008,9,-5.07,2294842
2008,10,-1.63,2258594
2008,11,1.55,2294703
2008,12,4,2387574
2009,1,-1.04,2363889
2009,2,-0.74,2347549
2009,3,1.69,2388180
2009,4,0.53,2402029
2009,5,7.65,2587031
2009,6,-2.56,2522162
2009,7,1.93,2572157
2009,8,1.59,2614408
2009,9,3.46,2706130
2009,10,-1.26,2673455
2009,11,3.23,2761277
2009,12,-1.43,2723148
2010,1,-1.03,2696546
2010,2,0.63,2714833
2010,3,1.55,2758176
2010,4,0.75,2780351
2010,5,-1.46,2741013
2010,6,3.14,2828416
2010,7,-0.1,2827066
2010,8,4.09,2944074
2010,9,-2.34,2876609
2010,10,0.81,2901428
2010,11,-2.39,2833509
2010,12,6.15,3009404
2011,1,0.82,3005463
2011,2,1.53,3083386
2011,3,-0.98,3054694
2011,4,5.93,3237480
2011,5,-6.21,3037813
2011,6,0.56,3056420
2011,7,4.88,3207113
2011,8,5.51,3385532
2011,9,-0.88,3357249
2011,10,-3.34,3246889
2011,11,-0.59,3229394
2011,12,0.6,3250350
2012,1,0.05,3253472
2012,2,1.08,3290360
2012,3,-1.52,3242115
2012,4,-0.62,3223659
2012,5,5.44,3400793
2012,6,-2.3,3324169
2012,7,1.42,3373026
2012,8,-0.28,3365135
2012,9,-1.23,3325511
2012,10,-1.3,3283855
2012,11,-0.16,3280264
2012,12,1.44,3329298
2013,1,3.9,3460727
2013,2,-1.72,3402890
2013,3,1.79,3465678
2013,4,-0.1,3463955
2013,5,-2.35,3384121
2013,6,-3.82,3256435
2013,7,2.34,3334451
2013,8,-2.52,4873898
2013,9,0.93,5046580
2013,10,2.41,5170635
2013,11,1.54,5253100
2013,12,-0.48,5230599
2014,1,-1.55,5152291
2014,2,1.99,5257557
2014,3,-1.8,5165748
2014,4,-0.32,5152049
2014,5,1.25,5219281
2014,6,1.1,5279530
2014,7,0.78,5322490
2014,8,3.51,5512291
2014,9,-1.68,5423462
2014,10,-0.89,5377726
2014,11,2.73,5527490
2014,12,1.22,5597671
2015,1,3.49,5795708
2015,2,1.46,5883221
2015,3,0.35,5906530
2015,4,-2.59,5756459
2015,5,-2.39,5621513
2015,6,-2.61,5477684
2015,7,-2.37,5350512
2015,8,-3.35,5173681
2015,9,2.42,5301334
2015,10,-1.08,5247738
2015,11,-0.79,5209037
2015,12,-2.88,5061773
2016,1,5.26,5330904
2016,2,6.1,5658812
2016,3,-0.69,5622352
2016,4,1.03,5683162
2016,5,-3.54,5484751
2016,6,5.31,5779102
2016,7,0.75,5825184
2016,8,-0.23,5814605
2016,9,1.01,5876561
2016,10,-7.3,5450292
2016,11,-0.87,5405513
2016,12,2.72,5555249
2017,1,0.33,5576524
2017,2,4.03,3120884
2017,3,-1.86,3064361
2017,4,-0.85,3039758
2017,5,3.59,3150357
2017,6,-3.89,3203742
2017,7,4.14,3471291
2017,8,1.45,3523000
2017,9,-3.03,3232000
2017,10,2.88,3429000
2017,11,2.1,3403000
2017,12,0.73,3358000
2018,1,5.58,3519225
2018,2,-9.45,3018000
2018,3,-2.47,3251000
2018,4,1.24,3374000
2018,5,0.97,3365000
2018,6,-1.58,3280000
2018,7,-1.06,3298000
2018,8,4.54,3484000
2018,9,-2.82,3239000
2018,10,-8.44,3052000
2018,11,4.07,3400000
2018,12,1.26,3370000
2019,1,2.09,3402000
2019,2,-0.78,1984000
2019,3,7,2140000
2019,4,-1.39,1972000
2019,5,3.22,2064000
2019,6,4.06,2081000
2019,7,0.76,2015000
2019,8,5.14,2102000
2019,9,-6.42,1871000
2019,10,-3.77,1924000
2019,11,-0.25,1995000
2019,12,0.36,2007000
2020,1,-2.91,1941000
2020,2,4.52,2090000
2020,3,3.38,3046000
2020,4,1.73,3051000
