Year, Month, Return, Assets
1990,8,-2.16,981702
1990,9,-2.62,959151
1990,10,-14.75,820438
1990,11,9.01,890841
1990,12,-1.12,883826
1991,1,1.15,896922
1991,2,8.01,963276
1991,3,23.7,1239030
1991,4,-3.29,1148620
1991,5,-13.06,1001890
1991,6,12.41,1130010
1991,7,8.99,1233600
1991,8,-0.51,3229870
1991,9,3.23,3382210
1991,10,-0.96,5190260
1991,11,2.5,7367140
1991,12,16.96,11548400
1992,1,-6.77,10630700
1992,2,-5.38,15005000
1992,3,5.51,17735900
1992,4,-5.29,16655200
1992,5,-0.24,16628800
1992,6,11.74,1809600
1992,7,16.56,24849900
1992,8,8.13,31022000
1992,9,-10.27,27333300
1992,10,1.88,28472900
1992,11,2.33,29263800
1992,12,-2.5,35562500
1993,1,4.23,37042800
1993,2,9.34,41493800
1993,3,-2.11,40154000
1993,4,1.42,40747000
1993,5,-1.02,40784400
1993,6,3.03,42335900
1993,7,3.09,45413300
1993,8,0.81,45835400
1993,9,3.61,52729300
1993,10,2.06,54040400
1993,11,-0.03,55601000
1993,12,2.84,63550200
1994,1,1.34,63912300
1994,2,3,71354400
1994,3,6.09,78665300
1994,4,-3.43,76292600
1994,5,-2.91,72948300
1994,6,0.28,73716100
1994,7,-11.7,64780800
1994,8,-5.12,57796800
1994,9,-1.42,52900900
1994,10,0.9,52642900
1994,11,4.5,54823000
1994,12,-2.24,52778600
1995,1,-2.28,48434200
1995,2,1.19,46121600
1995,3,4.52,46494200
1995,4,0.84,46943700
1995,5,8.09,53270600
1995,6,-2.34,50108400
1995,7,1.04,47919000
1995,8,6.8,46939500
1995,9,-0.57,46614100
1995,10,0.34,44825700
1995,11,2.16,43824700
1995,12,-0.64,42766500
1996,1,5.45,45593500
1996,2,-0.07,40730600
1996,3,-0.3,41417200
1996,4,5.58,41109800
1996,5,1.96,46142200
1996,6,0.11,48766900
1996,7,0.58,52515800
1996,8,3.04,54299200
1996,9,2.77,55850700
1996,10,3.51,57920700
1996,11,7.03,64688700
1996,12,-2.19,62351700
1997,1,2.07,161069400
1997,2,-0.41,160645100
1997,3,1.67,164428700
1997,4,-4.93,152959600
1997,5,4.01,175926300
1997,6,0.34,185666000
1997,7,8.8,224176000
1997,8,-2.21,214155900
1997,9,5,224591500
1997,10,-0.77,245378200
1997,11,-1.63,289866100
1997,12,3.66,300615900
1998,1,1.66,317708500
1998,2,-3.12,307508900
1998,3,-0.63,306209500
1998,4,-10.67,296779700
1998,5,2.81,298448300
1998,6,-2.19,274247200
1998,7,-3.46,276645200
1998,8,13.15,311721300
1998,9,6.02,335722500
1998,10,1.78,329093900
1998,11,-2.33,348964200
1998,12,3.79,355488700
1999,1,-2.57,355026600
1999,2,3.27,365141100
1999,3,2.92,406813100
1999,4,4.64,413148200
1999,5,0.44,415743700
1999,6,3.12,421091400
1999,7,2.35,435584400
1999,8,1.49,443672800
1999,9,1.5,459707000
1999,10,-4.3,468629700
1999,11,-0.45,463163200
1999,12,-0.37,504018200
2000,1,0.87,510025600
2000,2,-6.1,481636500
2000,3,3.29,494085900
2000,4,-4.25,494082400
2000,5,4.53,528382500
2000,6,-3.28,504109800
2000,7,-6.56,449058800
2000,8,-1.57,423516900
2000,9,-7.34,354870700
2000,10,-0.7,296261900
2000,11,14.25,330469000
2000,12,14.12,387505400
2001,1,0.63,370310000
2001,2,-1.43,360008200
2001,3,2.63,359780700
2001,4,-7.35,325846200
2001,5,-0.29,302293000
2001,6,1.56,302944600
2001,7,-3.72,289055900
2001,8,0.38,289183400
2001,9,5.97,284089900
2001,10,6.01,298715900
2001,11,-11.03,263016600
2001,12,2.88,264254700
2002,1,0.42,260237300
2002,2,-0.79,245213400
2002,3,-0.29,243431100
2002,4,0.52,236121400
2002,5,0.37,237590000
2002,6,11.33,266249000
2002,7,4.08,277943000
2002,8,3.22,287728400
2002,9,4.73,298117000
2002,10,-9,270676500
2002,11,-3.64,260975700
2002,12,6.9,286890200
2003,1,7.79,311291500
2003,2,5.16,330988200
2003,3,-3.63,319208800
2003,4,1.27,324927700
2003,5,7.44,354803400
2003,6,-2.68,337202200
2003,7,-1.22,333671700
2003,8,-0.15,336715400
2003,9,0.44,340081600
2003,10,-0.63,347036900
2003,11,0.52,351491600
2003,12,5.01,379328100
2004,1,-0.99,389114800
2004,2,4.46,436725000
2004,3,-0.36,451381900
2004,4,-11.32,451807900
2004,5,0.2,471057700
2004,6,-1.42,476805200
2004,7,-5.74,455593900
2004,8,1.12,478205200
2004,9,2.9,500032000
2004,10,0.24,495395800
2004,11,0.13,498365400
2004,12,0.43,493125100
2005,1,-4.95,476822500
2005,2,-1.62,468010900
2005,3,-4.75,438208100
2005,4,-1.53,423376200
2005,5,-2.16,411432400
2005,6,2.57,421673000
2005,7,0.3,408396900
2005,8,1.99,409507400
2005,9,1.34,407552600
2005,10,-5.28,379721700
2005,11,4.66,389814300
2005,12,-3.07,373199100
2006,1,0.6,348684200
2006,2,-1.92,335763400
2006,3,5.47,333332100
2006,4,6.52,354789700
2006,5,-3.56,325214300
2006,6,0.84,325547300
2006,7,-3.02,314691700
2006,8,-0.21,310358900
2006,9,-1.84,304650500
2006,10,3.91,317362100
2006,11,1.5,321690200
2006,12,6.13,342971300
2007,1,2.97,349858400
2007,2,-2.04,341675600
2007,3,-0.4,350119800
2007,4,5.9,372660800
2007,5,5.45,393915700
2007,6,1.2,397285000
2007,7,-4.99,374482200
2007,8,-2.21,363800100
2007,9,4.31,379526700
2007,10,6.39,403464500
2007,11,-2.21,390615900
2007,12,2.2,387310200
2008,1,-0.66,385767300
2008,2,4.7,405549500
2008,3,-1.16,423836100
2008,4,-3.65,405201500
2008,5,-1.8,399553200
2008,6,4.04,417674400
2008,7,-5.65,390576500
2008,8,-0.46,389390400
2008,9,4.38,405436800
2008,10,11.03,454447700
2008,11,6.16,483563100
2008,12,2.44,495657200
2009,1,-3.82,475477300
2009,2,-1.58,463794000
2009,3,-5.59,429901400
2009,4,-3.63,410085000
2009,5,3.01,423408100
2009,6,-3.97,404199900
2009,7,0.48,413437300
2009,8,-0.46,411261400
2009,9,2.01,419761400
2009,10,-0.76,417789100
2009,11,2.18,427525600
2009,12,-1.71,418828600
2010,1,-1.02,413471100
2010,2,-0.09,412330000
2010,3,4.03,422136300
2010,4,-0.66,418267200
2010,5,3.66,433784700
2010,6,-1.54,418259700
2010,7,-3.4,402590500
2010,8,2.9,414740300
2010,9,1.38,420032700
2010,10,4.63,439921900
2010,11,-5.53,412227800
2010,12,7.72,444172100
2011,1,-3.13,429068700
2011,2,-0.95,424395100
2011,3,-4.27,513862500
2011,4,8.73,581244000
2011,5,-6.14,541141500
2011,6,-3.73,520061800
2011,7,6.03,550212900
2011,8,-2.58,539504500
2011,9,4.52,564082300
2011,10,-8.54,513320000
2011,11,-3.56,470714000
2011,12,1.64,478506500
2012,1,2.62,491161400
2012,2,6.4,522515500
2012,3,-4.2,505025700
2012,4,-1.94,495812600
2012,5,6.76,529884600
2012,6,-5.79,498434100
2012,7,4.85,523171600
2012,8,0.14,524264800
2012,9,-0.38,521396200
2012,10,-5.2,494362500
2012,11,0.1,495549700
2012,12,4.73,519544100
2013,1,7.55,558512942
2013,2,0.06,557514995
2013,3,3.29,539606003
2013,4,-0.66,536424104
2013,5,-2.23,525088790
2013,6,-3.59,505691870
2013,7,-1.38,498794179
2013,8,-2.29,488517120
2013,9,0.09,472687045
2013,10,2.98,486758707
2013,11,5.51,520864612
2013,12,1.48,528846178
2014,1,-7.1,383609238
2014,2,1.28,374841824
2014,3,-5.86,340268000
2014,4,-0.57,338373395
2014,5,4.36,125361058
2014,6,1.46,117012446
2014,7,-1.27,115358012
2014,8,7.93,124381350
2014,9,2.42,127105333
2014,10,3.34,131880734
2014,11,8.99,143669108
2014,12,-0.26,142932094
2015,1,7.92,153468711
2015,2,1.89,156789714
2015,3,-1.34,155993861
2015,4,-0.81,155165235
2015,5,-3.23,150098043
2015,6,-6.48,140511363
2015,7,2.49,146001848
2015,8,-6.9,136110972
2015,9,4.95,142812969
2015,10,-4.74,135937118
2015,11,4.11,141071894
2015,12,-8.65,129120593
2016,1,5.85,136701793
2016,2,4.31,142555034
2016,3,-0.71,143213067
2016,4,-1.52,165683289
2016,5,-6,154423071
2016,6,7.56,165370479
2016,7,-1.57,162662763
2016,8,-6.06,152784211
2016,9,0.38,153454179
2016,10,-6.63,142993367
2016,11,-5.81,134141304
2016,12,2.58,137070690
2017,1,-1.16,135776911
2017,2,7.71,145986574
2017,3,-1.98,143208106
2017,4,-0.19,131233252
2017,5,4.14,137112668
2017,6,-7.28,127350344
2017,7,4.2,133200000
2017,8,8.04,143995000
2017,9,-5.32,136222000
2017,10,5.88,144006654
2017,11,0.31,144786922
2017,12,4.56,151545061
2018,1,10.23,167615000
2018,2,-16.04,140403000
2018,3,-2.26,137393000
2018,4,-0.08,136957000
2018,5,-2.1,133600000
2018,6,-1.99,130900000
2018,7,1.01,132200000
2018,8,4.66,138300000
2018,9,0.37,138826000
2018,10,-9.96,124640000
2018,11,-3.32,120500000
2018,12,-1.39,109000000
2019,1,-4.68,103000000
2019,2,-0.81,103000000
2019,3,5.01,99000000
2019,4,1.48,100390000
2019,5,2.93,103300000
2019,6,4.66,108300000
2019,7,1.16,123500000
2019,8,3.04,127100000
2019,9,-8.16,78863000
2019,10,-4.81,68910000
2019,11,1.88,68572000
2019,12,2,68848000
2020,1,-1.18,69988000
2020,2,4.5,62356000
2020,3,12.94,57303000
2020,4,-1.12,57083000
