Year, Month, Return, Assets
1991,10,2.1,0
1991,11,1.3,0
1991,12,9.63,0
1992,1,-4.96,0
1992,2,-1.91,0
1992,3,1.41,0
1992,4,1.3,0
1992,5,2.12,0
1992,6,6.44,0
1992,7,6.48,0
1992,8,3.92,0
1992,9,0.77,0
1992,10,-7.39,0
1992,11,4.91,0
1992,12,-3.09,0
1993,1,-4.29,0
1993,2,3.94,0
1993,3,1.71,0
1993,4,4.49,0
1993,5,3.24,0
1993,6,-1,0
1993,7,4.36,0
1993,8,-3.28,0
1993,9,0.26,0
1993,10,-4.86,0
1993,11,7.38,0
1993,12,7.94,0
1994,1,-2.04,0
1994,2,-4.06,0
1994,3,4.52,0
1994,4,-2.03,0
1994,5,9.25,0
1994,6,3.21,0
1994,7,-1.3,0
1994,8,-1.74,0
1994,9,1.15,0
1994,10,-3.02,0
1994,11,9.23,0
1994,12,-2.38,0
1995,1,-1.56,0
1995,2,-1.49,0
1995,3,2.57,0
1995,4,5.63,0
1995,5,1.82,0
1995,6,-1.49,0
1995,7,-5.68,0
1995,8,-4.89,0
1995,9,-0.03,0
1995,10,-0.85,0
1995,11,2.39,0
1995,12,14.4,0
1996,1,-4.26,0
1996,2,-6.73,0
1996,3,3.65,0
1996,4,13.46,0
1996,5,-3.52,0
1996,6,0.91,0
1996,7,-4.89,0
1996,8,-0.45,0
1996,9,9.06,0
1996,10,4.37,0
1996,11,3.1,0
1996,12,-4.09,0
1997,1,5.04,0
1997,2,6.25,0
1997,3,0.76,0
1997,4,1.39,0
1997,5,-0.36,0
1997,6,1.42,0
1997,7,5.5,0
1997,8,-3.57,0
1997,9,1.19,0
1997,10,-9.11,0
1997,11,-1.27,0
1997,12,6.47,0
1998,1,4.93,0
1998,2,4.71,0
1998,3,3.75,0
1998,4,-4.29,0
1998,5,1.37,0
1998,6,1.77,0
1998,7,1.62,0
1998,8,5.64,0
1998,9,1.89,0
1998,10,-2.14,0
1998,11,-4.3,0
1998,12,3.79,0
1999,1,-2.04,0
1999,2,4.42,0
1999,3,-1.45,0
1999,4,3.28,0
1999,5,-2.47,0
1999,6,2.26,0
1999,7,2.94,0
1999,8,1.61,0
1999,9,3.55,0
1999,10,-7.74,0
1999,11,3.7,0
1999,12,7.56,0
2000,1,-1.02,0
2000,2,5.19,0
2000,3,-0.01,0
2000,4,0.73,0
2000,5,0.31,0
2000,6,0.41,0
2000,7,-0.71,0
2000,8,1.85,0
2000,9,-4.5,0
2000,10,-2.7,0
2000,11,1.79,0
2000,12,10.78,0
2001,1,1.15,0
2001,2,-1.61,0
2001,3,5.97,0
2001,4,-3.4,0
2001,5,1.26,0
2001,6,-1.81,0
2001,7,-1.45,0
2001,8,-2.89,0
2001,9,5.99,0
2001,10,5.3,0
2001,11,-3.57,0
2001,12,0.72,0
2002,1,-4.6,0
2002,2,-2.22,0
2002,3,3.14,0
2002,4,-3.29,0
2002,5,6.27,0
2002,6,7.14,0
2002,7,3.62,0
2002,8,1.49,0
2002,9,1.43,0
2002,10,-4.42,0
2002,11,-0.43,0
2002,12,1.11,0
2003,1,7.16,0
2003,2,5.21,0
2003,3,-7.48,0
2003,4,5.05,0
2003,5,6.43,0
2003,6,-2.16,0
2003,7,2.18,0
2003,8,0.09,0
2003,9,-0.57,0
2003,10,10.37,0
2003,11,-3.71,0
2003,12,4.89,0
2004,1,3.43,0
2004,2,6.74,0
2004,3,1.71,0
2004,4,-5.25,0
2004,5,-0.23,0
2004,6,-3.06,0
2004,7,0.32,0
2004,8,-3.48,0
2004,9,-0.87,0
2004,10,0.67,0
2004,11,5.06,0
2004,12,1.7,0
2005,1,-2.92,0
2005,2,7.53,0
2005,3,-0.52,0
2005,4,-4.16,0
2005,5,3.16,0
2005,6,0.93,0
2005,7,-0.32,0
2005,8,0.88,0
2005,9,-0.63,0
2005,10,1.22,0
2005,11,6.36,0
2005,12,3.27,0
2006,1,6.69,0
2006,2,-4.25,0
2006,3,5.07,0
2006,4,7.86,0
2006,5,0.05,0
2006,6,-5.05,0
2006,7,-5.35,0
2006,8,3.7,0
2006,9,-3.87,0
2006,10,2.27,0
2006,11,2.33,0
2006,12,-1.21,0
2007,1,0.07,0
2007,2,-0.4,0
2007,3,-1.33,0
2007,4,3,0
2007,5,3.78,0
2007,6,0.11,0
2007,7,-0.98,0
2007,8,-6.04,0
2007,9,8.04,0
2007,10,2.66,0
2007,11,-0.59,0
2007,12,1.19,0
2008,1,8.35,0
2008,2,13.86,0
2008,3,-4.08,0
2008,4,4.21,0
2008,5,2.02,0
2008,6,2.2,0
2008,7,-6.98,0
2008,8,1.63,0
2008,9,-3.74,0
2008,10,7.01,7055250
2008,11,5.3,154500000
2008,12,4.55,208900000
2009,1,-3.02,188800000
2009,2,-1.4,206500000
2009,3,-2.49,191900000
2009,4,-0.96,194000000
2009,5,10.31,267900000
2009,6,-2.87,251600000
2009,7,1.29,274800000
