Year, Month, Return, Assets
2002,10,2.98,0
2002,11,-5.01,0
2002,12,13.35,0
2003,1,7.21,0
2003,2,1.35,0
2003,3,1.35,0
2003,4,0.04,0
2003,5,4.79,0
2003,6,0.66,0
2003,7,-2.83,0
2003,8,-0.95,0
2003,9,4.77,0
2003,10,-5.02,0
2003,11,2.56,0
2003,12,9.28,0
2004,1,0.59,0
2004,2,7.13,0
2004,3,3.05,0
2004,4,-8.7,0
2004,5,-1.77,0
2004,6,-0.31,0
2004,7,2.67,0
2004,8,3.39,0
2004,9,2.72,0
2004,10,4.59,0
2004,11,3.12,0
2004,12,1.45,0
2005,1,1.25,0
2005,2,-0.44,0
2005,3,-0.16,0
2005,4,1.52,0
2005,5,1.78,0
2005,6,1.13,0
2005,7,0.29,0
2005,8,-0.97,0
2005,9,1.17,0
2005,10,-3.35,0
2005,11,4.2,0
2005,12,0.79,0
2006,1,1.93,0
2006,2,-0.39,0
2006,3,0.1,0
2006,4,0.62,0
2006,5,-3.51,0
2006,6,0.98,0
2006,7,0.66,0
2006,8,4.63,0
2006,9,0.52,0
2006,10,1.2,0
2006,11,3.05,0
2006,12,0.99,0
2007,1,1.87,0
2007,2,-0.08,0
2007,3,1.52,0
2007,4,3.84,0
2007,5,1.86,0
2007,6,-0.14,0
2007,7,-4.37,0
2007,8,-5.87,0
2007,9,3.17,0
2007,10,5.24,0
2007,11,-3.27,0
2007,12,0.66,0
2008,1,1.13,0
2008,2,6.64,0
2008,3,0.68,0
2008,4,-5.55,0
2008,5,-1.88,0
2008,6,1.97,0
2008,7,-1.31,0
2008,8,-5.53,0
2008,9,1.62,0
2008,10,-7.76,0
2008,11,7.22,0
2008,12,5.36,0
2009,1,-2.48,0
2009,2,1.21,0
2009,3,3.15,0
2009,4,-2.53,0
2009,5,-0.18,0
2009,6,-0.83,0
2009,7,1.47,0
2009,8,2.85,0
2009,9,4.28,0
2009,10,-0.37,0
2009,11,6.54,0
2009,12,-5.07,0
2010,1,1.42,0
2010,2,5.64,0
2010,3,3.02,0
2010,4,3.05,0
2010,5,1.78,0
2010,6,3.76,0
2010,7,2.34,0
2010,8,7.92,0
2010,9,-0.74,0
2010,10,-0.72,68937290
2010,11,-3.42,68246286
2010,12,1.25,81281618
2011,1,-3.92,82424109
2011,2,3.44,88377396
2011,3,-1.32,91770737
2011,4,6.7,106654612
2011,5,0.98,109141041
2011,6,-0.1,81014568
2011,7,8.73,88992544
2011,8,4.9,97940409
2011,9,-0.89,103208632
2011,10,-0.39,101479069
2011,11,3.42,111719913
2011,12,4.69,123549918
2012,1,2.68,124601076
2012,2,-0.19,130269504
2012,3,-0.98,135493035
2012,4,1.47,138980238
2012,5,-1.01,145930674
2012,6,-1.96,247779654
2012,7,5.5,319089664
2012,8,-2.01,300070130
2012,9,-0.14,306373567
2012,10,-2.58,294271716
2012,11,1.32,311871148
2012,12,0.98,307858927
2013,1,-0.23,358175583
2013,2,-0.14,359988046
2013,3,2.39,399688723
2013,4,2.52,424271800
2013,5,-3.17,441565089
2013,6,-5.67,425068575
2013,7,2.43,522752989
2013,8,-2.38,513911236
2013,9,4.31,561941472
2013,10,3.2,528360469
2013,11,1.25,562396619
2013,12,-2.39,531025523
2014,1,0.19,523624730
2014,2,1.61,541469177
2014,3,-0.22,544457983
2014,4,0.78,540048927
2014,5,3.05,587838497
2014,6,0.59,602029403
2014,7,-0.38,630522477
2014,8,3.19,656764716
2014,9,-1.65,657250552
2014,10,2.33,698907886
2014,11,2.59,729164242
2014,12,-0.24,771836469
2015,1,2.64,799040585
2015,2,-0.16,840967130
2015,3,0.7,848873482
2015,4,-1.98,861651080
2015,5,1.3,971279348
2015,6,-2.36,988857234
2015,7,1.35,1079950143
2015,8,-4.43,1157678504
2015,9,3.58,1195748845
2015,10,1.13,1213280489
2015,11,0.65,1236915285
2015,12,-3.43,1228160662
2016,1,0.59,1242181020
2016,2,3.78,1338942489
2016,3,-3.39,1301552808
2016,4,-2.53,1365300267
2016,5,1.33,1373847501
2016,6,4.97,1434967497
2016,7,1.15,1475105603
2016,8,-0.87,1498749440
2016,9,1.2,1550661549
2016,10,-3.42,1537297661
2016,11,-2.74,1470037164
2016,12,1.09,1538473018
2017,1,-0.57,1592660099
2017,2,4.4,1714741927
2017,3,-0.4,1769445704
2017,4,1.07,1804958721
2017,5,0.89,1870778750
2017,6,-3.6,1806500978
2017,7,1.32,1906163336
2017,8,2.73,2004857908
2017,9,-2.93,2071379399
2017,10,3.02,2140126936
2017,11,-0.3,2164049449
2017,12,1.04,2177034922
2018,1,-0.27,2320470279
2018,2,-2.75,2581249063
2018,3,0.67,2636896968
2018,4,0.59,2666443837
2018,5,0.44,2779695326
2018,6,1.14,2790005334
2018,7,0.8,2870290237
2018,8,-0.12,2890037378
2018,9,-0.16,2902933641
2018,10,-3.49,2804593565
2018,11,-1.14,2644233216
2018,12,-1.22,2682492672
2019,1,2.53,2697847476
2019,2,1.55,2751195307
2019,3,4.71,2768394155
2019,4,1.33,2811337019
2019,5,-0.76,2850513248
2019,6,3.38,2943951365
2019,7,2.34,2978983879
2019,8,2.13,3016762314
2019,9,-1.02,2986842752
2019,10,-2.39,3016189938
2019,11,1.16,3002603761
2019,12,-0.83,2705940353
2020,1,2.98,2759406838
2020,2,-2.11,2919350399
2020,3,-4.26,2706885584
2020,4,0.77,2670425223
