Year, Month, Return, Assets
1994,11,1.67,1525070
1994,12,-1.68,1499520
1995,1,-3.15,1452220
1995,2,4.82,1522160
1995,3,12.67,1714950
1995,4,3.57,1776210
1995,5,-4,1705160
1995,6,5.07,1791660
1995,7,-5.05,1701130
1995,8,-8.34,1950380
1995,9,-4.2,1868500
1995,10,-0.68,1855800
1995,11,-0.09,1854140
1995,12,22.19,1806380
1996,1,2,1842450
1996,2,-15.59,1555260
1996,3,5.49,1640700
1996,4,18.57,1945400
1996,5,-10.22,897768
1996,6,-6.88,1427310
1996,7,-0.2,1503350
1996,8,-3.73,2034530
1996,9,14.53,2330140
1996,10,17.79,2693640
1996,11,5.72,2874240
1996,12,-4.48,2769410
1997,1,11.3,3290000
1997,2,11.78,4265270
1997,3,-5.22,5528840
1997,4,-9.42,5026520
1997,5,13.1,7082770
1997,6,-1.28,6720920
1997,7,11.27,6201190
1997,8,-0.88,6147460
1997,9,0.97,5223640
1997,10,0.43,4592320
1997,11,4.8,3664530
1997,12,5.49,3359850
1998,1,5.93,3582450
1998,2,5.33,3552800
1998,3,-3.14,3442310
1998,4,-8.57,1647560
1998,5,-5.68,10484300
1998,6,-0.44,12150900
1998,7,-4.39,11888800
1998,8,26.1,14694500
1998,9,1.56,15121200
1998,10,2.08,15500000
1998,11,0.77,16000000
1998,12,0.67,16889900
1999,1,-2.08,17500000
1999,2,2.57,17900000
1999,3,1.72,18700000
1999,4,3.17,21500000
1999,5,2.59,26500000
1999,6,9.34,29000000
1999,7,-2,30000000
1999,8,-0.95,31000000
1999,9,-1.82,31500000
1999,10,-3.1,32000000
1999,11,3.18,26000000
1999,12,-5.85,30500000
2000,1,4.34,35000000
2000,2,0.86,39500000
2000,3,-5.7,39000000
2000,4,0.78,38000000
2000,5,-1.6,34000000
2000,6,-0.62,34500000
2000,7,-2.05,32500000
2000,8,7.65,34000000
2000,9,-3.36,33000000
2000,10,-4.56,32000000
2000,11,2.46,34000000
2000,12,11.49,39900000
2001,1,1.04,39200000
2001,2,1.8,42700000
2001,3,8.65,45900000
2001,4,-10.95,42300000
2001,5,4,42100000
2001,6,-0.03,41900000
2001,7,-3.9,41900000
2001,8,7.68,47500000
2001,9,10.38,52000000
2001,10,2.79,51200000
2001,11,-15.2,44600000
2001,12,2.78,45200000
2002,1,-0.12,44800000
2002,2,-7.56,45240000
2002,3,2.1,49242000
2002,4,0.21,52442100
2002,5,4.03,55437800
2002,6,7.8,63507700
2002,7,1.98,62890000
2002,8,6.53,62200000
2002,9,5.74,65900000
2002,10,-8.76,60000000
2002,11,-4.12,55400000
2002,12,3.37,56900000
2003,1,9.79,69700000
2003,2,9.85,77300000
2003,3,-15.23,61600000
2003,4,-1.92,57190000
2003,5,13.52,67380000
2003,6,-5.2,63710000
2003,7,-4.51,62540000
2003,8,2.97,66310000
2003,9,-12.53,58800000
2003,10,7.31,64850000
2003,11,-3.38,62630000
2003,12,1.95,62550000
2004,1,-2.1,60270800
2004,2,15.86,69244400
2004,3,-2,68531504
2004,4,-11.33,60603500
2004,5,-2.83,60481600
2004,6,-6.42,57850900
2004,7,-2.32,56161700
2004,8,-7,49855000
2004,9,5.57,52499100
2004,10,1.94,53026300
2004,11,9.02,57097700
2004,12,0.56,59631500
2005,1,-8.32,59575900
2005,2,3.75,61754000
2005,3,-2.65,59404800
2005,4,-6.55,55336500
2005,5,5.19,58995000
2005,6,9.27,59053600
2005,7,2.17,59960700
2005,8,4.46,57510900
2005,9,5.02,60241100
2005,10,-8.62,55510300
2005,11,7.79,59837600
2005,12,3.25,61833600
2006,1,2.56,65249500
2006,2,-3.08,63346400
2006,3,8.19,70132600
2006,4,3.1,73155296
2006,5,-6.18,69310704
2006,6,-1.34,71631000
2006,7,-9.35,67078400
2006,8,2.04,66156800
2006,9,-4.15,63365700
2006,10,5.24,65820900
2006,11,1.53,65680700
2006,12,8.39,67895696
2007,1,5.14,68677504
2007,2,-7.42,63122600
2007,3,-3.88,58754000
2007,4,12.51,66069800
2007,5,7.23,70648496
2007,6,2.71,71921400
2007,7,-9.12,65978400
