Year, Month, Return, Assets
2005,3,-5.05,512351
2005,4,4.76,536757
2005,5,0.74,540750
2005,6,0.65,544274
2005,7,0.72,548167
2005,8,5.58,578765
2005,9,1.44,587098
2005,10,0.89,592347
2005,11,0.42,592826
2005,12,1.36,602942
2006,1,4.74,631526
2006,2,4.15,657740
2006,3,4.65,688305
2006,4,5.31,724833
2006,5,6.89,774777
2006,6,3.84,804560
2006,7,0.34,807304
2006,8,-6.13,724964
2006,9,-0.17,723754
2006,10,-2.65,694836
2006,11,5.29,731616
2006,12,3.77,759188
2007,1,6.91,918600
2007,2,3.72,952774
2007,3,-0.07,952136
2007,4,-4.22,901654
2007,5,3.72,935202
2007,6,1.79,951936
2007,7,-2.95,2928075
2007,8,-0.01,18454206
2007,9,3.84,18808186
2007,10,0.56,18652272
2007,11,2.36,20238737
2007,12,1.85,22065712
2008,1,1.24,30053583
2008,2,1.43,3695477
2008,3,-2.11,57555800
2008,4,4.64,62867993
2008,5,4.61,71730950
2008,6,2.13,73667102
2008,7,-3.28,85638415
2008,8,-0.46,85408825
2008,9,-5.08,80091224
2008,10,0.23,63870515
2008,11,0.26,63914283
2008,12,-0.44,63578444
2009,1,0.98,62975810
2009,2,0.83,58246648
2009,3,0.34,51099396
2009,4,-0.33,48161352
2009,5,1.94,29675697
2009,6,0.17,29580605
2009,7,-0.24,30397069
2009,8,0.76,30347364
2009,9,0.36,69084284
2009,10,-1.7,67989746
2009,11,-0.4,67337557
2009,12,0.76,54209097
2010,1,1.71,44796923
2010,2,0.02,45896276
2010,3,1.4,46674531
2010,4,-0.81,15117457
2010,5,1.97,15444002
2010,6,-0.31,15665489
2010,7,0.88,15732598
2010,8,-0.12,15725277
2010,9,4.23,16441451
2010,10,1.31,16671104
2010,11,-0.86,18603220
2010,12,5.08,19740021
2011,1,2.57,21342808
2011,2,2.02,22865754
2011,3,2.08,28465420
2011,4,2.63,29044199
2011,5,2.23,30454774
2011,6,-2.32,34486815
2011,7,1.28,39850556
2011,8,3.14,42520508
2011,9,-8.61,39831211
2011,10,3.08,46287640
2011,11,-2.96,46173852
2011,12,1.03,45675333
2012,1,0.7,42807776
2012,2,-0.66,43818656
2012,3,1.2,26296857
2012,4,-2.27,37515587
2012,5,-4.22,35106791
2012,6,6.12,36254574
2012,7,8.52,37148560
2012,8,4.83,39226333
2012,9,-3.2,39624285
2012,10,-0.72,40229318
2012,11,-1.56,39579662
2012,12,-0.77,29664128
2013,1,3.04,44546098
2013,2,1.5,50533132
2013,3,-0.94,55923598
2013,4,2.31,61091141
2013,5,-0.09,64147521
2013,6,1.09,66831399
2013,7,1.39,63562531
2013,8,0.26,67215835
2013,9,0.59,67609749
2013,10,0.53,73585794
2013,11,-0.05,90064836
2013,12,0.37,84640451
2014,1,-0.21,86757614
2014,2,0.97,77862008
2014,3,-0.43,81117502
2014,4,0.64,81209303
2014,5,0.65,85907236
2014,6,0.77,83597327
2014,7,1.02,87348181
2014,8,1.45,87977897
2014,9,0.74,89060332
2014,10,-0.85,92225313
2014,11,-0.21,88840550
2014,12,0.32,90369972
2015,1,0.94,95025855
2015,2,-0.77,95737822
2015,3,1.51,88528518
2015,4,0.23,86982331
2015,5,0.66,89984909
2015,6,-0.51,91374738
2015,7,-1.43,90594444
2015,8,-0.06,88616595
2015,9,0.65,92361840
2015,10,0.2,92305953
2015,11,-0.38,92431635
2015,12,0.06,92197809
2016,1,0.36,92617092
2016,2,-0.23,93373026
2016,3,0.34,94702664
2016,4,0.23,94904607
2016,5,-0.19,94716188
2016,6,2.71,91634411
2016,7,-0.93,91032886
2016,8,-0.61,91032886
2016,9,-0.43,99549916
2016,10,0.77,103279698
2016,11,-0.34,99054513
2016,12,-0.44,93108265
2017,1,0.23,92819084
2017,2,0.29,90000000
2017,3,1.77,90377933
2017,4,-0.26,96421920
2017,5,0.99,99000000
2017,6,-0.28,99000000
2017,7,-0.01,101000000
2017,8,-0.39,104000000
2017,9,0,101137696
2017,10,-0.1,97038698
2017,11,-0.34,93949879
2017,12,0.07,92321424
2018,1,-0.08,88900490
2018,2,0.1,91021529
2018,3,0.25,90994865
2018,4,-0.38,86463952
2018,5,-0.11,86885046
2018,6,-1.17,85868305
2018,7,0.66,85933400
2018,8,-1.03,86500000
2018,9,-0.54,81437792
2018,10,-0.29,80707235
2018,11,0.15,73000000
2018,12,-0.02,53000000
2019,1,-0.02,59337000
2019,2,-0.07,59000000
2019,3,-1.29,55190000
2019,4,0.25,54000000
2019,5,0.76,52000000
2019,6,-0.12,52000000
2019,7,-0.81,52000000
2019,8,-0.28,40181973
2019,9,0.33,40000000
2019,10,-0.16,37059000
2019,11,0.16,37107000
2019,12,0.56,37000000
2020,1,-0.57,30000000
2020,2,-0.54,30000000
2020,3,-0.53,27000000
