Year, Month, Return, Assets
2006,10,-3.28,1000000
2006,11,-6.19,1000000
2006,12,19.01,1000000
2007,1,1.62,1000000
2007,2,2.64,1000000
2007,3,-17.64,1000000
2007,4,1.83,1000000
2007,5,-2.34,1000000
2007,6,0.43,1000000
2007,7,3.95,1000000
2007,8,3.2,1000000
2007,9,-4.07,1000000
2007,10,5.03,1000000
2007,11,2.59,1000000
2007,12,3.41,1000000
2008,1,1.79,1000000
2008,2,1.6,1000000
2008,3,-3.01,1000000
2008,4,7.74,1000000
2008,5,0.25,1000000
2008,6,-1.73,1000000
2008,7,4.85,1000000
2008,8,-0.02,1000000
2008,9,0.38,1000000
2008,10,10.43,1000000
2008,11,-1.84,1000000
2008,12,6.29,1000000
2009,1,2.52,1000000
2009,2,-1.6,1000000
2009,3,1.92,1000000
2009,4,2.63,1000000
2009,5,2.67,1000000
2009,6,5.17,1000000
2009,7,2.36,1000000
2009,8,2.34,1000000
2009,9,1.51,1000000
2009,10,-1.84,1000000
2009,11,-0.4,1000000
2009,12,3.05,1000000
2010,1,-1.66,1000000
2010,2,-0.41,1000000
2010,3,4.6,1000000
2010,4,0.09,1000000
2010,5,0.41,1000000
2010,6,-1.06,1000000
2010,7,0.43,1000000
2010,8,5.2,1000000
2010,9,6.43,1000000
2010,10,6.57,1000000
2010,11,-0.85,1000000
2010,12,3.93,1000000
2011,1,3.84,1000000
2011,2,2.79,1000000
2011,3,0.55,1000000
2011,4,0.96,1000000
2011,5,-1.74,1000000
2011,6,-6.57,1000000
2011,7,-2.21,1000000
2011,8,3.25,1000000
2011,9,-3.08,1000000
2011,10,1.94,1000000
2011,11,-0.08,1000000
2011,12,-1.19,1000000
2012,1,1.06,1000000
2012,2,3.76,1000000
2012,3,5.7,1000000
2012,4,-0.05,1000000
2012,5,-1.03,1000000
2012,6,-0.26,1000000
2012,7,-0.52,1000000
2012,8,2.19,1000000
2012,9,-4.47,1000000
2012,10,-1.21,1000000
2012,11,-0.06,1000000
2012,12,-1.1,1000000
2013,1,0.54,1000000
2013,2,1.04,1000000
2013,3,0.81,1000000
2013,4,1.24,1000000
2013,5,-5.62,1000000
2013,6,3.16,1000000
2013,7,3.48,1000000
2013,8,-0.15,1000000
2013,9,-1.9,1000000
2013,10,0.68,1000000
2013,11,2.08,1000000
2013,12,0.69,1000000
2014,1,3.88,1000000
2014,2,-3.54,1000000
2014,3,0.14,1000000
2014,4,-2.93,1000000
2014,5,-2.51,1000000
2014,6,16.89,1000000
2014,7,20.37,1000000
2014,8,1.9,1000000
2014,9,16.33,1000000
2014,10,-10,1000000
2014,11,-3.78,1000000
2014,12,-8.01,1000000
2015,1,3.54,1000000
2015,2,-10.18,1000000
2015,3,0.79,1000000
2015,4,2.36,1000000
2015,5,4.44,1000000
2015,6,-5.93,1000000
2015,7,2.32,1000000
2015,8,0.58,1000000
2015,9,-0.01,1000000
2015,10,-0.89,1000000
2015,11,2.88,1000000
2015,12,1.39,1000000
2016,1,-1.24,7326759
2016,2,1.72,7316435
2016,3,1.54,7442498
2016,4,-5.36,7556872
2016,5,1.51,7392608
2016,6,2.54,7504586
2016,7,2.18,7695198
2016,8,4.81,7762638
2016,9,2.07,7762600
2016,10,-1.78,8507000
2016,11,-2.98,8184541
2016,12,2.64,7940387
2017,1,-0.79,7711684
2017,2,-1.1,7650748
2017,3,6.05,7566253
2017,4,0.41,8023869
2017,5,3.17,8023869
2017,6,12.4,8300000
2017,7,1.68,9400000
2017,8,-2.21,8661000
2017,9,-1,10000000
2017,10,-1.35,10500000
2017,11,4.91,10300000
2017,12,4.47,10300000
2018,1,2.41,10856550
2018,2,6.11,10856550
2018,3,-0.41,11000000
2018,4,0.87,11800000
2018,5,-2.55,12520650
2018,6,-2.97,13030230
2018,7,5.86,13000000
2018,8,1.03,13000000
2018,9,-5.24,13833000
2018,10,2.95,12908000
2018,11,-0.69,13289000
2018,12,0.81,13300000
2019,1,4.65,11800000
2019,2,0.19,11500000
2019,3,0.5,11500000
2019,4,1.14,11500000
2019,5,3.93,11500000
2019,6,3.97,11500000
2019,7,-2.31,11500000
2019,8,-2.28,52200000
2019,9,2.18,63000000
2019,10,1.1,63000000
2019,11,0.17,15900000
2019,12,1.3,15900000
2020,1,-2.34,15600000
2020,2,-0.19,15600000
2020,3,3.67,16100000
2020,4,2.75,17000000
