Year, Month, Return, Assets
2006,10,0.65,1750000
2006,11,0.51,1750000
2006,12,5.96,1750000
2007,1,4.33,1750000
2007,2,-2.32,1750000
2007,3,-3.97,1750000
2007,4,0.18,1750000
2007,5,1.82,1750000
2007,6,5.69,1000000
2007,7,-2.89,1000000
2007,8,-1.11,1000000
2007,9,3.46,1000000
2007,10,0.18,1000000
2007,11,-1.1,1000000
2007,12,0.52,1000000
2008,1,1.47,1000000
2008,2,5.59,1000000
2008,3,2.93,1000000
2008,4,3.44,1000000
2008,5,4.77,1000000
2008,6,6.56,1000000
2008,7,0.64,1000000
2008,8,-5.94,1250000
2008,9,1.82,1250000
2008,10,-4.66,1250000
2008,11,0.17,1250000
2008,12,2.19,1250000
2009,1,-0.76,1250000
2009,2,-0.28,1250000
2009,3,2.05,1250000
2009,4,1.07,1250000
2009,5,-1.34,1500000
2009,6,0.05,1500000
2009,7,0.72,1500000
2009,8,4.3,1500000
2009,9,2.05,1500000
2009,10,-0.46,1500000
2009,11,-0.78,1500000
2009,12,-0.33,1500000
2010,1,0.73,1500000
2010,2,-0.72,1500000
2010,3,0.73,1750000
2010,4,1.52,1750000
2010,5,1.49,1750000
2010,6,0.66,1750000
2010,7,1.4,2000000
2010,8,6.17,2000000
2010,9,1.27,2000000
2010,10,-3.12,2000000
2010,11,-1.71,2000000
2010,12,-0.43,2000000
2011,1,-0.49,2000000
2011,2,0.9,2000000
2011,3,-2.34,2000000
2011,4,3.38,2000000
2011,5,2.13,2500000
2011,6,-2.09,2500000
2011,7,2.1,2500000
2011,8,0.48,2500000
2011,9,1.62,2500000
2011,10,3.33,2500000
2011,11,-2.73,3000000
2011,12,-0.31,3000000
2012,1,3.16,3000000
2012,2,-1.2,3000000
2012,3,-4.66,3000000
2012,4,-3.57,3000000
2012,5,0.03,3000000
2012,6,2.88,3000000
2012,7,2.87,3000000
2012,8,-1.23,3000000
2012,9,1.51,3000000
2012,10,-0.2,3000000
2012,11,-0.49,3000000
2012,12,0.16,3000000
2013,1,-3.14,3000000
2013,2,0.46,3000000
2013,3,-4.32,3000000
2013,4,1.47,2700000
2013,5,-1.43,2700000
2013,6,-1.84,2500000
2013,7,1.02,2500000
2013,8,-1.68,2500000
2013,9,3.3,2500000
2013,10,3.14,2500000
2013,11,0.14,2500000
2013,12,-0.55,2500000
2014,1,0.94,2500000
2014,2,3.21,2500000
2014,3,-2.27,2500000
2014,4,1.33,2500000
2014,5,3.06,2500000
2014,6,-1.24,2500000
2014,7,-0.87,2500000
2014,8,2.64,2500000
2014,9,-0.97,2500000
2014,10,1.22,2500000
2014,11,3.5,2500000
2014,12,0.06,2500000
2015,1,6.12,2500000
2015,2,0.33,2500000
2015,3,1.53,2500000
2015,4,-3.17,2500000
2015,5,0.57,2500000
2015,6,-2.79,2500000
2015,7,5.12,2500000
2015,8,-1.43,2500000
2015,9,1.55,2500000
2015,10,2.27,2500000
2015,11,-0.17,2500000
2015,12,-1.24,2500000
2016,1,0.89,2500000
2016,2,-0.03,2500000
2016,3,-1.01,2500000
2016,4,0.98,2500000
2016,5,1.35,2500000
2016,6,-1.7,2500000
2016,7,2.39,2500000
2016,8,-0.69,2500000
2016,9,1.12,2500000
2016,10,-0.31,2500000
2016,11,-1.38,2500000
2016,12,2.43,2500000
2017,1,-1.02,2500000
2017,2,3.05,2500000
2017,3,1.97,2500000
2017,4,3.01,2500000
2017,5,1.27,2500000
2017,6,-1.2,2500000
2017,7,0.86,2500000
2017,8,0.95,2512500
2017,9,0.07,2512500
2017,10,2.04,2512500
2017,11,2.13,2512500
2017,12,0.22,2512500
2018,1,1.71,2512500
2018,2,-3.06,2512500
2018,3,-1.35,3012500
2018,4,2.58,3012500
2018,5,2.35,3012500
2018,6,-0.38,3012500
2018,7,2.22,3012500
2018,8,-1.26,3025000
2018,9,-2.31,3025000
2018,10,-1.76,3025000
2018,11,-1.53,3025000
2018,12,1.9,3025000
2019,1,1.7,3025000
2019,2,0.99,3025000
2019,3,-0.98,3025000
2019,4,3.47,3050000
2019,5,0.89,3050000
2019,6,11.89,3150000
2019,7,-2.57,3260000
2019,8,1.63,3260000
2019,9,0.19,3260000
2019,10,2.04,3260000
2019,11,0.61,3600000
2019,12,-1.48,3600000
2020,1,1.46,3600000
2020,2,-5.05,3700000
2020,3,-16.37,2600000
