Year, Month, Return, Assets
2002,2,-2.8,500000
2002,3,-0.4,500000
2002,4,-0.4,500000
2002,5,-1.1,500000
2002,6,4.81,500000
2002,7,-5.12,500000
2002,8,3.9,500000
2002,9,0.59,500000
2002,10,14.4,500000
2002,11,5.91,500000
2002,12,-1.2,500000
2003,1,-0.82,500000
2003,2,2.4,500000
2003,3,2.3,500000
2003,4,0.5,500000
2003,5,9.9,500000
2003,6,5.6,500000
2003,7,1.5,500000
2003,8,1.1,500000
2003,9,-1.7,500000
2003,10,12.6,500000
2003,11,2.3,500000
2003,12,0.7,500000
2004,1,0.7,500000
2004,2,5.7,500000
2004,3,-1,500000
2004,4,-0.05,500000
2004,5,4.1,500000
2004,6,1.4,500000
2004,7,-4.8,500000
2004,8,3.2,500000
2004,9,-2.3,500000
2004,10,-0.8,500000
2004,11,-1.6,500000
2004,12,3.62,500000
2005,1,0.6,500000
2005,2,0.47,500000
2005,3,-3.8,500000
2005,4,3.5,500000
2005,5,-1.4,500000
2005,6,-0.07,500000
2005,7,5.08,500000
2005,8,0.7,500000
2005,9,1.36,500000
2005,10,-0.19,500000
2005,11,-0.1,500000
2005,12,3.44,500000
2006,1,2.1,500000
2006,2,-4.7,500000
2006,3,0,500000
2006,4,3.9,500000
2006,5,-5,500000
2006,6,5.1,500000
2006,7,2,500000
2006,8,0.6,500000
2006,9,2.4,500000
2006,10,1.6,500000
2006,11,6.4,500000
2006,12,3.7,500000
2007,1,3.8,500000
2007,2,-6.9,500000
2007,3,1.7,500000
2007,4,2.6,500000
2007,5,0.9,500000
2007,6,0.6,500000
2007,7,3.3,500000
2007,8,5.4,500000
2007,9,-0.6,500000
2007,10,-1.4,500000
2007,11,-4.63,500000
2007,12,1.1,500000
2008,1,-0.07,500000
2008,2,-1.6,500000
2008,3,3.25,500000
2008,4,-1.7,500000
2008,5,3.2,500000
2008,6,-4.3,500000
2008,7,3.2,500000
2008,8,2.5,500000
2008,9,2.1,500000
2008,10,2.6,500000
2008,11,-0.4,500000
2008,12,0.4,500000
2009,1,-9.1,600000
2009,2,-3,600000
2009,3,4.4,600000
2009,4,7.2,600000
2009,5,3.4,600000
2009,6,-0.1,600000
2009,7,6.6,600000
2009,8,3.6,600000
2009,9,1,600000
2009,10,0.55,600000
2009,11,0.63,600000
2009,12,1.7,600000
2010,1,-4.6,1000000
2010,2,3.62,1000000
2010,3,5.6,1000000
2010,4,1.39,1000000
2010,5,-8.3,1000000
2010,6,-6.7,1000000
2010,7,8.4,1000000
2010,8,0.4,1000000
2010,9,2.4,1000000
2010,10,3.8,1000000
2010,11,0,1000000
2010,12,5.8,1000000
2011,1,0.9,2700000
2011,2,3.3,2700000
2011,3,0.7,2700000
2011,4,3.49,2700000
2011,5,-0.13,2700000
2011,6,-1.8,2700000
2011,7,-2.7,2700000
2011,8,-1.7,2700000
2011,9,-0.1,2700000
2011,10,2.3,2700000
2011,11,-0.8,2700000
2011,12,0.1,2700000
2012,1,1.6,4500000
2012,2,3.1,4500000
2012,3,2.3,4500000
2012,4,-0.5,5000000
2012,5,-4.6,5000000
2012,6,1.5,5000000
2012,7,0.2,5000000
2012,8,0.9,5000000
2012,9,1.5,5000000
2012,10,-1.3,5000000
2012,11,0.2,5200000
2012,12,0.6,5200000
2013,1,3.92,5750000
2013,2,1.12,5900000
2013,3,3.1,6150000
2013,4,1.2,6200000
2013,5,1.7,6350000
2013,6,-1.45,6250000
2013,7,4.21,6600000
2013,8,-2.71,6700000
2013,9,2.65,6900000
2013,10,4,7100000
2013,11,2.65,7400000
2013,12,2.1,8000000
2014,1,-3.84,7800000
2014,2,4.81,8000000
2014,3,0.45,8100000
2014,4,0.15,8100000
2014,5,1.28,8300000
2014,6,1.33,8400000
2014,7,-1.13,8400000
2014,8,2.99,8700000
2014,9,-1.07,8600000
2014,10,1.79,8800000
2014,11,2.11,9200000
2014,12,-0.31,9200000
2015,1,-3.2,9200000
2015,2,5.17,9800000
2015,3,-1.35,9700000
2015,4,0.65,9700000
2015,5,0.93,9850000
2015,6,-1.68,9600000
2015,7,1.59,9800000
2015,8,-4.3,9300000
2015,9,-1.55,9200000
2015,10,4.26,9500000
2015,11,-0.15,9500000
2015,12,-1.38,9500000
2016,1,-3.81,9200000
2016,2,-0.08,9400000
2016,3,4.02,9600000
2016,4,0.15,9600000
2016,5,1.37,9700000
2016,6,0.1,9700000
2016,7,2.76,10500000
2016,8,0,10500000
2016,9,-0.13,10500000
2016,10,-1.5,10500000
2016,11,2.9,10800000
2016,12,1.5,11000000
2017,1,1.34,11000000
2017,2,3.09,11500000
2017,3,-0.06,11500000
2017,4,0.75,11650000
2017,5,1,11800000
2017,6,0.35,11900000
2017,7,1.59,12000000
2017,8,0.15,12500000
2017,9,1.55,12800000
2017,10,1.92,13200000
2017,11,2.55,13600000
2017,12,0.89,14000000
2018,1,4.9,15300000
2018,2,-3.4,14800000
2018,3,-2.7,14350000
2018,4,0.19,14350000
2018,5,2.32,14600000
2018,6,0.42,14700000
2018,7,3.09,15100000
2018,8,2.66,15600000
2018,9,0.4,15700000
2018,10,-5.52,14650000
2018,11,1.55,15000000
2018,12,-7.11,14500000
2019,1,7.35,15000000
2019,2,2.4,15000000
2019,3,1.35,15500000
2019,4,3.07,16100000
2019,5,-4.64,15300000
2019,6,4.7,16000000
2019,7,0.98,16200000
2019,8,-1.33,16100000
2019,9,1.25,16300000
2019,10,1.52,16666666
2019,11,2.68,17250000
2019,12,2.05,17500000
2020,1,-0.21,19000000
2020,2,-7.92,18000000
2020,3,-10.74,16000000
2020,4,5.86,16500000
