Year, Month, Return, Assets
2006,6,18.95,12295
2006,7,-0.17,12295
2006,8,-0.17,12295
2006,9,-4.15,11709
2006,10,13.39,13507
2006,11,-0.13,13507
2006,12,9.15,14982
2007,1,14.03,16999
2007,2,24.82,226188
2007,3,3.47,234302
2007,4,2.49,240686
2007,5,-0.63,137628
2007,6,2.55,132136
2007,7,-17.27,109048
2007,8,0.76,109707
2007,9,9.09,119406
2007,10,4.69,124506
2007,11,-7.42,114799
2007,12,25.17,28857
2008,1,9.42,31608
2008,2,28.54,42317
2008,3,76.51,81623
2008,4,7.4,88594
2008,5,8.34,96029
2008,6,15.49,113943
2008,7,18.79,138596
2008,8,30.63,191695
2008,9,6.01,204648
2008,10,0.46,195441
2008,11,2.66,200936
2008,12,11.52,229288
2009,1,-2.32,223267
2009,2,-3.94,214299
2009,3,0.88,216518
2009,4,4.75,225987
2009,5,8.74,247980
2009,6,-1.34,242136
2009,7,-6.24,225647
2009,8,9.56,248683
2009,9,5.32,262151
2009,10,2.63,269086
2009,11,6.49,289779
2009,12,13.18,334498
2010,1,7.66,364900
2010,2,5.05,386555
2010,3,-0.48,362383
2010,4,9.73,427162
2010,5,-3.72,403804
2010,6,0.71,407147
2010,7,0.25,406566
2010,8,15.26,481249
2010,9,6.97,521661
2010,10,19.97,648087
2010,11,6.9,701188
2010,12,1.4,712629
2011,1,7.68,779635
2011,2,5.54,828239
2011,3,15.19,980199
2011,4,-2.36,955766
2011,5,-2.4,931640
2011,6,1.28,941264
2011,7,13.23,1082506
2011,8,6.67,1171180
2011,9,7.24,1275048
2011,10,-3.98,1203889
2011,11,0.79,1211911
2011,12,7.31,1312796
2012,1,-0.62,1306358.361
2012,2,-0.45,1302640.405
2012,3,6.54,1390096.463
2012,4,-1.53,1190501.166
2012,5,2.26,1219605.799
2012,6,2.96,1259236.189
2012,7,4.5,1322184.51
2012,8,4.64,1400588.231
2012,9,2.1,1446976.16
2012,10,1.89,1483165.717
2012,11,-1.4,1470383.316
2012,12,-1.38,1445886.2
2013,1,0.19,9706991.966
2013,2,0.76,9733808.007
2013,3,0.93,12483012.25
2013,4,-0.04,12485276.36
2013,5,0.25,13610479.61
2013,6,0.95,17162722.94
2013,7,-0.32,18229637.66
2013,8,1.44,18939926.01
2013,9,0.5,18920376.32
2013,10,-0.38,14637608.21
2013,11,-0.39,13889786.55
2013,12,-0.96,16444614.68
2014,1,2.51,22618243.17
2014,2,4.98,25183830.6
2014,3,2.56,31308841
2014,4,1.14,32659228
2014,5,1.41,36422521
2014,6,3.24,43326465
2014,7,1.2,48541186
2014,8,-2.18,50635449
2014,9,1.99,55839539
2014,10,0.33,58767709
2014,11,0.2,63004875
2014,12,-0.62,67084908
2015,1,0.14,69036112
2015,2,-0.3,79971660
2015,3,-0.97,84371303
2015,4,1.39,88601193
2015,5,-0.48,96051838
2015,6,-0.7,96577650
2015,7,1.7,102806015
2015,8,-0.17,102709148
2015,9,-3.87,81013848
2015,10,-0.29,81770219
2015,11,-0.22,80433446
2015,12,-0.27,78846296
2016,1,-0.38,70641751
2016,2,0.23,73527840
2016,3,0.05,71127490
2016,4,0.9,70410673
2016,5,-0.07,70249947
2016,6,0.13,63027929
2016,7,1.26,57856652
2016,8,-0.14,62243186
2016,9,0.05,61320153
2016,10,-0.84,53792626
2016,11,-0.21,48858078
2016,12,-1.48,50894622
2017,1,0.2,48529025
2017,2,-0.39,47335493
2017,3,0.12,44961639
2017,4,-0.21,42292905
2017,5,0.03,40803631
2017,6,0.04,40425702
2017,7,0.09,39669845
2017,8,0.65,39541634
2017,9,0.96,39712252
2017,10,-0.49,36568461
2017,11,0.32,36685805
2017,12,0.26,35919184
2018,1,-0.11,35678304
2018,2,0.26,35569885
2018,3,0.57,34764804
2018,4,0.56,27084408
2018,5,0.02,26888950
2018,6,1.36,27048933
2018,7,1.22,24831575
2018,8,-1.68,24804000
2018,9,-0.09,24780632
2018,10,-0.05,24768769
2018,11,-0.02,24360061
2018,12,-0.07,24343668
2019,1,0.12,24172293
2019,2,-0.22,22689155
2019,3,-1.29,22617127
2019,4,-0.56,21495993
2019,5,0.73,16334496
2019,6,-0.02,11331347
2019,7,-0.03,9382237
2019,8,0,9200478
2019,9,-0.36,9167670
2019,10,-0.1,9158516
2019,11,1.32,9279714
2019,12,-0.03,9276570
2020,1,1.6,9425034
2020,2,0.41,9463621
2020,3,1.1,9153315
2020,4,0.06,9158000
