Year, Month, Return, Assets
1999,9,1.97,832100
1999,10,-12.25,729600
1999,11,5.12,766800
1999,12,10.58,874000
2000,1,-2.18,1350000
2000,2,-6.18,1235000
2000,3,-10.1,1195000
2000,4,0.59,1204000
2000,5,9.59,1312000
2000,6,5.16,1426000
2000,7,-7.31,1290000
2000,8,7.71,1382000
2000,9,-2.47,1316000
2000,10,10.04,1449000
2000,11,6.32,1546000
2000,12,15.3,1826000
2001,1,-7.05,1851000
2001,2,-3.46,1788000
2001,3,17.96,2347000
2001,4,-7.55,2347000
2001,5,12.21,2636000
2001,6,2.32,2724000
2001,7,-6.5,2572000
2001,8,1.1,2602000
2001,9,20.14,3134000
2001,10,11.71,4657000
2001,11,-7.05,4862000
2001,12,-9.11,4387000
2002,1,-6.35,4258000
2002,2,-6.85,3980000
2002,3,0.25,4487000
2002,4,-12.7,3932000
2002,5,4.01,4078000
2002,6,21.73,4945000
2002,7,18.17,6016000
2002,8,6.33,5944000
2002,9,7.77,6136000
2002,10,-5.08,5840000
2002,11,-8.97,5284000
2002,12,4.49,5585000
2003,1,6.83,5780000
2003,2,8.58,4342060
2003,3,-12.99,3653470
2003,4,4.32,3946150
2003,5,6.41,4103990
2003,6,-4.63,3900000
2003,7,-2.83,4100000
2003,8,-0.51,4100000
2003,9,-7.74,3850000
2003,10,2.82,3960000
2003,11,-2.37,3780000
2003,12,4.92,3800000
2004,1,5.38,3930000
2004,2,4.96,3967000
2004,3,1.08,3750000
2004,4,-2.07,3775000
2004,5,-9.85,5789000
2004,6,-5.36,5264000
2004,7,-3.13,5096000
2004,8,-0.15,5080000
2004,9,1.68,5166000
2004,10,0.94,5210000
2004,11,-0.55,5178000
2004,12,1.07,5234000
2005,1,-8.62,4598000
2005,2,0.92,4637000
2005,3,-4.57,3122000
2005,4,-3.01,2620000
2005,5,2.39,2700000
2005,6,-3.49,2614000
2005,7,0.66,2628000
2005,8,-3.4,3273000
2005,9,-0.44,3255000
2005,10,2.2,3324000
2005,11,3.72,3444000
2005,12,-3.28,3328000
2006,1,5.39,3504000
2006,2,-3.3,3385000
2006,3,0.65,3835000
2006,4,0.67,3890000
2006,5,1.12,3914000
2006,6,-5.47,3680000
2006,7,-7.65,3395000
2006,8,3.78,3875000
2006,9,4.51,4047000
2006,10,-4.34,3869000
2006,11,-0.32,3853000
2006,12,0.48,3869000
2007,1,5.59,4082000
2007,2,-2.7,3962000
2007,3,3.95,4114000
2007,4,7.69,5458000
2007,5,-0.69,5417000
2007,6,-2.95,5262000
2007,7,-1.38,5189000
2007,8,-8.69,4738000
2007,9,1.67,4800000
2007,10,0.65,4834000
2007,11,5.17,5084000
2007,12,0.18,5104000
2008,1,11.85,5707000
2008,2,8.69,6203000
2008,3,-2.05,5655000
2008,4,1.78,5755000
2008,5,7.03,6053000
2008,6,0.11,5610000
2008,7,-1.21,5542000
2008,8,7.22,5942000
2008,9,8.92,6500000
2008,10,3.51,6772000
2008,11,0.7,6830000
2008,12,2.23,6897000
2009,1,-0.36,6872000
2009,2,0.28,6892000
2009,3,-2.4,6726000
2009,4,-1.49,6626000
2009,5,8.52,7714000
2009,6,-2.14,7624000
2009,7,-1.25,7640000
2009,8,4.11,7126000
2009,9,2.7,7306000
2009,10,-4.16,6985000
2009,11,12.34,7829000
2009,12,-8.69,7122000
2010,1,-5.17,7640000
2010,2,1.28,7725000
2010,3,7.65,8304000
2010,4,-2.66,8088000
2010,5,-5.6,7623000
2010,6,5.95,8044000
2010,7,-2.42,7827000
2010,8,8.14,8451000
2010,9,4.01,10001500
2010,10,9.74,10963000
2010,11,-1.24,10784000
2010,12,10.07,11851000
2011,1,4.11,11432000
2011,2,4.9,12135000
2011,3,-4.73,11538000
2011,4,9.2,13238000
2011,5,-1.58,13159000
2011,6,-2.32,12234000
2011,7,1.54,12801500
2011,8,8.6,16975000
2011,9,14.38,20500000
2011,10,-17.17,18243000
2011,11,6.18,18900000
2011,12,2.39,18964000
2012,1,-1.84,18691000
2012,2,3.01,19221688
2012,3,-4.95,22500000
2012,4,-2,25707717
2012,5,5.98,26563000
2012,6,-9.21,24056375
2012,7,8.17,25274756
2012,8,-4.38,24409808
2012,9,0.4,24735190
2012,10,-6.78,23108954
2012,11,1.11,23633550
2012,12,3.58,25018319
2013,1,1.22,25459562
2013,2,-4.18,24442287
2013,3,2.8,24870313
2013,4,-0.53,24977366
2013,5,-6.09,21992200
2013,6,-5.18,20308171
2013,7,-1.16,16753198
2013,8,1.17,15410346
2013,9,-0.61,15185699
2013,10,4.75,15955397
2013,11,-0.23,15882917
2013,12,-0.85,13179516
2014,1,-1.82,11115959
2014,2,4.28,12695170
2014,3,0.58,12782395
2014,4,5.73,13453379
2014,5,0.29,13567381
2014,6,-3.13,13189420
2014,7,1.33,13278331
2014,8,7.89,14282825
2014,9,3.84,14609074
2014,10,-0.74,14566258
2014,11,2.06,14827326
2014,12,1.09,14824177
2015,1,10.51,16185729
2015,2,-2.54,15889060
2015,3,1.34,16089254
2015,4,-1.36,16220147
2015,5,-3.49,15496426
2015,6,-2.07,14927548
2015,7,-6.46,13860169
2015,8,-4.12,13152491
2015,9,7.17,13882294
2015,10,-3.59,13506609
2015,11,2.16,13646317
2015,12,-1.27,13210448
2016,1,0.58,13109000
2016,2,5.51,13791000
2016,3,-0.51,13520000
2016,4,5.1,13269000
2016,5,-4.14,12820000
2016,6,9.06,13947000
2016,7,1.26,14107000
2016,8,-6.53,13255000
2016,9,2.14,13510000
2016,10,-3.22,13060000
2016,11,6.09,13935000
2016,12,0.09,13932000
2017,1,-1.12,13761000
2017,2,-0.19,13630000
2017,3,-3.91,13080000
2017,4,4.59,13667000
2017,5,0.87,13743000
2017,6,-3.18,13290000
2017,7,0.85,13280000
2017,8,4.42,14042000
2017,9,-7.31,12597000
2017,10,7.75,13467000
2017,11,-2.55,13069000
2017,12,3.19,13352000
2018,1,0.18,13480000
2018,2,-3.04,13056000
2018,3,-4.88,12403000
2018,4,2.62,12713000
2018,5,2.88,13064000
2018,6,-4.28,12490000
2018,7,-5.43,11796000
2018,8,0.96,11790000
2018,9,1.78,11980000
2018,10,-1.32,11809000
2018,11,-1.28,11642000
2018,12,-3.32,11240000
2019,1,0.66,11285000
2019,2,-0.22,11243000
2019,3,0.71,11308000
2019,4,0.99,11404000
2019,5,2.92,11616000
2019,6,8.55,12593000
2019,7,-2.22,12016000
2019,8,8.54,13010000
2019,9,-3.61,12575000
2019,10,-0.41,12430000
2019,11,-2.1,12156000
2019,12,-0.57,12076000
2020,1,-6.94,11225000
2020,2,-5.3,10621000
2020,3,5.26,11121000
2020,4,1.55,11285000
