Year, Month, Return, Assets
2000,7,-4.39,0
2000,8,1.13,0
2000,9,-3.31,0
2000,10,-2.82,0
2000,11,4.43,0
2000,12,11.93,0
2001,1,2.75,0
2001,2,-0.15,0
2001,3,6.25,0
2001,4,-3.03,0
2001,5,2.28,0
2001,6,-2.63,0
2001,7,-2.77,0
2001,8,4.01,0
2001,9,2.08,0
2001,10,4.63,0
2001,11,-4.03,0
2001,12,-0.42,0
2002,1,-2.04,0
2002,2,-8.94,0
2002,3,5.9,0
2002,4,-1.76,0
2002,5,-1.74,0
2002,6,11.77,0
2002,7,4.1,0
2002,8,-0.4,0
2002,9,3.58,0
2002,10,-6.03,0
2002,11,-1.72,0
2002,12,9.1,0
2003,1,3.01,0
2003,2,2.72,0
2003,3,-4.52,0
2003,4,-5.12,0
2003,5,9.63,0
2003,6,-1.94,0
2003,7,5.11,0
2003,8,-2.67,0
2003,9,8.29,0
2003,10,2.45,0
2003,11,-6.88,0
2003,12,4.29,0
2004,1,2.12,0
2004,2,6.42,0
2004,3,0.8,0
2004,4,2.5,0
2004,5,1.44,0
2004,6,-5.89,0
2004,7,2.26,0
2004,8,2.1,0
2004,9,-3.56,0
2004,10,0.43,0
2004,11,3.89,0
2004,12,-2.84,0
2005,1,-9.69,0
2005,2,6.93,0
2005,3,-4.85,0
2005,4,-1.42,0
2005,5,2.91,0
2005,6,3.13,0
2005,7,-0.77,0
2005,8,5.98,0
2005,9,-1.16,0
2005,10,1.99,0
2005,11,5.46,0
2005,12,0.13,0
2006,1,5.28,0
2006,2,-3.33,0
2006,3,-1.49,0
2006,4,16.24,0
2006,5,1.62,0
2006,6,-8.02,0
2006,7,-2.6,0
2006,8,0.66,0
2006,9,0.42,0
2006,10,-0.26,0
2006,11,1.75,0
2006,12,-5.44,0
2007,1,0.92,0
2007,2,-2.14,0
2007,3,-1.15,0
2007,4,0.49,0
2007,5,-2.45,0
2007,6,5.24,0
2007,7,0.66,0
2007,8,-0.23,0
2007,9,7.01,0
2007,10,2.47,0
2007,11,4.02,0
2007,12,0.53,0
2008,1,4.79,0
2008,2,6.95,0
2008,3,0.55,0
2008,4,-0.07,0
2008,5,2.62,0
2008,6,-1.05,0
2008,7,-4.11,0
2008,8,6.71,0
2008,9,-0.04,0
2008,10,6.48,0
2008,11,1.1,0
2008,12,1.66,0
2009,1,-1.09,0
2009,2,-0.24,0
2009,3,-4.96,0
2009,4,-4.87,0
2009,5,6.93,0
2009,6,-0.59,0
2009,7,0.56,0
2009,8,-0.13,0
2009,9,0.65,0
2009,10,-3.4,0
2009,11,3.63,0
2009,12,-3.48,0
2010,1,-2.21,0
2010,2,-0.8,0
2010,3,0.45,0
2010,4,-0.57,0
2010,5,0.98,0
2010,6,1.16,0
2010,7,-1.33,0
2010,8,5.13,0
2010,9,0.96,0
2010,10,2.37,0
2010,11,-3.99,0
2010,12,5.25,0
2011,1,-3,0
2011,2,1.18,0
2011,3,-3.96,0
2011,4,2.66,0
2011,5,-4.23,0
2011,6,-2.89,27123850
2011,7,4.81,30499423
2011,8,2.88,29269948
2011,9,2.67,28706870
2011,10,-7.54,26454268
2011,11,-1.85,27717959
2011,12,0.36,28141047
2012,1,-0.76,27204020
2012,2,1.37,26521727
2012,3,-3.35,26105400
2012,4,0.8,24382070
2012,5,4.9,25909433
2012,6,-5.49,24724181
2012,7,6.54,26279201
2012,8,-1.47,25886264
2012,9,-2.97,25092251
2012,10,-5.05,23451296
2012,11,-0.51,25278010
