Year, Month, Return, Assets
1998,3,5.56,113123
1998,4,11.44,122068
1998,5,2.57,142032
1998,6,3.64,146825
1998,7,-0.29,154355
1998,8,4.68,153936
1998,9,-1.11,164093
1998,10,-2.83,161551
1998,11,2.31,157020
1998,12,9.15,160669
1999,1,-1.46,181327
1999,2,16.32,5318716
1999,3,-5.68,5359223
1999,4,-3.47,5341796
1999,5,4.24,8205300
1999,6,1.41,8227924
1999,7,8.17,8238582
1999,8,2.53,8300569
1999,9,-3.13,8282808
1999,10,-1.94,8257719
1999,11,-0.9,10817201
1999,12,4.11,10812443
2000,1,-6.88,16212453
2000,2,2.87,16158152
2000,3,3.6,16179375
2000,4,3.72,16206787
2000,5,-3.28,16733090
2000,6,0,17162866
2000,7,-6.05,17614577
2000,8,0.83,17199315
2000,9,3.34,16788661
2000,10,0.95,16834381
2000,11,5.34,16847962
2000,12,2.45,16953326
2001,1,-3.38,17007301
2001,2,5.8,17005032
2001,3,9.3,17258942
2001,4,1.63,17503581
2001,5,-2.22,17711825
2001,6,1.75,17634058
2001,7,-1.46,17685640
2001,8,4.8,17652863
2001,9,0.95,17897863
2001,10,-0.05,18000000
2001,11,-0.43,20000000
2001,12,1.45,21000000
2002,1,-0.46,21500000
2002,2,-4.05,22000000
2002,3,0.48,20000000
2002,4,-3.37,20000000
2002,5,1.88,28687719
2002,6,0.98,30540351
2002,7,4.99,31157895
2002,8,0.36,32000000
2002,9,1.61,32000000
2002,10,-0.94,32000000
2002,11,1.58,37000000
2002,12,-0.85,41000000
2003,1,0.79,42000000
2003,2,0.84,43000000
2003,3,-0.17,42000000
2003,4,-0.09,42000000
2003,5,3.16,48000000
2003,6,0.54,52000000
2003,7,0.79,53000000
2003,8,-0.32,94000000
2003,9,3.2,105000000
2003,10,-1.01,131000000
2003,11,-2.5,131000000
2003,12,0.51,131000000
2004,1,3.12,158000000
2004,2,-2.53,177000000
2004,3,0.29,196000000
2004,4,4.83,216000000
2004,5,0.48,223000000
2004,6,-1.49,231000000
2004,7,0.29,235000000
2004,8,0.49,245000000
2004,9,1.07,254000000
2004,10,0.36,265000000
2004,11,0.85,280000000
2004,12,-1.92,280000000
2005,1,-3.58,280000000
2005,2,1.88,250000000
2005,3,3.12,200000000
2005,4,3.68,225000000
2005,5,1.5,230000000
2005,6,1.41,230000000
2005,7,-2.13,245000000
2005,8,3.77,270000000
2005,9,1.72,300000000
2005,10,1.17,330000000
2005,11,-2.98,350000000
2005,12,0.42,385000000
2006,1,-0.1,398500000
2006,2,-1.25,402000000
2006,3,0.25,380000000
2006,4,2.21,358500000
2006,5,2.79,377000000
2006,6,0.56,403000000
2006,7,0.85,434000000
2006,8,2.45,457500000
2006,9,0.98,489000000
2006,10,0.68,528000000
2006,11,4.84,570000000
2006,12,-2.91,610000000
2007,1,1.83,610000000
2007,2,-3.16,630000000
2007,3,-3.25,705000000
2007,4,4.74,705000000
2007,5,3.69,775000000
2007,6,-0.14,802000000
2007,7,3.72,820000000
2007,8,3.02,915000000
2007,9,2.12,1005000000
2007,10,2.39,1025000000
2007,11,2.18,1050000000
2007,12,1.34,1050000000
2008,1,1.25,1220000000
2008,2,2.81,1240000000
2008,3,2.46,1320000000
2008,4,-1.34,1450000000
2008,5,1.93,1500000000
2008,6,1.79,1600000000
2008,7,1.33,1700000000
2008,8,-1.28,1750000000
2008,9,-0.91,1750000000
2008,10,1.31,1750000000
2008,11,2.77,1720000000
2008,12,2.87,1600000000
2009,1,1.46,1575000000
2009,2,0.83,1620000000
2009,3,-3.71,1620000000
2009,4,-1.2,1550000000
2009,5,3.8,1540000000
2009,6,-1.96,1650000000
2009,7,-0.93,1630000000
2009,8,0.46,1600000000
2009,9,2.67,1600000000
2009,10,-3.97,1700000000
2009,11,2.36,1700000000
2009,12,-5.32,1750000000
2010,1,-4.02,1740000000
2010,2,3.46,1600000000
2010,3,-0.85,1590000000
2010,4,1.86,1590000000
2010,5,6.09,1580000000
2010,6,2.71,1600000000
2010,7,-2.48,1700000000
2010,8,3.66,1790000000
2010,9,-0.93,1950000000
2010,10,2.6,2000000000
2010,11,-1.25,2200000000
2010,12,0.99,2200000000
2011,1,-2.95,2190000000
2011,2,3.16,2277000000
2011,3,-2.66,2200000000
2011,4,2.27,2180000000
2011,5,-2.85,2212000000
2011,6,1.73,2221350000
2011,7,-0.73,2000000000
2011,8,0.88,1979750000
2011,9,1.9,1921200000
2011,10,-5.94,1550000000
2011,11,-2.57,1286550000
2011,12,1.14,1169950000
2012,1,-0.89,1159950000
2012,2,1.34,1098850000
2012,3,-2.95,1100300000
2012,4,1.12,981600000
2012,5,12.05,978050000
2012,6,-2.73,1055750000
2012,7,0.94,1035100000
2012,8,-0.08,997650000
2012,9,-1.98,990000000
2012,10,-1.5,974500000
2012,11,-2.63,927700000
2012,12,-0.86,903000000
2013,1,5.01,912742143
2013,2,-1.85,963950000
2013,3,0.77,937550000
2013,4,3,886850000
2013,5,7.81,744183333
2013,6,-2.5,770550000
2013,7,0.65,742266667
2013,8,-1.84,732475000
2013,9,-0.22,721750000
2013,10,1.61,726700000
2013,11,2.31,768100000
2013,12,0.75,772250000
2014,1,-0.28,785450000
2014,2,-3.56,784200000
2014,3,-10.33,766050000
2014,4,-1.19,675000000
2014,5,2.97,670000000
2014,6,0.68,680000000
2014,7,-0.97,665000000
2014,8,7.52,678000000
2014,9,6.26,709000000
2014,10,-2.76,718150000
2014,11,4.78,658300000
2014,12,-0.45,679650000
2015,1,4.93,668000000
2015,2,1.24,505000000
2015,3,-0.42,530000000
2015,4,-3.31,529600000
2015,5,-0.86,522400000
2015,6,-3.4,518900000
2015,7,-0.32,562650000
2015,8,-6.57,614300000
2015,9,3.78,599300000
2015,10,-1.67,585900000
2015,11,-0.5,584550000
2015,12,0.8,559450000
2016,1,8.2,562750000
2016,2,6.21,586100000
2016,3,-3.82,624050000
2016,4,-2.12,613200000
2016,5,0.04,609200000
2016,6,2.17,508600000
2016,7,1.24,518100000
2016,8,-1.65,521050000
2016,9,-2.62,517050000
2016,10,-3.8,510500000
2016,11,1.1,491400000
2016,12,6.17,493350000
2017,1,-4.66,509350000
2017,2,3.05,513000000
2017,3,0.87,594600000
2017,4,0.01,578400000
2017,5,4.51,570650000
2017,6,-2.14,595300000
2017,7,2.18,587900000
2017,8,-4.14,572950000
2017,9,-6.79,561050000
2017,10,9.4,531550000
2017,11,0.61,520050000
2017,12,-0.85,498650000
2018,1,10.63,586000000
2018,2,-7.39,630500000
2018,3,-3,589550000
2018,4,-0.51,541400000
2018,5,1.31,539350000
2018,6,0.06,548000000
2018,7,-3.68,546400000
2018,8,3.44,538250000
2018,9,-1.9,533400000
2018,10,-9.71,521800000
2018,11,-0.53,471350000
2018,12,6.31,453650000
2019,1,-4.87,462530000
2019,2,-0.09,428720000
2019,3,5.37,429400000
2019,4,1.59,429910000
2019,5,-0.6,453460000
2019,6,5.19,296900000
2019,7,3.05,303170000
2019,8,8.01,313700000
2019,9,-4.11,326788000
2019,10,-0.02,326680000
2019,11,3.65,326680000
2019,12,0.13,294220000
2020,1,0.62,280770000
2020,2,0.79,280770000
2020,3,0.84,281000000
2020,4,-2.52,257000000
