Year, Month, Return, Assets
1998,3,6.23,113123
1998,4,12.94,122068
1998,5,2.77,142032
1998,6,3.96,146825
1998,7,-0.44,154355
1998,8,5.21,153936
1998,9,-1.38,164093
1998,10,-2.97,161551
1998,11,2.16,157020
1998,12,10.3,160669
1999,1,-1.61,181327
1999,2,18.32,5318716
1999,3,-6.49,5359223
1999,4,-3.61,5341796
1999,5,4.24,8205300
1999,6,1.49,8227924
1999,7,9.2,8238582
1999,8,2.73,8300569
1999,9,-3.64,8282808
1999,10,-2.09,8257719
1999,11,-1.05,10817201
1999,12,4.22,10812443
2000,1,-7.02,16212453
2000,2,2.71,16158152
2000,3,3.44,16179375
2000,4,4.1,16206787
2000,5,-3.93,16733090
2000,6,-0.15,17162866
2000,7,-6.19,17614577
2000,8,0.68,17199315
2000,9,3.18,16788661
2000,10,0.8,16834381
2000,11,6.05,16847962
2000,12,2.65,16953326
2001,1,-3.53,17007301
2001,2,6.03,17005032
2001,3,10.45,17258942
2001,4,1.74,17503581
2001,5,-2.62,17711825
2001,6,1.85,17634058
2001,7,-1.61,17685640
2001,8,5.17,17652863
2001,9,0.95,17897863
2001,10,-0.2,18000000
2001,11,-0.58,20000000
2001,12,1.53,21000000
2002,1,-0.61,21500000
2002,2,-4.2,22000000
2002,3,0.32,20000000
2002,4,-3.52,20000000
2002,5,1.72,28687719
2002,6,0.82,30540351
2002,7,4.9,31157895
2002,8,0.36,32000000
2002,9,1.81,32000000
2002,10,-1.09,32000000
2002,11,1.57,37000000
2002,12,-1.15,41000000
2003,1,0.84,42000000
2003,2,0.83,43000000
2003,3,-0.32,42000000
2003,4,-0.25,42000000
2003,5,3.5,48000000
2003,6,0.49,52000000
2003,7,0.78,53000000
2003,8,-0.49,94000000
2003,9,3.52,105000000
2003,10,-1.16,131000000
2003,11,-2.65,131000000
2003,12,0.35,131000000
2004,1,2.98,158000000
2004,2,-2.7,177000000
2004,3,0.13,196000000
2004,4,5.26,216000000
2004,5,0.42,223000000
2004,6,-1.81,231000000
2004,7,0.21,235000000
2004,8,0.43,245000000
2004,9,1.09,254000000
2004,10,0.28,265000000
2004,11,0.84,280000000
2004,12,-2.3,280000000
2005,1,-3.73,280000000
2005,2,1.72,250000000
2005,3,3.2,200000000
2005,4,4.1,225000000
2005,5,1.58,230000000
2005,6,1.47,230000000
2005,7,-2.28,245000000
2005,8,3.9,270000000
2005,9,1.83,300000000
2005,10,1.21,330000000
2005,11,-3.32,350000000
2005,12,0.26,385000000
2006,1,-0.26,398500000
2006,2,-1.41,402000000
2006,3,0.09,380000000
2006,4,2.05,358500000
2006,5,3.23,377000000
2006,6,0.51,403000000
2006,7,0.84,434000000
2006,8,2.67,457500000
2006,9,0.98,489000000
2006,10,-0.54,528000000
2006,11,5.31,570000000
2006,12,-3.13,610000000
2007,1,1.79,610000000
2007,2,-3.5,630000000
2007,3,-3.35,705000000
2007,4,4.55,705000000
2007,5,4.05,775000000
2007,6,-0.23,802000000
2007,7,3.91,820000000
2007,8,3.12,915000000
2007,9,2.19,1005000000
2007,10,2.42,1025000000
2007,11,2.09,1050000000
2007,12,1.33,1050000000
2008,1,1.32,1220000000
2008,2,2.78,1240000000
2008,3,2.56,1320000000
2008,4,-1.54,1450000000
2008,5,1.9,1500000000
2008,6,1.76,1600000000
2008,7,1.26,1700000000
2008,8,-1.52,1750000000
2008,9,-1.08,1750000000
2008,10,1.21,1750000000
2008,11,2.77,1720000000
2008,12,3.04,1600000000
2009,1,1.58,1575000000
2009,2,0.63,1620000000
2009,3,-4.11,1620000000
2009,4,-1.41,1550000000
2009,5,3.89,1540000000
2009,6,-2.47,1650000000
2009,7,-1.15,1630000000
2009,8,0.25,1600000000
2009,9,2.89,1600000000
2009,10,-4.14,1700000000
2009,11,2.05,1700000000
2009,12,-5.57,1750000000
2010,1,-4.3,1740000000
2010,2,3.26,1600000000
2010,3,-1.17,1590000000
2010,4,1.6,1590000000
2010,5,5.78,1580000000
2010,6,3.17,1600000000
2010,7,-2.7,1700000000
2010,8,3.58,1790000000
2010,9,-1.35,1950000000
2010,10,2.79,2000000000
2010,11,-1.6,2200000000
2010,12,0.87,2200000000
2011,1,-3.21,2190000000
2011,2,2.94,2277000000
2011,3,-2.93,2200000000
2011,4,1.92,2180000000
2011,5,-3.09,2212000000
2011,6,1.43,2221350000
