Year, Month, Return, Assets
2006,10,-0.54,80000000
2006,11,5.31,163769268
2006,12,-3.13,201061021
2007,1,1.79,222811630
2007,2,-3.5,242789853
2007,3,-3.35,279204692
2007,4,4.55,274753193
2007,5,4.05,309648528
2007,6,-0.23,324977893
2007,7,3.91,322900736
2007,8,3.12,399034052
2007,9,2.19,434053901
2007,10,2.42,462385632
2007,11,2.09,482230248
2007,12,1.33,547700000
2008,1,1.32,584700000
2008,2,2.78,613100000
2008,3,2.56,658300000
2008,4,-1.54,720800000
2008,5,1.9,768400000
2008,6,1.76,822000000
2008,7,1.26,846550000
2008,8,-1.52,859750000
2008,9,-1.08,857750000
2008,10,1.21,882300000
2008,11,2.77,869800000
2008,12,3.04,751800000
2009,1,1.58,728400000
2009,2,0.63,766500000
2009,3,-4.11,758750000
2009,4,-1.41,705100000
2009,5,3.89,692950000
2009,6,-2.47,813250000
2009,7,-1.15,823000000
2009,8,0.25,836200000
2009,9,2.89,844800000
2009,10,-4.14,823800000
2009,11,2.05,781550000
2009,12,-5.57,812700000
2010,1,-4.3,816850000
2010,2,3.26,706150000
2010,3,-1.17,680300000
2010,4,1.6,701850000
2010,5,5.78,681100000
2010,6,3.17,689750000
2010,7,-2.7,726650000
2010,8,3.58,826900000
2010,9,-1.35,873640000
2010,10,2.79,925250000
2010,11,-1.6,938800000
2010,12,0.87,899700000
2011,1,-3.21,943050000
2011,2,2.94,910900000
2011,3,-2.93,974600000
2011,4,1.92,961950000
2011,5,-3.09,975750000
2011,6,1.43,1006800000
2011,7,-1.04,912250000
2011,8,0.67,888550000
2011,9,1.88,901800000
2011,10,-6.21,760450000
2011,11,-2.82,625000000
2011,12,0.85,602950000
2012,1,-1.19,534900000
2012,2,0.98,508600000
2012,3,-3.28,505700000
2012,4,0.86,428100000
2012,5,12.8,433500000
2012,6,-3.98,480050000
2012,7,0.59,445550000
2012,8,-0.34,445650000
2012,9,-2.54,443800000
2012,10,-1.79,430800000
2012,11,-2.91,409700000
2012,12,-1.08,396600000
2013,1,4.7,375150000
2013,2,-2.32,394250000
2013,3,0.6,379600000
2013,4,2.78,341700000
2013,5,10.15,206750000
2013,6,-3.21,229700000
2013,7,0.65,215560000
2013,8,-2.41,204450000
2013,9,-0.54,199600000
2013,10,1.42,199000000
2013,11,2.78,221250000
2013,12,0.62,236200000
2014,1,-0.55,237100000
2014,2,-3.8,242650000
2014,3,-10.59,233150000
2014,4,-1.48,208550000
2014,5,2.64,205950000
2014,6,0.47,211450000
2014,7,-1.3,211650000
2014,8,7.26,210150000
2014,9,5.96,225250000
2014,10,-3.02,237600000
2014,11,5.3,232400000
2014,12,-0.93,244000000
2015,1,5.72,306950000
2015,2,1.14,135500000
2015,3,-0.71,139850000
2015,4,-3.59,136800000
2015,5,-1.07,134350000
2015,6,-3.8,131350000
2015,7,-0.63,127000000
2015,8,-6.69,125450000
2015,9,3.47,117650000
2015,10,-2.03,122000000
2015,11,-0.97,117650000
2015,12,0.57,118600000
2016,1,7.79,119900000
2016,2,6.49,129450000
2016,3,-4.4,137800000
2016,4,-2.3,132200000
2016,5,-0.52,133600000
2016,6,1.82,133750000
2016,7,0.95,136200000
2016,8,-2,137750000
2016,9,-2.83,135450000
2016,10,-4.6,110768068
2016,11,0.72,107055978
2016,12,5.74,107535279
2017,1,-4.74,113709063
2017,2,2.74,109074432
2017,3,0.57,112093369
2017,4,-0.09,112809361
2017,5,4.93,113520923
2017,6,-2.89,119037069
2017,7,2.6,115592725
2017,8,-4.9,119476318
2017,9,-6.99,113958518
2017,10,9.09,105993866
2017,11,0.4,116532409
2017,12,-1.14,116994098
2018,1,13.82,116379737
2018,2,-10.07,133453395
2018,3,-3.63,116407042
2018,4,-0.84,111154188
2018,5,0.99,111081930
2018,6,-0.24,109852959
2018,7,-3.79,111219914
2018,8,3.29,108092921
2018,9,-2.19,111916329
2018,10,-9.95,109745656
2018,11,-0.69,99070967
2018,12,6.09,98637649
2019,1,-4.99,104868530
2019,2,-0.37,99864792
2019,3,5.17,99748850
2019,4,1.25,105152582
2019,5,-0.88,106734907
2019,6,5.09,106060014
2019,7,3.2,91697930
2019,8,11.06,94870850
2019,9,-5.88,92809469
2019,10,-0.19,87595612
2019,11,4.9,87591861
2019,12,0.1,92183608
2020,1,0.57,85400000
2020,2,0.81,85140000
2020,3,0.96,85150000
2020,4,-2.75,72020000
