Year, Month, Return, Assets
2006,2,0.88,0
2006,3,0.71,0
2006,4,2.4,0
2006,5,-2.01,0
2006,6,0.23,0
2006,7,1.52,0
2006,8,0.19,0
2006,9,-0.6,0
2006,10,1.86,0
2006,11,-0.09,0
2006,12,2.49,0
2007,1,0.19,0
2007,2,-0.62,0
2007,3,1.26,0
2007,4,2.28,0
2007,5,1.15,0
2007,6,1.1,0
2007,7,0.13,0
2007,8,3.45,0
2007,9,7.72,0
2007,10,2.77,0
2007,11,3.19,0
2007,12,-1.14,0
2008,1,1.72,0
2008,2,0.22,0
2008,3,-0.58,0
2008,4,0.59,0
2008,5,-2.49,0
2008,6,0.92,0
2008,7,1.08,0
2008,8,0.11,0
2008,9,1.91,0
2008,10,1.81,0
2008,11,0.24,0
2008,12,0.03,0
2009,1,1.48,0
2009,2,0.63,0
2009,3,-1.17,0
2009,4,0.07,0
2009,5,-1.61,0
2009,6,0.16,0
2009,7,0.15,0
2009,8,-0.6,0
2009,9,1.01,0
2009,10,0.51,0
2009,11,1.46,0
2009,12,-1.14,0
2010,1,1.05,0
2010,2,0.12,0
2010,3,2.04,0
2010,4,-0.15,0
2010,5,0.64,0
2010,6,-1.85,0
2010,7,-0.37,0
2010,8,-0.26,0
2010,9,3.27,0
2010,10,-0.93,0
2010,11,-2.22,0
2010,12,3.59,0
2011,1,-3.06,0
2011,2,-0.08,0
2011,3,-1.07,0
2011,4,9.06,0
2011,5,-2.78,0
2011,6,-0.61,0
2011,7,2.3,0
2011,8,-3.37,0
2011,9,9.9,0
2011,10,-1.32,0
2011,11,-0.45,165000000
2011,12,0.35,165000000
2012,1,1.62,135000000
2012,2,-0.97,130000000
2012,3,-1.88,130000000
2012,4,0.2,130000000
2012,5,1.08,130000000
2012,6,-2.52,125000000
2012,7,-2.02,125000000
2012,8,-0.43,125000000
2012,9,4.77,122000000
2012,10,0.32,122000000
2012,11,-0.37,122000000
2012,12,1.5,131000000
2013,1,-0.56,131000000
2013,2,0.85,131000000
2013,3,-0.24,138000000
2013,4,2.1,138000000
2013,5,4.54,138000000
2013,6,-0.43,132000000
2013,7,-3.09,132000000
2013,8,-2.25,132000000
2013,9,-0.9,122000000
2013,10,3.01,122000000
2013,11,-1.88,122000000
2013,12,0.24,118000000
2014,1,0.62,118000000
2014,2,-1.79,118000000
2014,3,1.13,7500000
2014,4,-1.61,7500000
2014,5,2.9,7500000
2014,6,-1.61,55000000
2014,7,1.93,55000000
2014,8,-2.37,55000000
2014,9,6.98,58000000
2014,10,-2.01,58000000
2014,11,1.28,58000000
2014,12,3.17,75000000
2015,1,0.11,75000000
2015,2,-1.76,75000000
2015,3,1.89,81000000
2015,4,0.84,81000000
2015,5,-1.03,81000000
2015,6,-0.55,72000000
2015,7,3.18,72000000
2015,8,3.61,72000000
2015,9,-0.16,75000000
2015,10,-0.69,75000000
2015,11,0.73,75000000
2015,12,-1.34,89000000
2016,1,0.16,89000000
2016,2,-0.37,89000000
2016,3,-2.25,109000000
2016,4,-1.32,109000000
2016,5,-2.04,109000000
2016,6,-0.26,95000000
2016,7,-0.85,95000000
2016,8,-0.64,95000000
2016,9,-0.64,89000000
2016,10,-0.04,89000000
2016,11,1.74,89000000
2016,12,-0.42,70000000
2017,1,-0.31,70000000
2017,2,2.17,70000000
2017,3,1.78,51000000
2017,4,0.56,51000000
2017,5,0.62,51000000
2017,6,0.8,48000000
2017,7,-0.01,48000000
2017,8,-4.24,48000000
2017,9,-1.96,42000000
2017,10,-3.65,42000000
2017,11,-0.39,42000000
2017,12,1.24,40000000
2018,1,3.52,34000000
2018,2,2.38,34000000
2018,3,-0.93,34000000
2018,4,-6.05,34000000
2018,5,1.98,40000000
2018,6,7.02,40000000
2018,7,1.19,34000000
2018,8,-1.99,34000000
2018,9,-2.8,34000000
2018,10,0.15,34000000
2018,11,-1.55,34000000
2018,12,-2.18,34000000
2019,1,-4.08,40000000
2019,2,-4.18,40000000
2019,3,-1.67,40000000
2019,4,0.15,40000000
2019,5,4.45,40000000
2019,6,-2.44,34000000
2019,7,2.78,34000000
2019,8,1.04,34000000
2019,9,-1.57,34000000
2019,10,-3.12,5995000
2019,11,-1.8,5900000
2019,12,-3.26,5640000
2020,1,7.61,5450000
2020,2,6.86,5450000
2020,3,-5.2,5450000
