Year, Month, Return, Assets
2004,4,0.49,0
2004,5,3.32,0
2004,6,-0.07,0
2004,7,0.97,0
2004,8,1.24,0
2004,9,6,0
2004,10,6.8,0
2004,11,6.15,0
2004,12,1.14,0
2005,1,0.82,0
2005,2,1.97,0
2005,3,0.51,0
2005,4,-0.16,0
2005,5,1.66,0
2005,6,0.3,0
2005,7,1.9,0
2005,8,0.3,0
2005,9,0.72,0
2005,10,0.65,0
2005,11,-0.14,0
2005,12,0.27,0
2006,1,0.3,0
2006,2,0.99,0
2006,3,0.27,0
2006,4,0.69,0
2006,5,-0.57,0
2006,6,-0.09,0
2006,7,0.44,0
2006,8,-0.17,0
2006,9,-0.15,0
2006,10,0.52,0
2006,11,0.07,0
2006,12,0.68,0
2007,1,-0.3,0
2007,2,-0.3,0
2007,3,0.48,0
2007,4,0.78,0
2007,5,-0.02,0
2007,6,0.23,0
2007,7,0.08,0
2007,8,-0.1,0
2007,9,4.74,0
2007,10,-0.47,0
2007,11,1.27,0
2007,12,-0.36,0
2008,1,-0.47,0
2008,2,-1.44,0
2008,3,0.36,0
2008,4,1.26,0
2008,5,-0.64,0
2008,6,-0.63,0
2008,7,1.08,0
2008,8,0.04,0
2008,9,-0.69,0
2008,10,1.23,0
2008,11,1.95,0
2008,12,0.29,0
2009,1,4.74,0
2009,2,0.47,0
2009,3,-2.16,0
2009,4,0.27,0
2009,5,0.68,0
2009,6,-1.48,0
2009,7,0.22,0
2009,8,0.97,0
2009,9,-0.68,0
2009,10,-3.83,0
2009,11,-1.86,0
2009,12,-0.07,0
2010,1,-1.13,0
2010,2,1.59,0
2010,3,-0.32,0
2010,4,-0.45,0
2010,5,0.47,0
2010,6,-3.72,0
2010,7,-1.21,0
2010,8,-1.66,0
2010,9,-0.18,0
2010,10,-4.41,0
2010,11,-1.61,0
2010,12,1.02,0
2011,1,-2.88,0
2011,2,-0.33,0
2011,3,0.04,0
2011,4,10.19,0
2011,5,-5.44,0
2011,6,-1.5,0
2011,7,0.84,0
2011,8,-2.14,0
2011,9,3.12,0
2011,10,-2.76,0
2011,11,0.26,0
2011,12,0.81,0
2012,1,1.15,550000000
2012,2,-0.08,558000000
2012,3,-2.81,558000000
2012,4,-2.16,558000000
2012,5,5.26,558000000
2012,6,0.4,558000000
2012,7,-1.02,558000000
2012,8,-0.54,558000000
2012,9,0.97,521000000
2012,10,-0.67,521000000
2012,11,-1.54,521000000
2012,12,-0.28,521000000
2013,1,-2.89,521000000
2013,2,0,521000000
2013,3,2.29,309000000
2013,4,-1.09,309000000
2013,5,2.11,309000000
2013,6,-3.85,325000000
2013,7,-2.91,325000000
2013,8,-1.87,325000000
2013,9,-1.35,324000000
2013,10,0.02,324000000
2013,11,-0.26,324000000
2013,12,0.73,4000000
2014,1,-0.93,4000000
2014,2,-0.73,4000000
2014,3,-1.13,4000000
2014,4,-0.08,4000000
2014,5,-0.6,4000000
2014,6,-0.99,4000000
2014,7,2,4000000
2014,8,3.6,4000000
2014,9,12.96,4000000
2014,10,-1.03,4000000
2014,11,4.62,4000000
2014,12,3.44,14000000
2015,1,-1.41,14000000
2015,2,-0.38,14000000
2015,3,4.09,15000000
2015,4,0.81,15000000
2015,5,-2.11,15000000
2015,6,-4.07,4000000
2015,7,2.61,4000000
2015,8,0.9,4000000
2015,9,-1.11,3000000
2015,10,-2.39,3000000
2015,11,4.33,3000000
2015,12,0.25,4000000
2016,1,2.48,4000000
2016,2,0.73,4000000
2016,3,5.31,4000000
2016,4,0.46,4000000
2016,5,-2.11,4000000
2016,6,1.35,2000000
2016,7,-1.21,2000000
2016,8,0.26,2000000
2016,9,-0.88,2000000
2016,10,-1.35,2000000
2016,11,-0.55,2000000
2016,12,-0.93,2000000
2017,1,-0.45,2000000
2017,2,3.25,2000000
2017,3,4.28,2000000
2017,4,1.54,2000000
2017,5,1.86,2000000
2017,6,0.45,2000000
2017,7,-1.32,2000000
2017,8,2.45,2000000
2017,9,-3.11,4000000
2017,10,-0.19,4000000
2017,11,1,4000000
2017,12,0.43,4000000
2018,1,2.79,4000000
2018,2,-2.14,4000000
2018,3,-2.35,4000000
2018,4,-4.43,4000000
2018,5,1.18,4000000
2018,6,5.84,2000000
2018,7,-0.75,2000000
2018,8,0.83,2000000
2018,9,-1.57,2000000
2018,10,0.75,2000000
2018,11,-0.83,2000000
2018,12,-1.48,2000000
2019,1,1.89,2000000
2019,2,-3.33,2000000
2019,3,-0.92,2000000
2019,4,0.95,2000000
2019,5,4.03,2000000
2019,6,0.19,2000000
2019,7,1.81,2000000
2019,8,4.9,2000000
2019,9,-0.65,2000000
2019,10,-3.07,5040000
2019,11,-0.11,5040000
2019,12,-2.79,4780000
2020,1,-2.11,4580000
2020,2,3.38,4580000
2020,3,-7.26,4580000
