Year, Month, Return, Assets
2005,7,2.37,2000000
2005,8,-0.74,2000000
2005,9,5.12,2000000
2005,10,-3.92,2000000
2005,11,2.73,2000000
2005,12,0.86,4000000
2006,1,3.7,4175000
2006,2,-0.57,4160000
2006,3,3.33,4350000
2006,4,4.62,4600000
2006,5,-3.6,4400000
2006,6,0.02,6400000
2006,7,-3.13,6220000
2006,8,2.24,6380000
2006,9,-0.33,6380000
2006,10,3.94,6680000
2006,11,0.86,6780000
2006,12,6,9300000
2007,1,4.87,9950000
2007,2,-2.38,9700000
2007,3,-0.73,11700000
2007,4,4.76,12400000
2007,5,5.22,13200000
2007,6,1.67,13500000
2007,7,-3.18,13100000
2007,8,-3.28,14100000
2007,9,4.99,14900000
2007,10,4.96,15800000
2007,11,-2.01,15500000
2007,12,-0.32,16500000
2008,1,-0.05,16500000
2008,2,6.13,17500000
2008,3,-1.16,19400000
2008,4,-4.72,25300000
2008,5,-0.11,25300000
2008,6,3.78,27275000
2008,7,0.08,39275000
2008,8,-2.06,45825000
2008,9,0.33,45950000
2008,10,4.74,55725000
2008,11,4.18,62000000
2008,12,-0.26,62625000
2009,1,1,65000000
2009,2,4.09,71000000
2009,3,-1.66,72000000
2009,4,-6.38,71700000
2009,5,-3.31,92190000
2009,6,-0.56,98000000
2009,7,-1.12,95500000
2009,8,1.07,95700000
2009,9,0.66,100300000
2009,10,-0.89,98000000
2009,11,2.32,124700000
2009,12,-2.24,111700000
2010,1,-2.92,112750000
2010,2,-1.59,110000000
2010,3,4.85,116000000
2010,4,1.35,116000000
2010,5,-2.7,113000000
2010,6,-3.09,111000000
2010,7,1.64,112000000
2010,8,1.96,113000000
2010,9,3.8,115000000
2010,10,2.95,119000000
2010,11,-1.51,141000000
2010,12,4.5,146000000
2011,1,-0.66,146000000
2011,2,3.41,159000000
2011,3,-0.85,159000000
2011,4,4.73,169000000
2011,5,-3.66,175000000
2011,6,-3.11,176000000
2011,7,2.7,173000000
2011,8,-1.12,183000000
2011,9,-2.42,180000000
2011,10,-4.67,172000000
2011,11,-2.54,172000000
2011,12,0.34,172000000
2012,1,-1.59,175000000
2012,2,-6.31,154000000
2012,3,-1.91,146000000
2012,4,-1.46,124000000
2012,5,8.58,129000000
2012,6,-6.6,122000000
2012,7,2.18,122000000
2012,8,-2.98,122000000
2012,9,4.09,144000000
2012,10,-3.27,140000000
2012,11,2.05,139000000
2012,12,4.1,140000000
2013,1,2.05,145000000
2013,2,1.46,146000000
2013,3,-1.37,145000000
2013,4,5.27,152000000
2013,5,-3.49,150000000
2013,6,-0.43,147000000
2013,7,-2.18,147000000
2013,8,-2.08,150000000
2013,9,-1.59,146000000
2013,10,2.97,139000000
2013,11,1.74,113000000
2013,12,1.21,114000000
2014,1,-4.26,111000000
2014,2,0.52,57000000
2014,3,-0.21,1000
2014,4,-1.38,1000
2014,5,0,1000
2014,6,0.04,1000
2014,7,0.06,1000
2014,8,1.05,1000
2014,9,5.65,1000
2014,10,1.14,1000
2014,11,8.71,1000
2014,12,4.94,1000
2015,1,11.38,1000
2015,2,1.12,1000
2015,3,2.45,1000
2015,4,-6.08,1000
2015,5,1.79,1000
2015,6,-6.6,1000
2015,7,6.23,1000
2015,8,-0.47,1000
2015,9,2.18,1000
2015,10,-5.43,1000
2015,11,5.12,1000
2015,12,-3.01,1000
2016,1,6.46,1000
2016,2,2.98,1000
2016,3,-6.19,1000
2016,4,-4.59,1000
2016,5,-2.86,1000
2016,6,1.77,1000
2016,7,-1.13,1000
2016,8,-3.51,1000
2016,9,-2.71,1000
2016,10,-6.41,1000
2016,11,-2.23,1000
2016,12,0,1000
2017,1,1.76,1000
2017,2,0.4,1000
2017,3,-1.66,1000
2017,4,-2.61,1000
2017,5,-0.92,1000
2017,6,-1.94,1000
2017,7,2.35,1000
2017,8,-2.8,1000
2017,9,0.4,1000
2017,10,4.7,1000
2017,11,2.2,1000
2017,12,1.22,1000
2018,1,8.3,1000
2018,2,-8.95,1000
2018,3,-1.31,1000
2018,4,-1.19,1000
2018,5,-0.75,1000
2018,6,0.46,1000
2018,7,0.26,1000
2018,8,1.75,1000
2018,9,-0.59,1000
2018,10,-4.7,1000
2018,11,-2.95,1000
2018,12,1.54,1000
2019,1,-6.92,1000
2019,2,0.08,1000
2019,3,5.95,1000
2019,4,1.51,1000
2019,5,4.46,1000
2019,6,-1.36,1000
2019,7,0.69,1000
2019,8,8.38,1000
2019,9,-7.7,1000
2019,10,-4.46,1000
2019,11,-1.27,1000
2019,12,1.02,1000
2020,1,1.49,1000
2020,2,4.4,1000
2020,3,5.58,1000
2020,4,-0.59,1000
