Year, Month, Return, Assets
1997,9,3.82,1100000
1997,10,2.01,1100000
1997,11,-0.21,1100000
1997,12,5.83,1200000
1998,1,6.81,1200000
1998,2,8.52,1500000
1998,3,4.97,1600000
1998,4,2.16,1900000
1998,5,0.96,2500000
1998,6,-0.28,2800000
1998,7,0.93,4200000
1998,8,4.06,4400000
1998,9,0.06,5000000
1998,10,9.52,5400000
1998,11,2.44,6200000
1998,12,4.65,6500000
1999,1,-3.43,7100000
1999,2,-2.12,7900000
1999,3,-2.55,8600000
1999,4,3.45,9700000
1999,5,-0.34,10000000
1999,6,2.02,10700000
1999,7,-0.83,10700000
1999,8,-3.99,10700000
1999,9,-3.78,11000000
1999,10,-0.9,9900000
1999,11,3.37,10000000
1999,12,3.5,10400000
2000,1,2.01,10300000
2000,2,8.94,10400000
2000,3,6.81,10500000
2000,4,6.93,12600000
2000,5,1.46,12800000
2000,6,-0.39,13100000
2000,7,1.86,13600000
2000,8,3.52,17500000
2000,9,-1.58,17400000
2000,10,6.96,19700000
2000,11,3.52,20300000
2000,12,7.27,22000000
2001,1,3.53,23400000
2001,2,-2.71,24200000
2001,3,2.56,25100000
2001,4,3.94,26800000
2001,5,2.5,27900000
2001,6,0.49,29100000
2001,7,-3.11,29400000
2001,8,-4.78,29400000
2001,9,6.69,30300000
2001,10,-0.95,31000000
2001,11,4.47,33200000
2001,12,3.28,33800000
2002,1,-1.92,35200000
2002,2,-2.1,36500000
2002,3,5.86,38900000
2002,4,-3.85,38600000
2002,5,-4.61,38900000
2002,6,3.23,39200000
2002,7,11.24,40500000
2002,8,1.53,42500000
2002,9,-4.17,42300000
2002,10,1.59,44900000
2002,11,2.26,46800000
2002,12,-5.57,46100000
2003,1,-0.26,48900000
2003,2,-2.87,47900000
2003,3,0.32,49400000
2003,4,2.58,51600000
2003,5,4.37,53400000
2003,6,1.2,54900000
2003,7,1.64,53600000
2003,8,3.9,55800000
2003,9,-0.34,57200000
2003,10,2.17,60000000
2003,11,1.48,61700000
2003,12,3.31,63900000
2004,1,1,63900000
2004,2,0.24,65200000
2004,3,0.32,68600000
2004,4,-1.79,74800000
2004,5,-1.09,83200000
2004,6,0.06,85600000
2004,7,-2.17,118800000
2004,8,-1.96,140200000
2004,9,-1.13,131700000
2004,10,4.54,138700000
2004,11,3.6,161100000
2004,12,0.67,169100000
2005,1,-5.03,151100000
2005,2,1.62,142700000
2005,3,-2.53,138500000
2005,4,-0.48,131500000
