Year, Month, Return, Assets
2001,6,2.13,2000000
2001,7,0.89,2000000
2001,8,0.95,2000000
2001,9,-1.31,2000000
2001,10,-0.1,2000000
2001,11,-0.31,2000000
2001,12,3.08,2000000
2002,1,-2.33,2000000
2002,2,-2.82,2000000
2002,3,-5.7,2000000
2002,4,-3.7,2000000
2002,5,1.39,2000000
2002,6,7.49,2000000
2002,7,8.74,2000000
2002,8,4.61,2000000
2002,9,9.76,2000000
2002,10,-2.87,2000000
2002,11,-8.77,2000000
2002,12,15.46,2000000
2003,1,9.7,2000000
2003,2,10.98,2000000
2003,3,-6.51,2000000
2003,4,-3.09,2000000
2003,5,2.12,2000000
2003,6,-2.17,2000000
2003,7,0.42,2000000
2003,8,4.59,2000000
2003,9,-3.89,2000000
2003,10,8.63,2000000
2003,11,2.07,2000000
2003,12,1.27,2000000
2004,1,4.68,2000000
2004,2,5.03,2000000
2004,3,-0.94,2000000
2004,4,-4.33,2000000
2004,5,-0.26,2000000
2004,6,1.91,2000000
2004,7,-2.93,2000000
2004,8,0.29,2507000
2004,9,2.42,2567000
2004,10,4.47,2685000
2004,11,10.54,3289000
2004,12,2.69,3377000
2005,1,-2.67,3305000
2005,2,-0.48,3778000
2005,3,1.1,3919000
2005,4,-4.93,5000000
2005,5,4.15,5193000
2005,6,3.98,13722000
2005,7,3.81,24170000
2005,8,6.8,31486000
2005,9,2.59,40404000
2005,10,-7.18,53841000
2005,11,5.06,71918000
2005,12,2.51,96416000
2006,1,2.89,123761000
2006,2,-3.5,131603000
2006,3,0.85,152329000
2006,4,3.23,184779000
2006,5,0.99,208700000
2006,6,-1.18,213534000
2006,7,-1.53,230269000
2006,8,2.68,224524000
2006,9,1.92,233620000
2006,10,1.44,246739000
2006,11,-0.95,279602000
2006,12,4.74,391196000
2007,1,0.93,438827000
2007,2,-2.83,475068000
2007,3,-1.95,493121000
2007,4,2.39,517470000
2007,5,0.34,530944000
2007,6,5.52,577568000
2007,7,-2.48,593891000
2007,8,-11.72,479615000
2007,9,2.44,459784000
2007,10,2.8,448337000
2007,11,3.04,433945000
2007,12,2.57,438605000
2008,1,3.06,462743712
2008,2,4.35,498784322
2008,3,1.15,492686496
2008,4,-5.75,498530167
2008,5,-4.5,439231065
2008,6,-3.04,380350169
2008,7,8.7,385383908
2008,8,10.08,414849921
2008,9,10.87,406618583
2008,10,17.2,407394670
2008,11,2.57,384172843
2008,12,0.26,370553079
2009,1,-0.02,375021602
2009,2,-0.07,394276509
2009,3,0.21,450743968
2009,4,-1.33,436137133
2009,5,-8.74,409700130
2009,6,0.33,438264401
2009,7,-2.52,440235516
2009,8,3.09,464083169
2009,9,1.06,498714388
2009,10,-1.85,512432674
2009,11,2.63,566181611
2009,12,-0.71,583319050
2010,1,-0.12,585606938
2010,2,0.37,604857846
2010,3,-0.34,565957667
2010,4,0.89,560219687
2010,5,4.48,630829586
2010,6,0.14,680868584
2010,7,-2.69,690087226
2010,8,2.97,758697159
2010,9,-0.31,823516526
2010,10,2.79,855804934
2010,11,-2.54,883281172
2010,12,-6.01,860767218
2011,1,-3.75,835571714
2011,2,-5.3,776187014
2011,3,4.95,795398417
2011,4,0.86,891385516
2011,5,-0.3,855923393
2011,6,-1.46,836936453
2011,7,6.58,879874424
2011,8,1.73,922211274
2011,9,7.34,962864729
2011,10,-5.57,954874681
2011,11,3.04,983696221
2011,12,-0.48,919267276
2012,1,-2.68,892511257
2012,2,-3.04,860711099
2012,3,-0.05,780342692
2012,4,1.71,801199038
2012,5,2.76,821997795
2012,6,-5.72,820210707
2012,7,-1.13,820639784
2012,8,-5.02,763714156
2012,9,-1.77,712981901
2012,10,0.11,615549443
2012,11,-1.14,611381825
2012,12,-1.51,569796539
2013,1,-2.01,543192233
2013,2,0.02,493541876
2013,3,-0.05,460579502
2013,4,2.74,453886919
2013,5,-2.98,288693039
2013,6,3.27,237595670
2013,7,-3.42,222814267
2013,8,-2.3,207732893
2013,9,-3.49,182969429
2013,10,-1.88,157581924
2013,11,-0.71,123420000
2013,12,1.89,105900000
2014,1,0,103400000
2014,2,-0.4,102100000
2014,3,-2.87,98800000
2014,4,2.36,78400000
2014,5,-2.95,72100000
2014,6,-0.13,69200000
2014,7,-1.85,68400000
2014,8,1.01,71500000
2014,9,4.43,74500000
2014,10,0.62,75000000
2014,11,0.01,74400000
2014,12,0.5,72300000
2015,1,0.1,69400000
2015,2,-2.14,66900000
2015,3,1.81,66700000
2015,4,-4.78,58400000
2015,5,0.93,58900000
2015,6,-3.2,55600000
2015,7,4.89,48600000
2015,8,-2.11,47400000
2015,9,8.37,42600000
2015,10,-4.02,38800000
2015,11,7.58,41700000
2015,12,0.66,36200000
2016,1,8.19,34708066
2016,2,5.97,36766747
2016,3,-7.18,34107743
2016,4,-2.55,33220666
2016,5,-3.85,31924997
2016,6,13.33,36173695
2016,7,1.6,36735318
2016,8,-3.27,35514854
2016,9,2.9,36531369
2016,10,-4.32,34938393
2016,11,-2.68,33392197
2016,12,2.32,35697422
2017,1,-0.41,35500000
2017,2,1.04,35600000
2017,3,-0.24,34400000
2017,4,4.24,35900000
2017,5,1.69,36500000
2017,6,-0.07,36500000
2017,7,-3.49,35200000
2017,8,6.49,37470000
2017,9,-5.07,35550000
2017,10,3.92,36950000
2017,11,0.71,37120000
2017,12,2.96,38200000
2018,1,1.99,38970000
2018,2,-7.08,36100000
2018,3,-0.27,35900000
2018,4,0.2,36200000
2018,5,1.18,36660000
2018,6,3.77,38030000
2018,7,1.19,38490000
2018,8,7.66,41460000
2018,9,0.96,41840000
2018,10,-5.11,39690000
2018,11,4.4,22240000
2018,12,5.34,26400000
2019,1,-4.58,24990000
2019,2,-4.14,23900000
2019,3,1,24200000
2019,4,-0.02,24200000
2019,5,-1.51,23830000
2019,6,4.08,25010000
2019,7,4.92,26240000
2019,8,6.79,28020000
2019,9,-0.76,27810000
2019,10,-0.69,27450000
2019,11,1.35,27970000
2019,12,-3.72,26930000
2020,1,5.03,28280000
2020,2,3.47,34430000
2020,3,-12.3,31440000
2020,4,-9.51,28680000
