Year, Month, Return, Assets
2001,6,2.13,2000000
2001,7,0.89,2000000
2001,8,0.95,2000000
2001,9,-1.31,2000000
2001,10,-0.1,2000000
2001,11,-0.31,2000000
2001,12,3.08,2000000
2002,1,-2.33,2000000
2002,2,-2.82,2000000
2002,3,-5.7,2000000
2002,4,-3.7,2000000
2002,5,1.39,2000000
2002,6,7.49,2000000
2002,7,8.74,2000000
2002,8,4.61,2000000
2002,9,9.76,2000000
2002,10,-2.87,2000000
2002,11,-8.77,2000000
2002,12,15.46,2000000
2003,1,9.7,2000000
2003,2,10.98,2000000
2003,3,-6.51,2000000
2003,4,-3.09,2000000
2003,5,2.12,2000000
2003,6,-2.17,2000000
2003,7,0.42,2000000
2003,8,4.59,2000000
2003,9,-3.89,2000000
2003,10,8.63,2000000
2003,11,2.07,2000000
2003,12,1.27,2000000
2004,1,4.68,2000000
2004,2,5.03,2000000
2004,3,-0.94,2000000
2004,4,-4.33,2000000
2004,5,-0.26,2000000
2004,6,1.91,2000000
2004,7,-2.93,2000000
2004,8,0.29,2507687
2004,9,2.42,2568391
2004,10,4.47,2685758
2004,11,10.54,3289803
2004,12,2.69,3378119
2005,1,-2.67,3306550
2005,2,-0.72,3779561
2005,3,1.06,3920564
2005,4,-4.47,3746145
2005,5,4.01,4208412
2005,6,4.21,3385943
2005,7,4.41,3497616
2005,8,6.28,3716876
2005,9,3,8255114
2005,10,-6.5,8760065
2005,11,5.22,8869940
2005,12,2.83,9622941
2006,1,2.84,10282182
2006,2,-3.38,9934870
2006,3,0.84,12586913
2006,4,2.97,14563495
2006,5,0.97,19374646
2006,6,-1.07,45014142
2006,7,-1.41,49937797
2006,8,2.8,57767943
2006,9,2,61770659
2006,10,1.57,74030723
2006,11,-0.79,73824383
2006,12,4.93,80060151
2007,1,0.79,95160209
2007,2,-2.75,106334300
2007,3,-1.68,120553238
2007,4,2.7,123405331
2007,5,0.33,123481186
2007,6,5.3,144932161
2007,7,-2.39,145855314
2007,8,-11.38,118519072
2007,9,2.2,115859679
2007,10,2.75,112453846
2007,11,3.18,107608179
2007,12,2.74,106673025
2008,1,3.45,110328522
2008,2,4.13,115324036
2008,3,1.33,104234749
2008,4,-5.98,97748720
2008,5,-4.57,62049314
2008,6,-2.98,51605393
2008,7,8.29,56711136
2008,8,10.19,52908418
2008,9,10.75,57044425
2008,10,17.15,50968055
2008,11,2.56,45815181
2008,12,0.31,42064246
2009,1,-0.06,41112951
2009,2,-0.12,47358438
2009,3,0.25,100108395
2009,4,-1.31,98461685
2009,5,-8.74,92156356
2009,6,0.36,116460677
2009,7,-2.45,125851987
2009,8,3.04,135456715
2009,9,1.13,139397403
2009,10,-1.88,138800870
2009,11,2.62,143393992
2009,12,-0.74,139842875
2010,1,-0.15,141051971
2010,2,0.35,142327672
2010,3,-0.38,142214782
2010,4,0.91,143538958
2010,5,4.95,150298170
2010,6,0.1,195936117
2010,7,-2.66,190833790
2010,8,3,200044585
2010,9,-0.35,199869764
2010,10,3.19,208654165
2010,11,-2.94,211739267
2010,12,-6.02,207070644
2011,1,-3.86,200069381
2011,2,-5.32,187499133
2011,3,5.07,198743641
2011,4,0.85,200870149
2011,5,-0.28,211927892
2011,6,-1.49,207574752
2011,7,6.8,231695726
2011,8,2.01,223121761
2011,9,7.73,273990249
2011,10,-5.74,258259480
2011,11,2.96,285548691
2011,12,-0.51,291173411
2012,1,-2.67,290798251
2012,2,-3.04,270812748
2012,3,0,275352960
2012,4,1.78,303362677
2012,5,2.84,312434544
2012,6,-5.72,292920696
2012,7,-1.15,284618620
2012,8,-5.02,266963800
2012,9,-1.66,260411866
2012,10,0.16,247681499
2012,11,-1.22,244698937
2012,12,-1.46,241461004
2013,1,-1.97,229495965
2013,2,-0.04,216121431
2013,3,-0.03,213663692
2013,4,2.69,220103175
2013,5,-3.05,68512343
2013,6,3.14,58274094
2013,7,-3.39,56299851
2013,8,-2.33,54100179
2013,9,-3.46,52338607
2013,10,-1.91,51222809
2013,11,-0.75,24890550
2013,12,1.78,24865498
2014,1,-0.03,24800000
2014,2,-0.58,24900000
2014,3,-2.95,24600000
2014,4,2.21,25100000
2014,5,-2.94,21400000
2014,6,-0.23,20800000
2014,7,-1.88,20400000
2014,8,0.85,20600000
2014,9,4.11,21300000
2014,10,0.46,21400000
2014,11,-0.16,21400000
2014,12,0.42,20300000
2015,1,-0.1,20300000
2015,2,-2.21,19800000
2015,3,1.6,20100000
2015,4,-4.8,19700000
2015,5,0.77,19900000
2015,6,-3.29,19300000
2015,7,4.56,20300000
2015,8,-2.17,19800000
2015,9,8.24,21500000
2015,10,-4.31,20500000
2015,11,7.4,22100000
2015,12,0.64,16500000
2016,1,8.4,17600000
2016,2,6.37,18700000
2016,3,-7.45,17500000
2016,4,-2.62,17000000
2016,5,-4.03,16300000
2016,6,13.4,18500000
2016,7,1.46,18700000
2016,8,-3.44,18200000
2016,9,2.94,18600000
2016,10,-4.37,17800000
2016,11,-2.9,16660000
2016,12,2.35,18590000
2017,1,-0.44,18500000
2017,2,1.07,18600000
2017,3,-0.35,18400000
2017,4,4.34,19200000
2017,5,1.77,19500000
2017,6,-0.04,19500000
2017,7,-3.48,18800000
2017,8,6.59,20000000
2017,9,-5.2,18990000
2017,10,3.99,19700000
2017,11,0.78,19800000
2017,12,3.21,20410000
2018,1,2.06,20830000
2018,2,-7.22,19300000
2018,3,-0.31,19200000
2018,4,0.36,19400000
2018,5,1.29,19600000
2018,6,3.81,20350000
2018,7,1.29,20590000
2018,8,9.38,22310000
2018,9,1.17,22520000
2018,10,-4.94,21330000
2018,11,4.94,22340000
2018,12,6.03,26690000
2019,1,-4.25,25600000
2019,2,-3.5,24700000
2019,3,0.91,24900000
2019,4,0.98,24900000
2019,5,-1.55,24700000
2019,6,3.81,25880000
2019,7,4,26640000
2019,8,13.14,29810000
2019,9,-1.5,29350000
2019,10,-1.54,28730000
2019,11,0.64,29060000
2019,12,-5.14,27320000
2020,1,4.78,28870000
2020,2,5.05,35350000
2020,3,-11.99,31430000
2020,4,-2.85,31650000
