Year, Month, Return, Assets
2000,4,-0.04,500169
2000,5,-2.92,485447
2000,6,-1.14,480319
2000,7,-0.87,476559
2000,8,0.54,479545
2000,9,-2.59,467496
2000,10,3.11,482424
2000,11,0.71,486239
2000,12,8.19,524913
2001,1,5.32,553275
2001,2,-4.46,529032
2001,3,14.02,603689
2001,4,0.44,606236
2001,5,0.23,608131
2001,6,2.22,637509
2001,7,1.79,649493
2001,8,3.97,675892
2001,9,9.66,741849
2001,10,2.42,760487
2001,11,-7.53,935733
2001,12,-3.69,902371
2002,1,1.78,919558
2002,2,-6.77,858376
2002,3,1.46,871944
2002,4,0.57,875440
2002,5,1.25,887388
2002,6,13.42,1006160
2002,7,7.53,1083010
2002,8,0.61,1090660
2002,9,5.53,1152100
2002,10,-12.31,1011460
2002,11,-2.48,987447
2002,12,2.5,1013300
2003,1,4.35,1058470
2003,2,6.22,1125420
2003,3,-12.1,989627
2003,4,3.73,1025980
2003,5,12.26,1152330
2003,6,-12.09,1031830
2003,7,6.06,1095510
2003,8,3.6,1136170
2003,9,-1.18,1123980
2003,10,8.83,1216620
2003,11,-5.26,1156180
2003,12,6.13,1224930
2004,1,5.65,1802980
2004,2,5.77,1982980
2004,3,0.72,1999320
2004,4,-8.03,1854190
2004,5,-10.36,1676960
2004,6,-8.07,1543320
2004,7,-4.92,1468960
2004,8,-7.94,1353620
2004,9,2.54,1389360
2004,10,-1.97,1363480
2004,11,-1.47,1267260
2004,12,-0.4,1263760
2005,1,-6.85,1178570
2005,2,3.88,1225710
2005,3,-2,1202540
2005,4,-4.27,1115230
2005,5,0.03,1116720
2005,6,0.67,1125300
2005,7,-1.82,1105750
2005,8,-8.19,1016130
2005,9,1.91,1036550
2005,10,2.55,1064010
2005,11,4.12,1095720
2005,12,5.03,1151060
2006,1,6.1,1222490
2006,2,-2.08,1198380
2006,3,0.34,1203790
2006,4,1.6,1173440
2006,5,2.21,1200510
2006,6,-5.23,1137720
2006,7,-6.01,1069880
2006,8,-1.27,1057410
2006,9,2.45,1083660
2006,10,-0.5,1078520
2006,11,1.84,1098790
