Year, Month, Return, Assets
2003,12,-0.14,1000000
2004,1,0.61,1000000
2004,2,2.87,1000000
2004,3,2.66,1000000
2004,4,3.54,7570000
2004,5,-1.75,8060000
2004,6,2.82,8060000
2004,7,0.76,9540000
2004,8,2.63,22160000
2004,9,-0.53,21250000
2004,10,4.54,19470000
2004,11,-4.09,19470000
2004,12,2.34,23360000
2005,1,2.19,12000000
2005,2,3.32,12000000
2005,3,-1.23,12000000
2005,4,1.24,12000000
2005,5,2.88,12000000
2005,6,1.11,100000
2005,7,-0.73,100000
2005,8,2.91,100000
2005,9,1.45,100000
2005,10,-0.08,700000
2005,11,-2.11,1300000
2005,12,2.44,1300000
2006,1,0.38,1300000
2006,2,2.09,1600000
2006,3,4.85,1900000
2006,4,8.59,1900000
2006,5,-3.95,1900000
2006,6,1.82,1900000
2006,7,2.84,1900000
2006,8,3.08,2400000
2006,9,5.29,2400000
2006,10,-1.98,2400000
2006,11,9.92,7400000
2006,12,1.28,16300000
2007,1,4.56,39800000
2007,2,-7.81,39800000
2007,3,-3.09,39400000
2007,4,-0.72,40500000
2007,5,8.41,41300000
2007,6,5.73,44800000
2007,7,-6.6,42800000
2007,8,22.86,42800000
2007,9,0.55,48000000
2007,10,-1.29,48600000
2007,11,7.17,50400000
2007,12,7.28,69100000
2008,1,-8.41,73150000
2008,2,7.34,80650000
2008,3,2.35,91150000
2008,4,8.54,101010000
2008,5,4.66,121700000
2008,6,-6.12,138200000
2008,7,4.2,158450000
2008,8,1.93,164700000
2008,9,9.99,170510000
2008,10,-2.71,85090000
2008,11,3.49,83590000
2008,12,4.88,100850000
2009,1,2.25,123100000
2009,2,-1.81,131240000
2009,3,-0.63,152630000
2009,4,2.15,160500000
2009,5,1.87,186830000
2009,6,0.22,199300000
2009,7,-5.52,213000000
2009,8,2.67,224640000
2009,9,-0.9,239020000
2009,10,0.41,261160000
2009,11,0.98,282490000
2009,12,1.59,288640000
2010,1,-2.02,291330000
2010,2,4.47,302730000
2010,3,-12.18,295407000
2010,4,3.34,295407000
2010,5,2.13,307880000
2010,6,0,297040000
2010,7,10.13,316860000
2010,8,-0.28,329420000
2010,9,-7.45,329420000
2010,10,2.64,273410000
2010,11,0.55,296530000
2010,12,-6.32,294920000
2011,1,1.54,290750000
2011,2,3.03,292750000
2011,3,-1.38,274650000
2011,4,-2.72,263480000
2011,5,5.54,264900000
2011,6,1.62,258360000
2011,7,-0.07,255720000
2011,8,-14.79,236160000
2011,9,10.04,214650000
2011,10,-0.08,216440000
2011,11,1.26,206000000
2011,12,5.84,193000000
2012,1,-2.91,189000000
2012,2,-1.54,168000000
2012,3,2.83,164000000
2012,4,3.06,163000000
2012,5,-4.36,146000000
2012,6,4.14,149000000
2012,7,1.8,147000000
2012,8,-0.2,151000000
2012,9,-0.52,151000000
2012,10,1.52,151000000
2012,11,0.74,146000000
2012,12,1.7,145000000
2013,1,-4.89,152000000
2013,2,4.79,153000000
2013,3,-1,144000000
2013,4,6.2,147000000
2013,5,-3.97,146000000
2013,6,2,135000000
2013,7,-9.11,136000000
2013,8,-1.5,134000000
2013,9,-4.04,115000000
2013,10,2.53,122000000
2013,11,1.31,132000000
2013,12,2.51,137000000
2014,1,0.16,134000000
2014,2,-1.71,135000000
2014,3,2.61,130000000
2014,4,4.02,129000000
2014,5,0.35,127000000
2014,6,-0.22,132000000
2014,7,-0.47,136000000
2014,8,0.12,136000000
2014,9,2.07,138000000
2014,10,-2.2,138000000
2014,11,-1.77,134000000
2014,12,-0.44,137000000
2015,1,4.24,154000000
2015,2,0.96,151000000
2015,3,2.92,148000000
2015,4,1.09,167000000
2015,5,1.7,201410000
2015,6,0.46,204550000
2015,7,3.15,236720000
2015,8,-5.34,228740000
2015,9,0.79,187680000
2015,10,-1.37,168000000
2015,11,-0.62,184000000
2015,12,4.42,178000000
2016,1,-6.79,170000000
2016,2,2.13,169000000
2016,3,-1,163000000
2016,4,1.92,163000000
2016,5,0.5,162000000
2016,6,3.64,159000000
2016,7,-0.36,161000000
2016,8,1.88,160000000
2016,9,3.1,161000000
2016,10,-0.18,162000000
2016,11,-0.24,157000000
2016,12,-0.55,160000000
2017,1,1.02,164000000
2017,2,-1.83,168000000
2017,3,1.51,171000000
2017,4,0.31,187000000
2017,5,1.55,182000000
2017,6,0.5,193000000
2017,7,-0.13,194000000
2017,8,1.46,206000000
2017,9,0.38,211000000
2017,10,-0.66,200000000
2017,11,0.54,139000000
2017,12,-0.05,139000000
2018,1,-2.49,136000000
2018,2,-2.83,128000000
2018,3,-4.17,101000000
2018,4,2.94,101000000
2018,5,1.49,95000000
2018,6,-0.89,94000000
2018,7,-0.03,93000000
2018,8,1.02,93000000
2018,9,0.74,91000000
2018,10,-14.07,86000000
2018,11,3.54,84000000
2018,12,-4.93,84000000
2019,1,1.35,52000000
2019,2,-1.15,52000000
2019,3,1.79,50000000
2019,4,-0.78,50000000
2019,5,-2.27,49000000
2019,6,1.52,49000000
2019,7,0.56,47000000
2019,8,-0.12,47000000
2019,9,-0.54,25000000
2019,10,-2.06,24700000
2019,11,0.96,25000000
2019,12,3.35,25000000
2020,1,-3.16,23000000
2020,2,-8.51,23000000
2020,3,8.02,23000000
2020,4,2.57,23000000
