Year, Month, Return, Assets
1995,12,14.51,6272429
1996,1,1.68,6377720
1996,2,-8.5,6292926
1996,3,11.62,7024189
1996,4,6.18,7458029
1996,5,-9.46,6825367
1996,6,-0.14,6815627
1996,7,-7.23,6322734
1996,8,0.19,7135985
1996,9,-1.52,7027172
1996,10,15.14,8079539
1996,11,5.05,8487859
1996,12,4.64,8881551
1997,1,2.22,11435148
1997,2,4.57,11957201
1997,3,2.71,12332733
1997,4,-5.44,11722449
1997,5,5.56,13429684
1997,6,-3.32,12983324
1997,7,2.75,14367514
1997,8,-5.71,15150043
1997,9,-2.83,15450504
1997,10,4.02,10777306
1997,11,-1.25,10642325
1997,12,7.56,11446690
1998,1,3.56,11853699
1998,2,2.69,15253344
1998,3,-0.73,15539773
1998,4,-8.02,14508723
1998,5,-1.35,14312431
1998,6,3.72,14844700
1998,7,-2.22,14515277
1998,8,15.43,16755595
1998,9,2.51,16355822
1998,10,-1.51,13336784
1998,11,2.96,14245837
1998,12,5.69,15056731
1999,1,-7.69,13899237
1999,2,1.79,15165467
1999,3,-3.35,14657930
1999,4,5.92,17378933
1999,5,-0.75,17248621
1999,6,3.54,17858729
1999,7,0.51,17647751
1999,8,1.74,19924498
1999,9,0.02,19828988
1999,10,-5.5,13820098
1999,11,6.81,14761671
1999,12,2.01,15058348
2000,1,-0.38,13944003
2000,2,-0.4,13887829
2000,3,-1.77,13641688
2000,4,-2.52,13297479
2000,5,2.46,13624430
2000,6,-1.18,13464203
2000,7,-3,13060175
2000,8,2.64,13404791
2000,9,-0.34,13358964
2000,10,1.94,13617954
2000,11,5.81,14408859
2000,12,4.12,15002310
2001,1,-0.42,14939660
2001,2,2.52,15316323
2001,3,10.51,16926378
2001,4,-6.88,15761121
2001,5,-0.27,15718603
2001,6,-0.92,15722291
2001,7,-0.52,15640020
2001,8,1.85,15929470
2001,9,9.84,17497263
2001,10,5.35,18432731
2001,11,-3.16,17849375
2001,12,0.49,17937704
2002,1,-2.49,17491164
2002,2,-6.54,25082732
2002,3,5.7,26608854
2002,4,-8.43,36341195
2002,5,1.34,37432229
2002,6,6.93,39816625
2002,7,4.9,45768519
2002,8,4.26,46840416
2002,9,6.92,56686679
2002,10,-7.11,51313558
2002,11,-5.49,50079579
2002,12,7.5,58158147
2003,1,4.18,42060316
2003,2,4.44,70793652
2003,3,-2.97,65765974
2003,4,-1.6,39052395
2003,5,10.74,43247920
2003,6,-3.56,42430925
2003,7,-0.46,42235966
2003,8,-1.47,41613552
2003,9,0.32,41747574
2003,10,9.7,45250071
2003,11,-0.89,45091450
2003,12,4.99,47168200
2004,1,0.82,47553213
2004,2,7.33,50505688
2004,3,-2.39,79097696
2004,4,-3.53,76304295
2004,5,-2.98,74027134
2004,6,-5.02,69865847
2004,7,0.89,70688954
2004,8,-6.37,62890171
2004,9,-0.97,62538998
2004,10,2.24,62422981
2004,11,4.61,64419504
2004,12,-3.9,61909620
2005,1,-4.36,58922453
2005,2,0.49,59210708
2005,3,2.85,60898307
2005,4,2.34,62013343
2005,5,2.58,61563683
2005,6,7.64,66270003
2005,7,-4.12,64267252
2005,8,8.93,70007005
2005,9,-0.65,74521157
2005,10,-9.14,68709911
2005,11,7.36,73991748
2005,12,7.61,79623568
2006,1,12.16,92432452
2006,2,-5,113408920
2006,3,5.11,120301563
2006,4,16.83,141075567
2006,5,-2.46,186381703
2006,6,-0.13,188641059
2006,7,-6.63,176742589
2006,8,-0.45,175952621
2006,9,0.42,176132775
2006,10,10.39,194435446
2006,11,4.41,203010841
2006,12,-1.54,242409651
2007,1,-5.89,244999890
2007,2,0.05,242999708
2007,3,-5.16,243999228
2007,4,8.13,266999196
2007,5,-0.12,323999643
2007,6,-0.22,322999989
2007,7,-3.16,316000000
2007,8,-6.53,296000000
2007,9,20.56,360000000
2007,10,7.33,413000000
2007,11,0.4,425000000
2007,12,3.81,441000000
2008,1,9.21,482000000
2008,2,20.02,584000000
2008,3,-6.28,575480412
2008,4,2.11,594161674
2008,5,2,600485219
2008,6,7.65,658352218
2008,7,-12.33,577704237
2008,8,-3.14,603533603
2008,9,-8.43,547909745
2008,10,13.77,588250976
2008,11,16.1,664795227
2008,12,12.76,746907777
2009,1,-6.15,673656080
2009,2,-3.12,646075733
2009,3,-4.63,617090629
2009,4,-4.34,593765936
2009,5,7.01,637649231
2009,6,-3.3,606889231
2009,7,-1.43,598566404
2009,8,4.95,634796708
2009,9,1.69,654242059
2009,10,-3.53,635650868
2009,11,8.71,707392612
2009,12,-7.02,672837558
2010,1,-10.2,596683921
2010,2,-0.12,587237897
2010,3,7.37,641209140
2010,4,1.19,644613094
2010,5,-5.99,604979216
2010,6,-0.54,597194176
2010,7,1.9,614381097
2010,8,5.61,654300165
2010,9,3.57,693654925
2010,10,6.38,713386217
2010,11,-0.69,692273709
2010,12,8.36,750467555
2011,1,-0.52,784992074
2011,2,2.09,793366736
2011,3,-2.85,775546843
2011,4,5.04,848999322
2011,5,-4.94,815144245
2011,6,-3.98,819538668
2011,7,3.62,876906461
2011,8,-3.26,846755224
2011,9,-9.58,809013798
