Year, Month, Return, Assets
2005,1,-1.5,5000000
2005,2,-2.4,20000000
2005,3,-1.1,20000000
2005,4,1,20000000
2005,5,5,21000000
2005,6,1.9,22000000
2005,7,4,22000000
2005,8,3.5,23000000
2005,9,12.4,26000000
2005,10,-4.7,25000000
2005,11,4.5,26000000
2005,12,2.5,50000000
2006,1,4.1,52000000
2006,2,-1.2,51000000
2006,3,5.2,54000000
2006,4,5.5,57000000
2006,5,-4,56000000
2006,6,-3.4,78000000
2006,7,-0.7,77000000
2006,8,1.6,78000000
2006,9,0.7,110000000
2006,10,1.3,111000000
2006,11,1.6,113000000
2006,12,0.6,114000000
2007,1,1.3,115000000
2007,2,-1.4,114000000
2007,3,-0.7,113000000
2007,4,3.8,117000000
2007,5,2.9,121000000
2007,6,1.2,122000000
2007,7,-5.4,155000000
2007,8,-4.7,110000000
2007,9,5.2,116000000
2007,10,2.3,118000000
2007,11,1.2,120000000
2007,12,0.6,120000000
2008,1,6.6,128000000
2008,2,2.8,132000000
2008,3,2,135000000
2008,4,0,135000000
2008,5,0.4,135000000
2008,6,1.4,137000000
2008,7,-3.4,132000000
2008,8,-1.9,130000000
2008,9,-1,131000000
2008,10,4.8,138000000
2008,11,4.2,144000000
2008,12,2,148000000
2009,1,-0.74,144000000
2009,2,0.45,145000000
2009,3,0.93,146500000
2009,4,-0.71,145000000
2009,5,2.26,149000000
2009,6,-3.11,142000000
2009,7,1.46,144000000
2009,8,1.03,146000000
2009,9,2.02,150000000
2009,10,-3.21,150000000
2009,11,4.51,155000000
2009,12,-3.41,147000000
2010,1,-3.28,145000000
2010,2,2.48,148300000
2010,3,2.39,152000000
2010,4,1.6,155000000
2010,5,-2.8,151000000
2010,6,0.9,147000000
2010,7,-1.1,145000000
2010,8,4.7,145000000
2010,9,-0.8,145000000
2010,10,1.8,145000000
2010,11,-1.5,11000000
2010,12,4.3,12500000
2011,1,0,30000000
2011,2,3.23,38000000
2011,3,-2.76,67000000
2011,4,4.45,90000000
2011,5,-3.02,90000000
2011,6,-3.07,96000000
2011,7,5.53,98000000
2011,8,5.33,102000000
2011,9,-0.13,164000000
2011,10,-1.25,170000000
2011,11,0,185000000
2011,12,0.88,196300000
2012,1,0.54,213000000
2012,2,2.05,220000000
2012,3,-0.35,229000000
2012,4,-1.62,249000000
2012,5,-1.21,233000000
2012,6,-2.11,229000000
2012,7,4.31,272000000
2012,8,-2.55,280200000
2012,9,-0.52,288000000
2012,10,-2.89,281000000
2012,11,0.46,280000000
2012,12,-0.39,289000000
2013,1,6.74,287000000
2013,2,-1.21,344000000
2013,3,2.36,349000000
2013,4,1.55,396000000
2013,5,-0.8,401000000
2013,6,-4.42,549000000
2013,7,1.99,557000000
2013,8,-2.2,558000000
2013,9,3.04,557000000
2013,10,2.49,512000000
2013,11,1,493000000
2013,12,-0.1,444000000
2014,1,-3.3,468000000
2014,2,3.7,478000000
2014,3,0.2,534000000
2014,4,0.5,541000000
2014,5,1.3,531000000
2014,6,2.1,535000000
2014,7,-0.5,545000000
2014,8,1.9,549000000
2014,9,0.3,561000000
2014,10,0.9,559000000
2014,11,4.9,592000000
2014,12,1.8,623000000
2015,1,3.4,638000000
2015,2,-1.1,651000000
2015,3,1.2,680000000
2015,4,-2.9,685000000
2015,5,-0.1,739000000
2015,6,-4,729000000
2015,7,-0.8,714000000
2015,8,-8.9,660000000
2015,9,3,631000000
2015,10,-1.8,605000000
2015,11,-0.7,595000000
2015,12,-3.3,500000000
2016,1,5.9,500000000
2016,2,2.9,493000000
2016,3,-2.8,431000000
2016,4,0.7,431000000
2016,5,-0.7,423000000
2016,6,6,460000000
2016,7,0.1,470000000
2016,8,-2.7,464000000
2016,9,0.5,451000000
2016,10,-3.6,421000000
2016,11,-0.8,410000000
2016,12,2.5,419000000
2017,1,-1,410000000
2017,2,4.3,435000000
2017,3,0.1,452000000
2017,4,1.7,437000000
2017,5,2.3,474000000
2017,6,-4.1,458000000
2017,7,0.6,441000000
2017,8,2.7,450000000
2017,9,-3.7,412000000
2017,10,4.9,438000000
2017,11,2.1,454000000
2017,12,0.9,459000000
2018,1,4.8,509000000
2018,2,-4,477000000
2018,3,-1.4,500000000
2018,4,0.1,524000000
2018,5,-2.7,505000000
2018,6,1.2,477000000
2018,7,0.6,593000000
2018,8,2.9,555000000
2018,9,-2,543000000
2018,10,-7.3,484000000
2018,11,1.8,468000000
2018,12,3,466000000
2019,1,4.2,441000000
2019,2,0.1,411000000
2019,3,6.6,444000000
2019,4,1.8,420000000
2019,5,-1.2,416000000
2019,6,5.9,446000000
2019,7,3.9,440000000
2019,8,3.5,460000000
2019,9,-0.7,518000000
2019,10,-1.5,605000000
2019,11,1.8,612000000
2019,12,-1.4,616000000
2020,1,1.5,627000000
2020,2,-5.2,617000000
2020,3,-3,627000000
2020,4,3.3,644000000
