Year, Month, Return, Assets
2003,10,5.88,10750000
2003,11,-2.64,12250000
2003,12,3.35,8750000
2004,1,0.92,9000000
2004,2,3.51,9000000
2004,3,-8.93,9500000
2004,4,-0.63,8500000
2004,5,2.94,8500000
2004,6,1.44,8500000
2004,7,2.07,10250000
2004,8,0.1,10250000
2004,9,6.05,8000000
2004,10,5.75,10000000
2004,11,9.58,12250000
2004,12,-1.69,13750000
2005,1,-0.4,14000000
2005,2,-1.65,14250000
2005,3,4.26,15500000
2005,4,5.77,18750000
2005,5,2.85,19750000
2005,6,-1.97,20736000
2005,7,0.55,20082000
2005,8,1.4,34356000
2005,9,0.86,49078000
2005,10,0.56,82365000
2005,11,2.04,101454000
2005,12,3.05,146206000
2006,1,0.57,159216000
2006,2,1.6,221630000
2006,3,1.48,229297000
2006,4,-2.15,221462000
2006,5,5.02,243424000
2006,6,-2.31,288696000
2006,7,2.34,285869000
2006,8,-0.02,313280000
2006,9,-1.19,333489000
2006,10,2.29,372719000
2006,11,0.1,502783000
2006,12,-1.16,516578000
2007,1,1.67,555210000
2007,2,1.37,633690000
2007,3,5.4,658845000
2007,4,1.27,850815000
2007,5,-3.8,1030673000
2007,6,1.18,1058703000
2007,7,2.03,1160940000
2007,8,7.56,1432953000
2007,9,1.04,1743439000
2007,10,4.27,1651115000
2007,11,3.4,2243573000
2007,12,1.19,2672136000
2008,1,-7.59,2961157000
2008,2,5.3,2563161000
2008,3,3.55,2875792000
2008,4,1.86,3060301000
2008,5,5.78,3164380000
2008,6,-1.53,3678289000
2008,7,-1.84,3528372000
2008,8,3.36,3435436000
2008,9,3.1,3538164000
2008,10,-2.54,3658281000
2008,11,2.31,3044850000
2008,12,0.9,2917081000
2009,1,5.99,2398044000
2009,2,-0.1,2671363000
2009,3,-2.29,2734134000
2009,4,4.29,2610201000
2009,5,3.43,3076424000
2009,6,-0.52,3599122000
2009,7,1.82,3602267000
2009,8,0.7,4061290000
2009,9,1.45,4210699000
2009,10,-2.38,4721438000
2009,11,2.18,5030972000
2009,12,-3.7,5285199000
2010,1,-4.32,5014537000
2010,2,-0.45,4510403000
2010,3,-1.01,4656504000
2010,4,0.08,4472165000
2010,5,-1.28,4445297000
2010,6,0.45,4247155000
2010,7,-0.77,4103176000
2010,8,1.39,3921802000
2010,9,0.4,3965070000
2010,10,2.5,3948595000
2010,11,-1.9,4439013000
2010,12,1.97,4290731000
2011,1,0.33,4461940000
2011,2,1.29,4920333000
2011,3,-0.41,5166770000
2011,4,-2.33,5067733000
2011,5,-3.22,4772290000
2011,6,-0.9,4173420000
2011,7,1.14,3801463000
2011,8,0.3,3621470000
2011,9,4.55,3665780000
2011,10,3.01,3895560000
2011,11,4.36,4260450000
2011,12,-2.87,3854010000
2012,1,-4.49,3939070000
2012,2,-1.41,3947943000
2012,3,1.2,3711201000
2012,4,5.77,3569405000
2012,5,7.17,4040775000
2012,6,1.29,4133496000
2012,7,-2.05,4023025000
2012,8,0.52,4046424000
2012,9,0.32,4083102000
