Year, Month, Return, Assets
1999,5,-2.66,0
1999,6,2.81,0
1999,7,-1.77,0
1999,8,-1.73,0
1999,9,1.12,0
1999,10,-5.26,0
1999,11,4.26,0
1999,12,1.11,0
2000,1,4.18,0
2000,2,-1.54,0
2000,3,7.14,0
2000,4,-2.85,0
2000,5,8.03,0
2000,6,-4.16,0
2000,7,-2.57,0
2000,8,3.17,0
2000,9,-2.83,0
2000,10,4.85,0
2000,11,7.97,0
2000,12,18.05,0
2001,1,-5.22,0
2001,2,-5.43,0
2001,3,12.11,0
2001,4,-5.59,0
2001,5,3.89,0
2001,6,-2.2,0
2001,7,3.68,0
2001,8,-4.52,0
2001,9,7.38,0
2001,10,2.97,0
2001,11,0.58,0
2001,12,10.42,0
2002,1,4.05,0
2002,2,-13.71,0
2002,3,16.53,0
2002,4,-1.44,0
2002,5,-2.49,0
2002,6,9.22,0
2002,7,3.76,0
2002,8,0.83,0
2002,9,6.9,0
2002,10,0.99,0
2002,11,-3.5,0
2002,12,16.92,0
2003,1,-1.84,0
2003,2,6.16,0
2003,3,0.93,0
2003,4,-7.9,0
2003,5,14.36,0
2003,6,-4.59,0
2003,7,-1.86,0
2003,8,1.85,0
2003,9,4.23,0
2003,10,-4.62,0
2003,11,-3.28,0
2003,12,1.13,0
2004,1,-2.8,0
2004,2,3.93,0
2004,3,-1.38,0
2004,4,-5.6,0
2004,5,1.3,0
2004,6,-9.98,0
2004,7,1.36,0
2004,8,-1.25,0
2004,9,-0.99,0
2004,10,6.23,0
2004,11,-0.6,0
2004,12,-1.32,0
2005,1,-7.67,0
2005,2,2.58,0
2005,3,0.41,0
2005,4,-3.46,0
2005,5,1.48,0
2005,6,5.15,0
2005,7,-4.02,0
2005,8,2.35,0
2005,9,2.94,0
2005,10,0.11,0
2005,11,4.36,0
2005,12,-3.35,0
2006,1,4.34,0
2006,2,-3.02,0
2006,3,0.55,0
2006,4,14.62,0
2006,5,0.91,0
2006,6,-3.18,0
2006,7,-6.08,0
2006,8,0.36,0
2006,9,0.25,0
2006,10,7.48,0
2006,11,5.95,0
2006,12,2.54,0
2007,1,-0.49,0
2007,2,-3.23,0
2007,3,-0.5,0
2007,4,6.26,0
2007,5,-0.79,0
2007,6,6.81,0
2007,7,2.07,0
2007,8,-11.84,0
2007,9,13.8,0
2007,10,6.73,0
2007,11,-3.71,0
2007,12,4.04,0
2008,1,2.09,0
2008,2,14.92,0
2008,3,-0.53,0
2008,4,1.26,0
2008,5,4.88,0
2008,6,4.22,0
2008,7,-13.55,0
2008,8,1.36,0
2008,9,-1.26,0
2008,10,20.59,0
2008,11,10.1,0
2008,12,4.98,0
2009,1,0.38,0
2009,2,-2.32,0
2009,3,-7.57,41000000
2009,4,-2.43,32000000
2009,5,13.3,37000000
2009,6,0.36,39000000
2009,7,0.57,42000000
2009,8,-1.73,43000000
2009,9,3.6,42000000
2009,10,-5.17,33000000
2009,11,1.77,35000000
2009,12,-11.16,35000000
2010,1,-6.93,35000000
2010,2,0.19,33000000
2010,3,1.58,33000000
2010,4,1.85,33000000
2010,5,3.26,35000000
2010,6,-1.52,28000000
2010,7,-2.24,27000000
2010,8,6.97,28000000
2010,9,7.52,16000000
2010,10,6.14,18000000
2010,11,-6.82,18000000
2010,12,10.1,16000000
2011,1,-4.91,15000000
2011,2,5.84,20000000
2011,3,-6.53,19000000
2011,4,16.42,19000000
2011,5,-5.92,21000000
2011,6,-9.4,28000000
2011,7,11.38,38000000
2011,8,0.97,46000000
2011,9,-4.11,49000000
2011,10,-3.85,47000000
2011,11,-2.91,47000000
2011,12,2.1,49000000
2012,1,3.07,50000000
2012,2,2.32,54000000
2012,3,-5.14,53000000
2012,4,-2.25,46000000
2012,5,8.66,56000000
2012,6,-3.34,52000000
2012,7,5.75,53000000
2012,8,-3.47,53000000
2012,9,-3.91,50000000
2012,10,-2.62,43000000
2012,11,-0.7,43000000
2012,12,3.56,43000000
2013,1,0.07,44000000
2013,2,4.45,45000000
2013,3,-0.53,46000000
2013,4,9.07,47000000
2013,5,-3.46,45000000
2013,6,0.86,43000000
2013,7,1.86,44000000
2013,8,-1.42,45000000
2013,9,-1.67,44000000
2013,10,-0.25,43000000
2013,11,2.11,44000000
2013,12,4.39,46000000
2014,1,1.62,43000000
2014,2,0.1,46000000
2014,3,-4.5,46000000
2014,4,-5.36,50000000
2014,5,3.2,50000000
2014,6,1.89,52000000
2014,7,-2.29,58000000
2014,8,5.83,66000000
2014,9,3.2,67000000
2014,10,3.75,70200490
2014,11,5.23,74782908
2014,12,3.23,82452124
2015,1,7.97,93913019
2015,2,-0.68,112697350
2015,3,2.9,122339384
2015,4,0.33,130335459
2015,5,-1.65,129706954
2015,6,-10.7,130176553
2015,7,7.39,246287513
2015,8,-2.01,232263451
2015,9,-1.64,229839054
2015,10,2.17,232003156
2015,11,8.72,251187023
2015,12,-5.47,244814171
2016,1,14.16,256844796
2016,2,9.19,264869804
2016,3,-6.72,252103551
2016,4,-0.58,270405474
2016,5,-3.62,299785434
2016,6,6.6,325104067
2016,7,2.16,376091805
2016,8,-6.3,364594258
2016,9,-7.64,447693608
2016,10,-2.65,485235218
2016,11,0.2,520003893
2016,12,4.51,826895612
2017,1,-6.31,797413860
2017,2,-4.14,779000000
2017,3,-0.86,849000000
2017,4,-0.02,976142387
2017,5,-2.75,1109854311
2017,6,-0.82,1150491800
2017,7,-2.3,1127102348
2017,8,-1.99,1175553751
2017,9,0.44,1169439513
2017,10,6.99,1215203642
2017,11,-0.04,1228267231
2017,12,-1.44,1083601444
2018,1,16.28,1212312914
2018,2,-0.01,1258228203
2018,3,-0.17,1315703155
2018,4,3.12,1364000000
2018,5,1.38,1417000000
2018,6,-0.47,1470053000
2018,7,-5.45,1411935639
2018,8,1.06,1463984730
2018,9,1.43,1486974425
2018,10,-2.66,1437124431
2018,11,-8.42,1327678107
