Year, Month, Return, Assets
2004,6,0.6,1000
2004,7,0,1000
2004,8,0.2,1000
2004,9,7.3,1000
2004,10,-0.5,1000
2004,11,-4.6,1000
2004,12,2.3,1000
2005,1,-0.2,1000
2005,2,-4.3,1000
2005,3,-0.6,1000
2005,4,0.2,1000
2005,5,2.3,1000
2005,6,6.4,1000
2005,7,6.3,1000
2005,8,5.4,1000
2005,9,1.2,1000
2005,10,6.68,1000
2005,11,5.7,1000
2005,12,3.06,1000
2006,1,7.56,1000
2006,2,-1.4,1000
2006,3,6.86,1000
2006,4,4.33,1000
2006,5,0.7,1000
2006,6,2.4,1000
2006,7,-1,1000
2006,8,-2.5,1000
2006,9,3.4,1000
2006,10,7.7,1000
2006,11,8.7,1000
2006,12,3.1,1000
2007,1,0.8,1000
2007,2,4.1,1000
2007,3,5.6,1000
2007,4,-0.8,1000
2007,5,5.3,1000
2007,6,1,1000
2007,7,-0.7,1000
2007,8,-3.1,1000
2007,9,9.2,1000
2007,10,-2.2,1000
2007,11,2.3,1000
2007,12,11.4,1000
2008,1,5.87,1000
2008,2,20.2,1000
2008,3,-16.3,1000
2008,4,0.1,1000
2008,5,-1.3,1000
2008,6,8.3,1000
2008,7,-11.12,1000
2008,8,-3.55,1000
2008,9,12.1,1000
2008,10,8.54,1000
2008,11,3.39,1000
2008,12,0.88,1000
2009,1,-0.24,1000
2009,2,5.31,1000
2009,3,-8.59,1000
2009,4,6.24,1000
2009,5,4.54,1000
2009,6,-4.32,1000
2009,7,-2.68,1000
2009,8,7.88,1000
2009,9,-1.33,1000
2009,10,-6,1000
2009,11,-3.14,1000
2009,12,9.23,1000
2010,1,9,1000
2010,2,-10.14,1000
2010,3,-13.1,1000
2010,4,-5.3,1000
2010,5,0.1,1000
2010,6,1.6,1000
2010,7,11.4,1000
2010,8,4.5,1000
2010,9,12.8,1000
2010,10,11.5,1000
2010,11,-4.6,1000
2010,12,11.5,1000
2011,1,-1.1,1000
2011,2,-3.7,1000
2011,3,-2.1,1000
2011,4,-2.4,1000
2011,5,-9,1000
2011,6,-10.4,1000
2011,7,-4.9,1000
2011,8,-3.9,1000
2011,9,-5.4,1000
2011,10,-1.4,1000
2011,11,5,1000
2011,12,5.6,1000
2012,1,-4.2,1000
2012,2,6,1000
2012,3,1.4,1000
2012,4,7.9,1000
2012,5,-7.8,1000
2012,6,-7.2,1000
2012,7,2.6,1000
2012,8,2.59,1000
2012,9,-8,1000
2012,10,0.9,1000
2012,11,-2,1000
2012,12,1.5,1000
2013,1,2.8,1000
2013,2,0.4,1000
2013,3,1.7,1000
2013,4,7.9,1000
2013,5,5.5,1000
2013,6,3.9,1000
2013,7,-6.9,1000
2013,8,-0.6,1000
2013,9,0.1,1000
2013,10,-4.6,1000
2013,11,5,1000
2013,12,0.5,1000
2014,1,10,1000
2014,2,7.9,1000
2014,3,-6.1,1000
2014,4,3.5,1000
2014,5,-2,1000
2014,6,-6.2,1000
2014,7,1.4,1000
2014,8,7.9,1000
2014,9,13.8,1000
2014,10,-3.9,1000
2014,11,5,1000
2014,12,19.5,1000
2015,1,13.8,1000
2015,2,-8.5,1000
2015,3,5.3,1000
2015,4,-9.8,1000
2015,5,0.4,1000
2015,6,-3.2,1000
2015,7,4.4,1000
2015,8,-10.6,1000
2015,9,-0.4,1000
2015,10,-1.1,1000
2015,11,3.9,1000
2015,12,5.4,1000
2016,1,-3.3,1000
2016,2,6.1,1000
2016,3,7.2,1000
2016,4,-0.8,1000
2016,5,-0.4,1000
2016,6,0.3,1000
2016,7,0,1000
2016,8,-4.8,1000
2016,9,0.3,1000
2016,10,0.4,1000
2016,11,-2,1000
2016,12,6,1000
2017,1,2.44,1000
2017,2,-6.1,1000
2017,3,1.26,1000
2017,4,-3.13,1000
2017,5,-6.68,1000
2017,6,-1.85,1000
2017,7,1.2,1000
2017,8,-2.36,1000
2017,9,-0.5,1000
2017,10,1.1,1000
2017,11,3.32,1000
2017,12,-0.37,1000
2018,1,1.1,155000000
2018,2,-1.41,152000000
2018,3,-2.1,150000000
2018,4,2.1,145000000
2018,5,2.5,136000000
2018,6,1.4,137000000
2018,7,-3.2,133000000
2018,8,0.4,132000000
2018,9,-1.5,127000000
2018,10,16.1,146000000
2018,11,-5.6,138000000
2018,12,2.5,137000000
2019,1,-4.2,127000000
2019,2,-4.2,119000000
2019,3,15.6,137000000
2019,4,13.5,156000000
2019,5,-3.56,150000000
2019,6,-5.7,137000000
2019,7,-1,133000000
2019,8,-1,132000000
2019,9,4.9,138000000
2019,10,-3.4,133000000
2019,11,-3.81,128000000
2019,12,1.47,123000000
2020,1,2.7,126000000
2020,2,8.5,137000000
2020,3,18.1,168000000
