Year, Month, Return, Assets
2005,7,2.39,0
2005,8,4.17,0
2005,9,1.59,0
2005,10,-7.02,0
2005,11,6.98,0
2005,12,7.09,0
2006,1,8.46,0
2006,2,0.27,0
2006,3,7.04,0
2006,4,3.78,0
2006,5,-5.78,0
2006,6,-4.32,0
2006,7,-13.8,0
2006,8,-0.86,0
2006,9,2.94,0
2006,10,4.8,0
2006,11,3.33,0
2006,12,3.03,0
2007,1,2.1,0
2007,2,-4.43,0
2007,3,-4.28,0
2007,4,4.21,0
2007,5,1.33,0
2007,6,2.5,0
2007,7,-4.35,0
2007,8,1.85,0
2007,9,12.07,0
2007,10,1.44,0
2007,11,6.73,0
2007,12,-0.44,0
2008,1,11.76,0
2008,2,12.1,0
2008,3,3.98,0
2008,4,-2.38,0
2008,5,-3.21,0
2008,6,7.08,0
2008,7,2.02,0
2008,8,-1.81,0
2008,9,-11.64,0
2008,10,5.25,0
2008,11,-0.38,0
2008,12,0,0
2009,1,0,0
2009,2,0,0
2009,3,0,0
2009,4,0,0
2009,5,0,0
2009,6,0,0
2009,7,-4.32,10098320
2009,8,2.89,11745901
2009,9,1,12736685
2009,10,-2.08,13198785
2009,11,-5.5,13460462
2009,12,2.21,14065671
2010,1,-3.72,13867233
2010,2,-0.7,13829730
2010,3,2.65,14561665
2010,4,-2.82,14112730
2010,5,2.34,15317627
2010,6,2.02,15409605
2010,7,-1.25,15371842
2010,8,5.84,17000000
2010,9,2.93,18000000
2010,10,2.81,20000000
2010,11,-2.38,19000000
2010,12,7.56,22000000
2011,1,-2.09,23000000
2011,2,2.62,24000000
2011,3,-1.68,24000000
2011,4,6.18,26000000
2011,5,-2.95,26000000
2011,6,-6.82,24000000
2011,7,4.25,26000000
2011,8,3.08,27000000
2011,9,-0.49,27000000
2011,10,-5.72,26000000
2011,11,0.72,26000000
2011,12,-1.42,26000000
2012,1,-2.32,25000000
2012,2,-4.1,24000000
2012,3,1.06,25000000
2012,4,-3.06,25000000
2012,5,10.03,27000000
2012,6,-2.21,26000000
2012,7,1.59,30000000
2012,8,-2.57,30000000
2012,9,9.89,35000000
2012,10,-2.99,40000000
2012,11,-0.08,41000000
2012,12,-1.89,40000000
2013,1,7.51,43000000
2013,2,-4.5,42000000
2013,3,4.11,43000000
2013,4,3.78,45000000
2013,5,2.47,48000000
2013,6,-0.21,48000000
2013,7,0.07,49000000
2013,8,0.14,50000000
2013,9,-7.19,47000000
2013,10,2.2,49000000
2013,11,0.55,49000000
2013,12,1.17,50000000
2014,1,0.24,46000000
2014,2,11.52,52000000
2014,3,-1.16,53000000
2014,4,-3.29,51000000
2014,5,-4.98,50000000
2014,6,-2.05,49000000
2014,7,6.11,54000000
2014,8,1.04,55000000
2014,9,5.01,60000000
2014,10,-0.4,60000000
2014,11,6.51,65000000
2014,12,2,76000000
2015,1,3.47,81000000
2015,2,2.36,85000000
2015,3,1.44,87000000
2015,4,-3.07,89000000
2015,5,0.12,90000000
2015,6,-3.96,92000000
2015,7,3.06,98000000
2015,8,1.61,101000000
2015,9,-4.11,98000000
2015,10,-5.72,93000000
2015,11,4.56,98000000
2015,12,-3.34,95000000
2016,1,9.39,104000000
2016,2,4.11,109000000
2016,3,-1.92,106000000
2016,4,-2.78,104000000
2016,5,-3.13,102000000
2016,6,3.76,106000000
2016,7,-0.74,108000000
2016,8,-3.44,105000000
2016,9,-8.25,97000000
2016,10,-0.2,92000000
2016,11,2.97,95000000
2016,12,-3.47,92000000
2017,1,-3.9,88000000
2017,2,-5.58,78700000
2017,3,-4.57,72000000
2017,4,-4.42,65000000
2017,5,-3.96,61000000
2017,6,-4.46,60000000
2017,7,-0.32,57000000
2017,8,-1.39,52000000
2017,9,-3.54,49000000
2017,10,-0.58,44000000
2017,11,-5.27,39000000
2017,12,-0.6,51000000
2018,1,2.32,50000000
2018,2,-1.97,48000000
2018,3,-1.42,47000000
2018,4,0.17,46000000
2018,5,-1.52,45000000
2018,6,-1.91,43000000
2018,7,-1.51,40000000
2018,8,3.8,32129580
2018,9,-3.08,28000000
2018,10,-4.75,21326000
2018,11,-1.98,20328300
2018,12,2.3,17590000
2019,1,-2.58,19500000
2019,2,2.15,19747000
2019,3,4.8,20958000
2019,4,0.81,20854000
2019,5,-1.05,19965000
2019,6,4.44,28000000
2019,7,2.04,28000000
2019,8,3.12,29000000
2019,9,-3.35,21143000
2019,10,-0.03,21302400
2019,11,1.64,21500000
2019,12,4.37,22373000
2020,1,-4.96,21180040
2020,2,-12.4,17895840
2020,3,-9.73,13453140
