Year, Month, Return, Assets
2003,9,3.82,1038190
2003,10,5.43,1095010
2003,11,2.99,1127760
2003,12,8.32,1221630
2004,1,0.88,1232640
2004,2,7.27,1322350
2004,3,7.79,2015630
2004,4,-7.6,2941590
2004,5,-3.36,1677590
2004,6,1.06,1614710
2004,7,1.36,1657870
2004,8,-5.1,1591900
2004,9,4.13,1556000
2004,10,0.46,2075770
2004,11,9.42,2246840
2004,12,-2.4,2324220
2005,1,-0.34,2231570
2005,2,-0.95,2212000
2005,3,-4.72,2092070
2005,4,-5.34,2387260
2005,5,-0.31,2321640
2005,6,-2.34,1353960
2005,7,0.87,1332310
2005,8,-2.99,1309070
2005,9,3.23,294779
2005,10,4.69,346551
2005,11,6.74,435467
2005,12,1.31,551975
2006,1,7.08,610188
2006,2,0.99,1265540
2006,3,1.32,1565000
2006,4,1.98,2104000
2006,5,1.49,2435000
2006,6,-2.07,2448000
2006,7,-3.52,2382000
2006,8,-2.49,2277000
2006,9,0.06,2163000
2006,10,1.54,2349000
2006,11,1.28,2438000
2006,12,-1.69,2460000
2007,1,-0.16,2352000
2007,2,-0.92,2330000
2007,3,0.15,1635000
2007,4,4.5,1715000
2007,5,-1.24,2374000
2007,6,0.31,2314000
2007,7,-2.84,2265000
2007,8,-4.93,2020000
2007,9,5.01,2083000
2007,10,5.34,2404000
2007,11,-0.37,2671000
2007,12,4,2771000
2008,1,16.44,3497000
2008,2,18.66,5243000
2008,3,-3.17,5596000
2008,4,0.16,4963000
2008,5,0.2,4989000
2008,6,3.34,5139000
2008,7,-6.48,5334000
2008,8,-1.6,3945000
2008,9,3.23,4092000
2008,10,10.32,4984000
2008,11,2.05,5425000
2008,12,0.9,5757000
2009,1,1.88,5943000
2009,2,0.39,6198000
2009,3,-2.37,6125000
2009,4,-0.63,5602000
2009,5,-2.27,5178000
2009,6,-0.9,4755000
2009,7,-0.29,4623000
2009,8,4.41,4799000
2009,9,1.44,5477000
2009,10,-0.76,5727000
2009,11,4.54,5868000
2009,12,-2.71,6455000
2010,1,-1,5864000
2010,2,0.74,5741000
2010,3,3.65,6097000
2010,4,0.85,6860000
2010,5,-6.16,6656000
2010,6,-0.93,5524000
2010,7,-2.89,5344000
2010,8,0.9,5141000
2010,9,6.1,5668000
2010,10,3.98,7065000
2010,11,-2.05,8538000
2010,12,4.9,8343000
2011,1,1.89,9581000
2011,2,1.48,10425000
2011,3,-2.11,10536000
2011,4,3.34,9866000
2011,5,-3.21,10510000
2011,6,-2.7,9876000
2011,7,3.08,9447000
2011,8,0.42,10311000
2011,9,-0.12,10386000
2011,10,-3.46,9868000
2011,11,2.08,8990000
2011,12,0.76,9524000
2012,1,-1.28,8020000
2012,2,-2.25,7575000
2012,3,-2.02,6974000
2012,4,1.09,6896000
2012,5,1.24,7128000
2012,6,-5.47,6919000
2012,7,5.29,6173000
2012,8,-1.28,7282000
2012,9,-3.28,7233000
2012,10,-0.06,7037000
2012,11,1.56,7237000
2012,12,-1.14,7530000
2013,1,1.43,7366000
2013,2,-0.89,7596000
2013,3,1.83,7514000
2013,4,0.5,7893000
2013,5,-2.2,7765000
2013,6,-2.78,7037000
2013,7,1.56,6616000
2013,8,-0.7,6830000
2013,9,-1.52,6100079
2013,10,0.51,5849216
2013,11,0.87,5967821
2013,12,1.75,5449740
2014,1,1.63,4626573
2014,2,3.91,4921698
2014,3,-1.15,5073119
2014,4,2.87,5796000
2014,5,0.76,5680704
2014,6,0.68,5757719
2014,7,0.3,5901037
2014,8,3.98,6433985
2014,9,3.11,7819355
2014,10,-0.47,8097759
2014,11,2.82,9845931
2014,12,1.6,10924658
2015,1,7.94,17670128
2015,2,1.12,18269278
2015,3,2.78,18261652
2015,4,0.68,19191768
2015,5,1.66,20193046
2015,6,-3.25,19487866
2015,7,0.45,18997828
2015,8,-4.31,17577473
2015,9,1.54,19490351
2015,10,-1.47,19995103
2015,11,2.8,20686778
2015,12,0.2,22685199
2016,1,0.03,25680640
2016,2,5.09,27351343
2016,3,-1.78,28106945
2016,4,-2.75,26748386
2016,5,-0.05,26877669
2016,6,9.87,28845626
2016,7,-2.32,31858558
2016,8,-0.44,33938155
2016,9,1.59,34755585
2016,10,-3.25,38543695
2016,11,-2.14,39955549
2016,12,-1.19,38947320
2017,1,-0.58,35361509
2017,2,-0.98,34581711
2017,3,-1.43,32244996
2017,4,0.99,32253882
2017,5,-0.77,31386528
2017,6,2.73,32572547
2017,7,-3.57,31779232
2017,8,-3.1,24944505
2017,9,-0.07,23601346
2017,10,0.49,23033823
2017,11,0.16,23150826
2017,12,0.77,18515629
2018,1,2.74,19302907
2018,2,-3.41,18939987
2018,3,-2.48,18453165
2018,4,-0.11,17294120
2018,5,-4.39,13569187
2018,6,-0.1,12220047
2018,7,-2.73,12471552
2018,8,0.08,12462296
2018,9,-2.91,12193571
2018,10,1.82,12121384
2018,11,0.51,12123178
2018,12,2.47,11874648
2019,1,-4.33,10213507
2019,2,-1.56,9289881
2019,3,4.66,8430316
2019,4,0.04,7354683
2019,5,4.79,7679096
2019,6,4.95,5863942
2019,7,1.42,5109047
2019,8,5.43,5386511
2019,9,-4.87,5124225
2019,10,0.06,5127061
2019,11,0.39,5147010
2019,12,2.72,5013784
2020,1,-1.1,4958448
2020,2,-9.28,4498279
2020,3,4.15,4436835
2020,4,-0.19,4428235
