Year, Month, Return, Assets
2004,1,-0.54,20000000
2004,2,3.02,20000000
2004,3,5.84,20000000
2004,4,2.12,20000000
2004,5,1.38,20000000
2004,6,-1.34,20000000
2004,7,5.06,41000000
2004,8,2.86,41200000
2004,9,0.56,45600000
2004,10,-3.9,76360000
2004,11,0.42,75320000
2004,12,-1,71140000
2005,1,-2,54460000
2005,2,3.86,50896000
2005,3,0.72,47332000
2005,4,-4.26,48332000
2005,5,3.48,61447000
2005,6,4.52,86024000
2005,7,2.42,101000000
2005,8,0.12,130000000
2005,9,0.48,145730000
2005,10,-2.14,158360000
2005,11,2.76,157800000
2005,12,1.36,163698000
2006,1,-1.84,164220000
2006,2,-2.82,165860000
2006,3,-0.48,166000000
2006,4,3.24,167000000
2006,5,-1.98,167500000
2006,6,0.22,168000000
2006,7,1.34,151000000
2006,8,-1,151000000
2006,9,-0.24,144000000
2006,10,1.27,154000000
2006,11,5.52,166000000
2006,12,-0.93,165700000
2007,1,-0.43,166000000
2007,2,0.04,165700000
2007,3,2.55,165100000
2007,4,0.32,164340000
2007,5,-0.09,175540000
2007,6,-0.08,178350000
2007,7,3.07,184250000
2007,8,0.53,192000000
2007,9,0.29,194000000
2007,10,2.59,200000000
2007,11,0.51,205000000
2007,12,1.86,210000000
2008,1,-0.08,220000000
2008,2,3,265000000
2008,3,-0.79,280000000
2008,4,2.68,303000000
2008,5,-0.46,335000000
2008,6,-0.58,352000000
2008,7,1.04,365000000
2008,8,6.23,420000000
2008,9,-0.25,420000000
2008,10,2.03,445000000
2008,11,-0.8,465000000
2008,12,1.51,465000000
2009,1,-1.08,470000000
2009,2,-0.59,485000000
2009,3,-0.34,485000000
2009,4,-0.5,460000000
2009,5,1.87,475000000
2009,6,-1.03,470000000
2009,7,-1.08,445000000
2009,8,-0.22,445000000
2009,9,0.5,450000000
2009,10,-0.49,440000000
2009,11,-0.95,400000000
2009,12,-0.53,400000000
2010,1,0.02,390000000
2010,2,0.34,360000000
2010,3,-0.36,350000000
2010,4,-0.84,330000000
2010,5,1.5,325000000
2010,6,-0.1,310000000
2010,7,-0.46,300000000
2010,8,0.2,308000000
2010,9,0.44,345000000
2010,10,-1.78,335000000
2010,11,1.66,345000000
2010,12,-0.44,337000000
2011,1,1.55,320000000
2011,2,-0.32,315000000
2011,3,-0.38,325000000
2011,4,-0.28,360000000
2011,5,1.2,360000000
2011,6,-0.66,355000000
2011,7,-0.45,385000000
2011,8,-0.11,380000000
2011,9,1.02,385000000
2011,10,0.9,380000000
2011,11,0.04,370000000
2011,12,0.9,360000000
2012,1,-0.91,370000000
2012,2,-0.43,360000000
2012,3,-0.05,330000000
2012,4,-0.21,305000000
2012,5,0.85,300000000
2012,6,-1.94,285000000
2012,7,-0.81,280000000
2012,8,1.9,280000000
2012,9,2.11,280000000
2012,10,-1.11,280000000
2012,11,1.93,280000000
2012,12,5.51,300000000
2013,1,1.17,337000000
2013,2,-1.43,342000000
2013,3,-1.02,337000000
2013,4,-0.52,337000000
2013,5,4.53,515000000
2013,6,-0.19,530000000
2013,7,0.1,545000000
2013,8,-1.32,548000000
2013,9,-0.64,548000000
2013,10,-1.1,544000000
2013,11,-0.57,542000000
2013,12,0.03,544000000
2014,1,-0.19,512000000
2014,2,-1.71,490000000
2014,3,-0.33,485000000
2014,4,-2,439000000
2014,5,1.27,350000000
2014,6,-2.22,310000000
2014,7,2.01,290000000
2014,8,2.67,290000000
2014,9,7.35,325000000
2014,10,-1.24,330000000
2014,11,0.39,320000000
2014,12,2.34,270000000
2015,1,3.76,300000000
2015,2,-2.13,270000000
2015,3,-0.77,360000000
2015,4,0.71,360000000
2015,5,-2.35,360000000
2015,6,-1.08,387000000
2015,7,0.82,395000000
2015,8,1.72,410000000
2015,9,-1.84,410000000
2015,10,0.59,415000000
2015,11,-0.42,550000000
2015,12,-2.2,550000000
2016,1,-1.65,515000000
2016,2,10.22,555000000
2016,3,-1.2,555000000
2016,4,-1.35,555000000
2016,5,-1.86,435000000
2016,6,-1.4,430000000
2016,7,-0.69,435000000
2016,8,-0.5,435000000
2016,9,-1.28,587000000
2016,10,-2.16,540000000
2016,11,-1.95,519000000
2016,12,-2.13,522000000
2017,1,-0.72,570000000
2017,2,-0.34,580000000
2017,3,-0.59,625000000
2017,4,2.37,625000000
2017,5,-1.03,638000000
2017,6,-2.12,708000000
2017,7,1.9,683000000
2017,8,-1.52,683000000
2017,9,-1.08,622000000
2017,10,2.05,642000000
2017,11,-1.77,684000000
2017,12,-0.65,682000000
2018,1,2.52,717000000
2018,2,0.68,704000000
2018,3,-1.32,706000000
2018,4,1.15,704000000
2018,5,4.36,720000000
2018,6,-2.9,712000000
2018,7,-0.97,701000000
2018,8,0.66,708000000
2018,9,-1.33,714000000
2018,10,0.52,700000000
2018,11,-1.65,816000000
2018,12,-0.63,822000000
2019,1,-0.39,800000000
2019,2,-0.93,790000000
2019,3,-1.64,794000000
2019,4,-0.4,814000000
2019,5,0.34,814000000
2019,6,-0.52,799000000
2019,7,-0.41,755000000
2019,8,-0.48,755000000
2019,9,-0.35,615000000
2019,10,-0.02,615000000
2019,11,-0.36,300000000
2019,12,-0.42,300000000
2020,1,0.62,300000000
2020,2,3.37,341000000
2020,3,2.66,342000000
2020,4,-1.79,362000000
