Year, Month, Return, Assets
2004,1,7.49,0
2004,2,3.35,0
2004,3,4.03,0
2004,4,2.72,0
2004,5,3.05,0
2004,6,-2.27,0
2004,7,-0.75,0
2004,8,0.27,0
2004,9,0.05,0
2004,10,0.08,0
2004,11,-0.12,0
2004,12,1.36,0
2005,1,-1.04,0
2005,2,-3.43,0
2005,3,1.21,0
2005,4,-0.31,0
2005,5,1.74,0
2005,6,2.22,0
2005,7,3.32,0
2005,8,-1.03,0
2005,9,0.5,0
2005,10,0.75,0
2005,11,-0.33,0
2005,12,-1.97,0
2006,1,0.11,0
2006,2,0.75,0
2006,3,3.48,0
2006,4,2.13,0
2006,5,-1.27,0
2006,6,2.05,0
2006,7,1.81,0
2006,8,-1.71,0
2006,9,-1.22,0
2006,10,0.08,0
2006,11,0.8,0
2006,12,-2.97,0
2007,1,3.02,0
2007,2,1.34,0
2007,3,1.98,0
2007,4,0,0
2007,5,-3.48,0
2007,6,2.17,0
2007,7,1.91,0
2007,8,3.23,0
2007,9,-1.86,0
2007,10,-0.41,0
2007,11,2.69,0
2007,12,4.78,0
2008,1,1.99,0
2008,2,0.55,0
2008,3,2.88,0
2008,4,1.85,0
2008,5,-3.62,0
2008,6,1.87,0
2008,7,-3.62,0
2008,8,4.08,0
2008,9,4.76,0
2008,10,8.91,0
2008,11,-9.88,0
2008,12,5.44,0
2009,1,1.75,0
2009,2,-4.1,0
2009,3,5.11,0
2009,4,8.37,0
2009,5,-1.12,0
2009,6,4.54,0
2009,7,-0.75,0
2009,8,-1,0
2009,9,-3.55,0
2009,10,-1.74,0
2009,11,-0.73,0
2009,12,-0.63,0
2010,1,1.45,0
2010,2,2.65,0
2010,3,4.59,0
2010,4,4.71,0
2010,5,4.46,0
2010,6,-5.3,0
2010,7,-0.23,0
2010,8,-5.41,0
2010,9,0.3,0
2010,10,0.13,0
2010,11,2.6,10000000
2010,12,0.28,10000000
2011,1,0.53,10000000
2011,2,-2.38,10000000
2011,3,4.9,10000000
2011,4,-0.67,10000000
2011,5,-1.51,10000000
2011,6,-3.28,10000000
2011,7,0.81,10000000
2011,8,-6.1,10000000
2011,9,0.04,10000000
2011,10,-6.33,10000000
2011,11,0.21,10000000
2011,12,0.34,10000000
2012,1,0.74,10000000
2012,2,0.85,10000000
2012,3,1.42,10000000
2012,4,-1.07,10000000
2012,5,2.46,10000000
2012,6,-1.48,10000000
2012,7,0.19,10000000
2012,8,-1.71,10000000
2012,9,-0.71,10000000
2012,10,-0.69,10000000
2012,11,1.06,10000000
2012,12,-1.27,10000000
2013,1,2.03,10000000
2013,2,2.67,10000000
2013,3,-0.24,10000000
2013,4,3.7,10000000
2013,5,-1.3,12000000
2013,6,-2.73,12000000
2013,7,0.18,12000000
2013,8,-1.28,10000000
2013,9,-0.98,10000000
2013,10,0.23,12000000
2013,11,-0.34,13000000
2013,12,-0.03,13000000
2014,1,1.5,10000000
2014,2,-3.15,10000000
2014,3,0.36,10000000
2014,4,-1.13,10000000
2014,5,0.16,10000000
2014,6,-0.87,10000000
2014,7,-1.03,10000000
2014,8,-0.2,10000000
2014,9,1.88,10000000
2014,10,2.05,10000000
2014,11,0.49,10000000
2019,1,0,0
2019,2,0,0
2019,3,0,0
2019,4,0,0
2019,5,0,0
2019,6,0,0
2019,7,0,0
2019,8,0,0
2019,9,0,0
2019,10,0,0
2019,11,0,0
2019,12,0,0
2020,1,0,0
2020,2,0,0
2020,3,0,0
