Year, Month, Return, Assets
2005,1,-0.53,1000
2005,2,1.06,1000
2005,3,-2.82,1000
2005,4,-1.88,1000
2005,5,1.47,1000
2005,6,3.68,1000
2005,7,3.88,1000
2005,8,2.1,1000
2005,9,5.32,1000
2005,10,-5.78,1000
2005,11,4.63,1000
2005,12,1.95,1000
2006,1,11.76,1000
2006,2,-3.04,1000
2006,3,1.83,1000
2006,4,4.16,1000
2006,5,-7.52,1000
2006,6,-1.54,1000
2006,7,2.05,1000
2006,8,0.52,1000
2006,9,-0.74,1000
2006,10,3.87,1000
2006,11,4.98,1000
2006,12,0.85,1000
2007,1,-1.09,1000
2007,2,-1.69,1000
2007,3,1.27,1000
2007,4,2.18,1000
2007,5,3.38,1000
2007,6,1.38,1000
2007,7,1.95,1000
2007,8,-2.28,1000
2007,9,7.94,1000
2007,10,5.25,1000
2007,11,-2.15,1000
2007,12,-0.31,1000
2008,1,2.41,1000
2008,2,2.12,1000
2008,3,-0.16,1000
2008,4,-1.25,1000
2008,5,-0.79,1000
2008,6,1.17,1000
2008,7,-0.02,1000
2008,8,1.22,1000
2008,9,0.42,1000
2008,10,-0.17,1000
2008,11,1.26,1000
2008,12,3.14,1000
2009,1,-3.09,1000
2009,2,-0.57,1000
2009,3,1.6,1000
2009,4,1.18,1000
2009,5,3.01,1000
2009,6,-0.46,1000
2009,7,1.34,1000
2009,8,-0.58,1000
2009,9,-0.28,1000
2009,10,1.1,1000
2009,11,-2.6,1000
2009,12,-1.52,1000
2010,1,-0.84,1000
2010,2,-1.23,1000
2010,3,-0.76,1000
2010,4,-1.17,1000
2010,5,-3.22,1000
2010,6,-0.56,1000
2010,7,-0.18,1000
2010,8,-0.11,1000
2010,9,0.46,1000
2010,10,-0.25,1000
2010,11,0.81,1000
2010,12,2.66,1000
2011,1,-1.62,1000
2011,2,4.98,1000
2011,3,0.83,1000
2011,4,4.04,1000
2011,5,-4.95,1000
2011,6,-1.44,1000
2011,7,2.04,1000
2011,8,3.76,1000
2011,9,-5.62,1000
2011,10,-1.87,1000
2011,11,-1.51,1000
2011,12,-0.4,1000
2012,1,1.76,1000
2012,2,0.98,1000
2012,3,-3.45,1000
2012,4,1.06,1000
2012,5,-1.15,1000
2012,6,-2.51,1000
2012,7,-1.12,1000
2012,8,3.4,1000
2012,9,-0.51,1000
2012,10,0.01,1000
2012,11,-1.96,1000
2012,12,-0.34,1000
2013,1,-1.96,1000
2013,2,-2.25,1000
2013,3,-0.02,1000
2013,4,-4.6,1000
2013,5,-0.78,1000
2013,6,-2.65,1000
2013,7,1.41,1000
2013,8,1.77,1000
2013,9,-1.83,1000
2013,10,-0.46,1000
2013,11,-2.58,1000
2013,12,-1.12,1000
2014,1,0.97,1000
2014,2,2.98,1000
2014,3,-2.47,1000
2014,4,-0.4,1000
2014,5,-1.2,1000
2014,6,1.99,1000
2014,7,-0.74,1000
2014,8,-0.59,1000
2014,9,-2.6,1000
2014,10,-2.95,1000
2014,11,0.14,1000
2014,12,0.3,1000
2015,1,0.99,1000
2015,2,-2.06,1000
2015,3,-0.89,1000
2015,4,-0.51,1000
2015,5,0.43,1000
2015,6,-2.4,1000
2015,7,-4.3,1000
2015,8,0.77,1000
2015,9,-0.74,1000
2015,10,2.43,1000
2015,11,-5.75,1000
2015,12,-0.85,1000
2016,1,1.89,1000
2016,2,5.01,1000
2016,3,1.96,1000
2016,4,8.38,1000
2016,5,-6.81,1000
2016,6,8.6,1000
2016,7,5.39,1000
2016,8,-4.98,1000
2016,9,1.67,1000
2016,10,-5.29,1000
2016,11,-4.9,1000
2016,12,-1.66,1000
2017,1,3.99,1000
2017,2,2.38,1000
2017,3,-1.23,1000
2017,4,-1.67,1000
2017,5,0.08,1000
2017,6,-2.82,1000
2017,7,1.1,1000
2017,8,2.23,1000
2017,9,-1.99,1000
2017,10,-0.54,1000
2017,11,-0.6,1000
2017,12,0.93,1000
2018,1,1.37,1000
2018,2,-2.76,1000
2018,3,-0.45,1000
2018,4,-0.13,1000
2018,5,0.11,1000
2018,6,-2.63,1000
2018,7,-2.31,1000
2018,8,-2.54,1000
2018,9,-1.38,1000
2018,10,0.49,1000
2018,11,-0.38,1000
2018,12,4.31,1000
2019,1,2.26,1000
2019,2,-1.29,1000
2019,3,-2.51,1000
2019,4,-0.73,1000
2019,5,-1.19,1000
2019,6,4.06,1000
2019,7,3.44,1000
2019,8,6.81,1000
2019,9,-3.96,1000
2019,10,2.42,1000
2019,11,-4.01,1000
2019,12,3.9,1000
2020,1,0.68,1000
2020,2,-1.88,1000
2020,3,-8.55,1000
2020,4,5.37,1000
