Year, Month, Return, Assets
2000,4,-8.7,50029
2000,5,0.28,50171
2000,6,18.66,59532
2000,7,4.81,62393
2000,8,-34.33,40971
2000,9,40.39,57521
2000,10,3.09,59301
2000,11,7.89,63979
2000,12,49.41,95594
2001,1,-6.1,89764
2001,2,9.51,98296
2001,3,-1.09,97221
2001,4,-0.01,97212
2001,5,7.89,104879
2001,6,-7.37,97152
2001,7,-0.61,96561
2001,8,-9.79,87112
2001,9,31.75,114771
2001,10,40.67,161683
2001,11,5.41,170425
2001,12,-10.53,152481
2002,1,-5.21,144536
2002,2,7.49,155365
2002,3,-7.92,143063
2002,4,3.54,148131
2002,5,11.19,164700
2002,6,-6.66,153725
2002,7,23.64,77865
2002,8,13.21,88151
2002,9,9.64,96652
2002,10,14.44,130643
2002,11,59.95,208966
2002,12,-20.96,165170
2003,1,-12.68,144231
2003,2,11.04,160147
2003,3,-11.1,142377
2003,4,-6.18,133571
2003,5,-5.61,126079
2003,6,8.93,137337
2003,7,94.99,267794
2003,8,30.15,348524
2003,9,14.37,398615
2003,10,31.08,522501
2003,11,-9.02,475368
2003,12,-14.77,405169
2004,1,5.07,425716
2004,2,-2.04,417051
2004,3,22.77,511994
2004,4,12.05,573698
2004,5,0.38,575896
2004,6,-3.28,556996
2004,7,-2.73,541789
2004,8,11.26,602784
2004,9,5.3,688943
2004,10,4.61,720670
2004,11,13.8,820088
2004,12,3.68,850298
2005,1,-0.82,893271
2005,2,0.86,900967
2005,3,3.18,929653
2005,4,1.06,939519
2005,5,6.47,1000300
2005,6,1.57,1419000
2005,7,2.25,1661560
2005,8,-9.34,1962640
2005,9,5.27,2117200
2005,10,7.25,2273370
2005,11,2.85,2389150
2005,12,0.42,2982250
2006,1,10.48,3923780
2006,2,1.17,5179390
2006,3,10.97,7868590
2006,4,-0.13,8033640
2006,5,0.32,18277400
2006,6,-5.89,18335500
2006,7,-2.26,18404800
2006,8,-7.28,17165300
2006,9,-1.39,16894500
2006,10,3.35,20206000
2006,11,14.81,18869900
2006,12,3.4,22271200
2007,1,-5.22,23161400
2007,2,3.09,33158400
2007,3,-7.75,33005600
2007,4,-3.41,31093300
2007,5,-0.09,33758600
2007,6,12.37,41889400
2007,7,-17.38,34113400
2007,8,1.41,34569700
