Year, Month, Return, Assets
2006,10,0.87,27362113
2006,11,2.66,28444022
2006,12,0.5,28678467
2007,1,0.42,28721522
2007,2,-0.96,27903995
2007,3,-0.3,31590173
2007,4,3.76,44848978
2007,5,2.34,80375914
2007,6,2.02,115431659
2007,7,-1.89,142776579
2007,8,-1.44,143971907
2007,9,3.47,167441781
2007,10,3.77,206607977
2007,11,0.44,346697166
2007,12,-2.64,371817419
2008,1,3.89,581406191
2008,2,3.08,722880933
2008,3,0.26,973686857
2008,4,-4.34,970215495
2008,5,0.79,1041013330
2008,6,1.51,1111608416
2008,7,-2.09,1164515971
2008,8,1.36,1198892155
2008,9,2.68,1242841079
2008,10,7.99,1343305177
2008,11,6.22,1464297188
2008,12,1.33,1504810633
2009,1,-0.58,1626255911
2009,2,1.01,1590900198
2009,3,-3.47,1566526870
2009,4,-1.97,1513083880
2009,5,2.05,1505636299
2009,6,-1.18,1483106169
2009,7,-0.2,1534616258
2009,8,0.43,1474554926
2009,9,3.2,1508437658
2009,10,-0.65,1519266900
2009,11,2.03,1541680155
2009,12,-2.33,1518536387
2010,1,-3.8,1407116372
2010,2,1.17,1438537019
2010,3,2.83,1406465337
2010,4,1.83,1424641125
2010,5,-2,1363983529
2010,6,-0.56,1348544587
2010,7,-0.39,1366628864
2010,8,1.37,1385234721
2010,9,0.57,1367010863
2010,10,1.32,1375564822
2010,11,-3.39,1349073980
2010,12,3.33,1376371757
2011,1,-1.17,1333454510
2011,2,1.53,1364023048
2011,3,-2.46,1274501651
2011,4,2.73,1316372316
2011,5,-2.04,1274736587
2011,6,-1.33,1207491354
2011,7,4.15,1268065817
2011,8,0.92,1414032321
2011,9,1.42,1558030269
2011,10,-4.9,1501691307
2011,11,0.85,1512845396
2011,12,2.25,1518413778
2012,1,-2.09,1394001963
2012,2,-0.32,1375094722
2012,3,-1.44,1317673786
2012,4,0.04,1260318773
2012,5,1.31,1232515226
2012,6,-4.02,1175432774
2012,7,2.38,1229534004
2012,8,-1.62,1178607438
2012,9,0.48,1079216336
2012,10,-1.93,952734964
2012,11,0.89,869606193
2012,12,1.19,827326993
2013,1,2.71,806854157
2013,2,-0.14,797461341
2013,3,2.39,806705553
2013,4,2.54,807772614
2013,5,-3.03,781039019
2013,6,-1.96,751474461
2013,7,-1.16,746070085
2013,8,-0.15,744425531
2013,9,-2.52,778948209
2013,10,2.3,769746474
2013,11,2.59,754895336
2013,12,0.41,744148308
2014,1,-3.08,733665789
2014,2,2.83,739223927
2014,3,-0.05,723877655
2014,4,0.96,715501919
2014,5,3.39,734307796
2014,6,2.2,778400000
2014,7,-1.05,753000000
2014,8,3.95,1022000000
2014,9,0.38,993000000
2014,10,-0.3,988000000
2014,11,4.42,1025000000
2014,12,2.23,1055000000
2015,1,7.23,1102000000
2015,2,-0.12,1116000000
2015,3,2.5,1120000000
2015,4,-3.46,1137000000
2015,5,-0.22,1148000000
2015,6,-3.16,1145000000
2015,7,1.45,1149000000
2015,8,-1.01,1153000000
2015,9,1.43,1212000000
2015,10,-3.93,1140000000
2015,11,0.8,1159000000
2015,12,-2.39,1125000000
2016,1,4.2,1233000000
2016,2,1.84,1465000000
2016,3,-2.77,1521000000
2016,4,-0.84,1541000000
2016,5,-2.16,1285000000
2016,6,4.55,1317000000
2016,7,1.03,1322000000
2016,8,-0.67,1481000000
2016,9,0.13,1504000000
2016,10,-2.93,1385000000
2016,11,1.13,1283000000
2016,12,1.96,1283000000
2017,1,-1.95,1403000000
2017,2,1.68,1336000000
2017,3,-0.73,1342000000
2017,4,0.06,1329000000
2017,5,0.62,1316000000
2017,6,-2.18,1291000000
2017,7,2.74,1350000000
2017,8,-0.66,1338000000
2017,9,-1.75,1299000000
2017,10,2.06,1301000000
2017,11,0.41,1299000000
2017,12,-1.14,1478000000
2018,1,4.4,1554000000
2018,2,-5.87,1444000000
2018,3,-2.03,1387000000
2018,4,-1.3,1356000000
2018,5,-2.5,1325000000
2018,6,1.91,1308000000
2018,7,-0.67,1300000000
2018,8,0.71,1248000000
2018,9,-1.35,1216000000
2018,10,-1.45,1134000000
2018,11,-1.34,1097000000
2018,12,2.48,1104000000
2019,1,-2.96,1068000000
2019,2,-1.09,987000000
2019,3,4.42,936000000
2019,4,1.4,912000000
2019,5,0.47,900000000
2019,6,1.41,867000000
2019,7,2.63,874000000
2019,8,2.59,893000000
2019,9,-3.26,862000000
2019,10,-3.64,825000000
2019,11,0.88,788000000
2019,12,-0.66,781000000
2020,1,-1.69,722000000
2020,2,-1.59,699000000
2020,3,1.14,632000000
2020,4,-3.1,609000000
