Year, Month, Return, Assets
1996,11,6.68,4670000
1996,12,0.96,5460000
1997,1,3.38,7200000
1997,2,3.82,9210000
1997,3,-3.39,14030000
1997,4,-2.23,15460000
1997,5,-1.01,15970000
1997,6,3.89,16980000
1997,7,7.86,19070000
1997,8,-5.69,20290000
1997,9,0.6,21870000
1997,10,-1.76,22520000
1997,11,1.61,23520000
1997,12,5.68,25040000
1998,1,2.48,30500000
1998,2,3.46,32880000
1998,3,0.39,34610000
1998,4,-2.78,38420000
1998,5,3.51,43160000
1998,6,1.73,47480000
1998,7,0.68,48930000
1998,8,5.36,53170000
1998,9,7.3,61520000
1998,10,-5.75,58920000
1998,11,-2.69,57560000
1998,12,2.67,58990000
1999,1,-4.15,64390000
1999,2,3.34,66910000
1999,3,-4.87,65470000
1999,4,6.28,70150000
1999,5,-7.29,67050000
1999,6,0.21,67710000
1999,7,-2.98,64960000
1999,8,1.55,65690000
1999,9,-1.87,64680000
1999,10,0.13,64170000
1999,11,-0.6,63240000
1999,12,8.01,67050000
2000,1,-2.85,61220000
2000,2,0.88,60220000
2000,3,-3.16,56840000
2000,4,1.48,56770000
2000,5,2.39,56630000
2000,6,-1.6,54460000
2000,7,-1.48,53670000
2000,8,5.66,55400000
2000,9,-4.1,51950000
2000,10,-2.35,50210000
2000,11,3.09,51150000
2000,12,10.28,55990000
2001,1,-0.5,53880000
2001,2,3.33,54950000
2001,3,12.93,62710000
2001,4,-12.71,55080000
2001,5,0.49,57500000
2001,6,-5.3,54600000
2001,7,-3.2,52830000
2001,8,0.12,53780000
2001,9,18.43,53710000
2001,10,3.37,64150000
2001,11,-7.16,58620000
2001,12,1.76,58970000
2002,1,-5.63,48400000
2002,2,-2.87,48730000
2002,3,-4.16,47710000
2002,4,0.07,50190000
2002,5,1.98,53910000
2002,6,7.4,59250000
2002,7,11.96,64770000
2002,8,6.66,68570000
2002,9,6.51,72790000
2002,10,-3.87,70250000
2002,11,-4.15,61300000
2002,12,3.26,63050000
2003,1,13.07,81270000
2003,2,9.39,94720000
2003,3,-5.66,94980000
2003,4,1.9,102400000
2003,5,8.7,122430000
2003,6,-6.52,117200000
2003,7,1.84,129570000
2003,8,-3.59,127450000
2003,9,1.48,145030000
2003,10,5.25,161230000
2003,11,-1.14,169400000
2003,12,6.89,196090000
2004,1,1.84,205460000
2004,2,8.73,247850000
2004,3,-5.54,264470000
2004,4,-15.18,237650000
2004,5,-1.01,263700000
2004,6,-4.72,253910000
2004,7,-1.54,248540000
2004,8,-4.22,246540000
2004,9,5.14,261150000
2004,10,2.26,270780000
2004,11,7.45,303800000
2004,12,0.07,325209984
2005,1,-5.32,308190016
2005,2,-2.41,304220000
2005,3,-1.76,287280000
2005,4,-5.18,263450000
2005,5,1.25,247500000
2005,6,3.29,245380000
2005,7,-2.3,241030000
2005,8,1.82,248340000
2005,9,0.33,243260000
2005,10,-0.76,236580000
2005,11,10.37,269249984
2005,12,-2.11,265180000
2006,1,1.19,280520000
2006,2,-3.48,263930000
2006,3,5.3,280400000
2006,4,6.77,311220000
2006,5,-6.37,300820000
2006,6,-2.09,290420000
2006,7,-3.15,274030016
2006,8,-2.41,263740000
2006,9,-0.63,251900000
2006,10,5.23,261730000
2006,11,2.8,278369984
2006,12,3.7,285740000
2007,1,1.03,284590016
2007,2,-7.52,267600000
2007,3,-4.8,257020000
2007,4,6.71,273440000
2007,5,6.75,285089984
2007,6,4.47,295420000
2007,7,-6.46,274910016
2007,8,-1.93,264630000
2007,9,5.79,290550016
2007,10,8.82,320230016
2007,11,0.01,319400000
2007,12,1.58,315960000
2008,1,6.45,342120000
2008,2,13.93,401100000
2008,3,-3.36,398129984
2008,4,-6.06,373260000
2008,5,5.12,395060000
2008,6,9.63,436569984
2008,7,-6.3,407230016
2008,8,-1.83,377800000
2008,9,1.71,365000000
2008,10,19.7,362610000
2008,11,7.91,374260000
2008,12,3.39,382440000
2009,1,-2.79,340510000
2009,2,2.47,343890000
2009,3,-6.19,311930000
2009,4,-6.68,293660000
2009,5,-6.69,283990000
2009,6,-3.67,268770000
2009,7,0.13,273260000
2009,8,5.65,286140000
2009,9,2.56,301920000
2009,10,-4.54,288840000
2009,11,6.89,319210000
2009,12,-3.06,299750000
2010,1,-2.86,282960000
2010,2,-1.27,276620000
2010,3,10.44,306240000
2010,4,0.99,308760000
2010,5,-7.12,271160000
2010,6,1.2,275000000
2010,7,-6.26,275180000
2010,8,5.13,279490000
2010,9,3.1,309630000
2010,10,8.55,344540000
2010,11,-7.63,302860000
2010,12,13.26,367000000
2011,1,-2.12,372240000
2011,2,3.45,389530000
2011,3,-5.9,380190000
2011,4,5.51,422000000
2011,5,-7.64,370360000
2011,6,-6.81,348020000
2011,7,6.94,358580000
2011,8,7.79,393280000
2011,9,1.77,376030000
2011,10,-8.92,352580000
2011,11,1.34,336580000
2011,12,-1.56,314840000
2012,1,2.08,324090000
2012,2,1.39,332390000
2012,3,0.1,331150000
2012,4,-0.34,322290000
2012,5,-9.29,268530000
2012,6,-5.12,260330000
2012,7,5.79,181610000
2012,8,-2.06,180540000
2012,9,-5.3,166390000
2012,10,-7.88,145270000
2012,11,1.87,130480000
2012,12,-2.36,118330000
2013,1,12.57,147260000
2013,2,-5.53,132290000
2013,3,-1.22,127970000
2013,4,1.23,132970000
2013,5,-3.75,126040000
2013,6,-5.56,117630000
2013,7,-4.34,108280000
2013,8,-2.36,103100000
2013,9,-4.04,98960000
2013,10,3.38,94030000
2013,11,5.39,97420000
2013,12,-0.36,95260000
2014,1,-2.9,68290000
2014,2,1.95,65530000
2014,3,-2.2,59460000
2014,4,5.22,61010000
2014,5,-0.95,58350000
2014,6,3.85,60230000
2014,7,1.01,59300000
2014,8,5.03,62070000
2014,9,12.64,68810000
2014,10,2.38,70730000
2014,11,13.69,79840000
2014,12,7.92,82640000
2015,1,9.34,75280000
2015,2,-1.68,72890000
2015,3,2.29,76100000
2015,4,-5.15,68920000
2015,5,-0.19,72380000
2015,6,-7.02,66630000
2015,7,5.38,69480000
2015,8,-4.79,66070000
2015,9,2.6,67660000
2015,10,-2.19,66100000
2015,11,6.1,70470000
2015,12,-2.4,68360000
2016,1,-0.03,68330000
2016,2,4.23,70408000
2016,3,-6.18,66094000
2016,4,-3.45,63835000
2016,5,-1.27,58775000
2016,6,3.67,61710000
2016,7,0.76,62021000
2016,8,-0.73,61270000
2016,9,1.06,61790000
2016,10,-6.41,58601000
2016,11,-0.92,57940000
2016,12,-1.19,57320000
2017,1,-1.61,56180000
2017,2,3.5,58580000
2017,3,-3.18,56780000
2017,4,1.32,57460000
2017,5,0.51,58530000
2017,6,-3.23,56881000
2017,7,1.45,57590000
2017,8,1.79,58297000
2017,9,-4.41,55790000
2017,10,9.34,59050000
2017,11,0.05,58780000
2017,12,1.05,60150000
2018,1,6.46,63820000
2018,2,-12.78,56260000
2018,3,-1.69,55560000
2018,4,0.7,55890000
2018,5,-4.3,53870000
2018,6,0.06,53880000
2018,7,1.57,54740000
2018,8,5.18,57520000
2018,9,-1.84,56470000
2018,10,-8.08,51920000
2018,11,-2.05,51370000
2018,12,-1.08,45840000
2019,1,-3.88,43730000
2019,2,1.08,44010000
2019,3,2.42,45340000
2019,4,1.88,46040000
2019,5,-7.44,42540000
2019,6,4.16,45730000
2019,7,3.7,47400000
2019,8,0.58,47550000
2019,9,-13.98,42270000
2019,10,-6.56,37770000
2019,11,-0.04,37550000
2019,12,-0.76,37300000
2020,1,1.6,37700000
2020,2,-7.67,34100000
2020,3,10.68,34090000
2020,4,-1.31,33640000
