Year, Month, Return, Assets
1996,11,6.51,0
1996,12,1.11,0
1997,1,3.4,0
1997,2,3.74,0
1997,3,-3.87,0
1997,4,-2.04,0
1997,5,-0.83,0
1997,6,4.26,0
1997,7,8.17,0
1997,8,-6.76,0
1997,9,0.96,0
1997,10,-1.57,0
1997,11,1.81,0
1997,12,6.75,0
1998,1,2.55,0
1998,2,3.41,0
1998,3,0.62,0
1998,4,-2.6,0
1998,5,3.65,0
1998,6,1.84,0
1998,7,0.84,0
1998,8,5.26,0
1998,9,7.1,0
1998,10,-5.58,0
1998,11,-2.51,0
1998,12,2.87,0
1999,1,-3.98,0
1999,2,3.54,0
1999,3,-4.69,0
1999,4,6.49,0
1999,5,-7.12,0
1999,6,0.4,0
1999,7,-2.8,0
1999,8,1.75,0
1999,9,-1.68,0
1999,10,0.31,0
1999,11,-0.41,0
1999,12,8.22,0
2000,1,-2.66,0
2000,2,1.06,0
2000,3,-2.96,0
2000,4,1.67,0
2000,5,2.6,0
2000,6,-1.42,0
2000,7,-1.3,0
2000,8,5.88,0
2000,9,-3.93,0
2000,10,-2.17,0
2000,11,3.28,0
2000,12,9.85,0
2001,1,-0.32,0
2001,2,2.96,0
2001,3,12.49,0
2001,4,-12.56,0
2001,5,0.69,0
2001,6,-5.13,0
2001,7,-3.03,0
2001,8,0.31,0
2001,9,18.69,0
2001,10,3.57,0
2001,11,-6.99,0
2001,12,1.96,0
2002,1,-5.47,0
2002,2,-2.68,0
2002,3,-3.99,0
2002,4,0.25,0
2002,5,2.18,0
2002,6,7.62,0
2002,7,11.54,0
2002,8,6.49,0
2002,9,6.35,0
2002,10,-3.7,0
2002,11,-3.97,0
2002,12,3.46,0
2003,1,12.72,0
2003,2,8.98,0
2003,3,-6.68,0
2003,4,2.49,0
2003,5,9.33,0
2003,6,-7.78,0
2003,7,2.42,0
2003,8,-4.12,0
2003,9,1.68,0
2003,10,6.38,0
2003,11,-1.32,0
2003,12,7.4,0
