Year, Month, Return, Assets
2003,3,11.56,22600000
2003,4,6.2,24500000
2003,5,2.98,25200000
2003,6,5.21,28500000
2003,7,-6.58,26600000
2003,8,-6,23000000
2003,9,0.91,23200000
2003,10,-0.53,23100000
2003,11,-1.7,20700000
2003,12,6.43,22100000
2004,1,5.16,23200000
2004,2,7.07,24800000
2004,3,5.8,26300000
2004,4,-1.72,25800000
2004,5,-1.99,26300000
2004,6,3.11,27100000
2004,7,-0.81,26900000
2004,8,1.08,27200000
2004,9,0.46,27300000
2004,10,0.71,27500000
2004,11,8.43,29800000
2004,12,5.39,32400000
2005,1,-5.18,29800000
2005,2,1.29,30100000
2005,3,2.25,30800000
2005,4,1.17,26200000
2005,5,2.73,26900000
2005,6,3.29,27800000
2005,7,2.6,28500000
2005,8,-2.32,32800000
2005,9,4.48,34300000
2005,10,1.63,34900000
2005,11,4.15,36300000
2005,12,1.92,37000000
2006,1,1.56,42600000
2006,2,-0.16,42500000
2006,3,3.85,44200000
2006,4,4.66,46200000
2006,5,-1,50800000
2006,6,0.28,50900000
2006,7,-0.75,50500000
2006,8,0.89,51000000
2006,9,0.99,51500000
2006,10,0.4,50700000
2006,11,3.15,52300000
2006,12,3.49,54100000
2007,1,2.87,55700000
2007,2,-2.14,52500000
2007,3,0.53,52700000
2007,4,4.14,54900000
2007,5,5.3,58800000
2007,6,3.43,60900000
2007,7,-3.96,58400000
2007,8,-4.9,55600000
2007,9,4.72,53200000
2007,10,18.68,63100000
2007,11,2.83,71900000
2007,12,1.16,72800000
2008,1,3.43,75300000
2008,2,13.67,85500000
2008,3,3.41,98500000
2008,4,-2.86,95600000
2008,5,-0.55,95100000
2008,6,1.08,96200000
2008,7,1.52,95600000
2008,8,1.19,96800000
2008,9,10.99,112400000
2008,10,15.54,123900000
2008,11,3.57,128300000
2008,12,0.4,150300000
2009,1,0.09,150300000
2009,2,0.17,151600000
2009,3,0.25,151200000
2009,4,-0.03,147700000
2009,5,1.23,153800000
2009,6,0.07,164300000
2009,7,0.34,159700000
2009,8,1.35,165700000
2009,9,2.49,180300000
2009,10,-1.64,177600000
2009,11,-1.02,175800000
2009,12,-0.09,171400000
2010,1,-1.96,185000000
2010,2,0.97,185600000
2010,3,2.39,189300000
2010,4,2.31,192800000
2010,5,0.53,190500000
2010,6,-0.46,188900000
2010,7,-0.87,189100000
2010,8,1.41,185300000
2010,9,3.43,194400000
2010,10,2.17,200500000
2010,11,-0.67,195400000
2010,12,0.66,198300000
2011,1,0.04,205000000
2011,2,1.31,205900000
2011,3,-0.63,205300000
2011,4,2.58,225700000
2011,5,-3.91,224400000
2011,6,-3.75,221200000
2011,7,5.78,231000000
2011,8,-1.66,227300000
2011,9,-4.4,221900000
2011,10,-1.3,219500000
2011,11,-1.32,218100000
2011,12,-3.53,214200000
2012,1,1.36,225100000
2012,2,2.83,261800000
2012,3,-3.44,249400000
2012,4,1.45,250600000
2012,5,-0.24,252500000
2012,6,-7.4,236800000
2012,7,4.01,242800000
2012,8,-0.06,240000000
2012,9,-3.94,234200000
2012,10,-1.54,229000000
2012,11,0.27,229100000
2012,12,0.62,230700000
2013,1,3.95,234500000
2013,2,-1.3,233000000
2013,3,0.83,233500000
2013,4,3.38,236000000
2013,5,-1.31,235000000
2013,6,-4,230000000
2013,7,7.07,235000000
2013,8,-1.91,234000000
2013,9,-1.95,233000000
2013,10,-0.13,233000000
2013,11,2.8,235000000
2013,12,-1.2,233000000
2014,1,6.3,235000000
2014,2,-2.02,235000000
2014,3,3.86,236000000
2014,4,5.26,238000000
2014,5,2.54,278000000
2014,6,-4.62,270000000
2014,7,-5.83,268000000
2014,8,6.21,268000000
2014,9,3.24,268000000
2014,10,2.65,270000000
2014,11,3.41,269000000
2014,12,-2.13,268000000
2015,1,7.56,268000000
2015,2,-1.07,268000000
2015,3,1.72,250000000
2015,4,-4.86,250000000
2015,5,-0.56,250000000
2015,6,-4.04,150000000
2015,7,5.98,160000000
2015,8,0.84,160000000
2015,9,1.61,160000000
2015,10,-4.29,160000000
2015,11,1.71,160000000
2015,12,-1.62,160000000
2016,1,1.15,160000000
2016,2,-0.29,160000000
2016,3,-6.61,160000000
2016,4,-1.58,150000000
2016,5,-0.93,140000000
2016,6,4.96,140000000
2016,7,4.84,140000000
2016,8,-4.09,140000000
2016,9,3.26,140000000
2016,10,-2.95,140000000
2016,11,-1.02,140000000
2016,12,5.72,140000000
2017,1,1.96,110000000
2017,2,3.34,110000000
2017,3,-2.03,110000000
2017,4,-0.36,110000000
2017,5,-1.06,110000000
2017,6,-2.22,100000000
2017,7,5.84,100000000
2017,8,4.04,100000000
2017,9,-5.16,100000000
2017,10,5.1,100000000
2017,11,-0.68,100000000
2017,12,3.34,100000000
2018,1,1.42,100000000
2018,2,-5.17,100000000
2018,3,-3.65,100000000
2018,4,-1.19,100000000
2018,5,6.12,100000000
2018,6,-1.8,100000000
2018,7,-0.35,100000000
2018,8,-0.59,100000000
2018,9,-0.34,100000000
2018,10,-0.13,100000000
2018,11,-0.55,100000000
2018,12,0.01,100000000
2019,1,9.97,100000000
2019,2,1.56,100000000
2019,3,-0.97,100000000
2019,4,3.42,100000000
2019,5,-3.07,100000000
2019,6,8.43,100000000
2019,7,2.24,100000000
2019,8,4.73,100000000
2019,9,-4.41,100000000
2019,10,0.38,100000000
2019,11,-1.47,100000000
2019,12,-2.12,100000000
2020,1,7.02,100000000
2020,2,4.13,100000000
2020,3,4.22,100000000
2020,4,-1.42,100000000
