Year, Month, Return, Assets
2003,3,-0.79,20000000
2003,4,1.42,20000000
2003,5,5.49,20000000
2003,6,0.96,20000000
2003,7,-0.15,20000000
2003,8,2.28,20000000
2003,9,2.93,20000000
2003,10,0.63,20000000
2003,11,1.36,20000000
2003,12,1.91,20000000
2004,1,-0.24,30000000
2004,2,0.43,30000000
2004,3,5.95,30000000
2004,4,-0.81,30000000
2004,5,1.88,30000000
2004,6,0.5,30000000
2004,7,0.74,30000000
2004,8,4.07,30000000
2004,9,0.88,30000000
2004,10,2.52,30000000
2004,11,-0.77,30000000
2004,12,1.12,30000000
2005,1,-0.18,35000000
2005,2,3.48,35000000
2005,3,-0.04,35000000
2005,4,1.57,35000000
2005,5,0.94,35000000
2005,6,1.4,35000000
2005,7,2,35000000
2005,8,1.48,35000000
2005,9,4.57,35000000
2005,10,2.34,35000000
2005,11,1.29,35000000
2005,12,0.68,35000000
2006,1,3.81,45000000
2006,2,2.02,45000000
2006,3,1.1,45000000
2006,4,1.54,45000000
2006,5,1.67,45000000
2006,6,3.75,45000000
2006,7,6.25,45000000
2006,8,3.09,45000000
2006,9,1.87,45000000
2006,10,0.08,45000000
2006,11,1.79,45000000
2006,12,1.77,45000000
2007,1,2.19,50000000
2007,2,-1.57,50000000
2007,3,2.11,50000000
2007,4,0.38,50000000
2007,5,1.35,50000000
2007,6,0.73,50000000
2007,7,0.26,50000000
2007,8,3.39,50000000
2007,9,2.32,50000000
2007,10,2.69,50000000
2007,11,1.87,50000000
2007,12,1.34,50000000
2008,1,1.26,55000000
2008,2,2.19,55000000
2008,3,1.87,55000000
2008,4,-0.22,55000000
2008,5,0.27,55000000
2008,6,0.82,55000000
2008,7,1.3,55000000
2008,8,1.22,55000000
2008,9,2.6,55000000
2008,10,7.94,55000000
2008,11,2.78,55000000
2008,12,-1.22,55000000
2009,1,1.47,60000000
2009,2,1.14,60000000
2009,3,0.11,60000000
2009,4,-0.74,60000000
2009,5,0.55,60000000
2009,6,1.74,60000000
2009,7,-1.01,60000000
2009,8,-0.19,60000000
2009,9,0.58,60000000
2009,10,1.19,60000000
2009,11,0.51,60000000
2009,12,1.3,60000000
2010,1,-0.09,65000000
2010,2,2.51,65000000
2010,3,-0.7,65000000
2010,4,1.33,65000000
2010,5,3.99,65000000
2010,6,1.24,65000000
2010,7,-0.9,65000000
2010,8,0.45,65000000
2010,9,0.96,65000000
2010,10,-1.04,65000000
2010,11,1.54,65000000
2010,12,-2.22,65000000
2011,1,-0.34,70000000
2011,2,0.07,70000000
2011,3,1.08,70000000
2011,4,1.24,70000000
2011,5,0.99,70000000
2011,6,-1.03,70000000
2011,7,0.92,70000000
2011,8,-0.09,70000000
2011,9,0.09,70000000
2011,10,-0.16,70000000
2011,11,5.19,70000000
2011,12,0.03,70000000
2012,1,-0.04,75000000
2012,2,0.27,75000000
2012,3,-0.93,75000000
2012,4,0.94,75000000
2012,5,-3.04,75000000
2012,6,0.09,75000000
2012,7,0.03,75000000
2012,8,-1.63,75000000
2012,9,-1.75,75000000
2012,10,-1.48,75000000
2012,11,1.13,75000000
2012,12,0.64,75000000
2013,1,2.15,80000000
2013,2,2.31,80000000
2013,3,2.24,80000000
2013,4,3.68,80000000
2013,5,-1.18,80000000
2013,6,-6.82,80000000
2013,7,2.95,80000000
2013,8,-0.71,80000000
2013,9,0.25,80000000
2013,10,0.64,80000000
2013,11,0.64,80000000
2013,12,-1.34,80000000
2014,1,2.08,85000000
2014,2,2.06,85000000
2014,3,-1.82,85000000
2014,4,1.87,85000000
2014,5,6.54,85000000
2014,6,-1.48,85000000
2014,7,-0.88,85000000
2014,8,6.45,85000000
2014,9,-0.91,85000000
2014,10,-0.37,85000000
2014,11,5.44,85000000
2014,12,1.85,85000000
2015,1,8.31,90000000
2015,2,0.29,90000000
2015,3,-1.09,90000000
2015,4,-3.24,90000000
2015,5,-3.63,85000000
2015,6,-1.73,80000000
2015,7,-0.62,80000000
2015,8,-1.98,80000000
2015,9,-0.15,80000000
2015,10,-1.05,80000000
2015,11,0.58,80000000
2015,12,-0.73,80000000
2016,1,-0.67,80000000
2016,2,1.19,80000000
2016,3,1.3,80000000
2016,4,0.22,80000000
2016,5,-0.21,80000000
2016,6,2.29,80000000
2016,7,2.22,80000000
2016,8,-0.33,80000000
2016,9,0.47,80000000
2016,10,-2.87,80000000
2016,11,5.81,80000000
2016,12,0.96,80000000
2017,1,-0.46,80000000
2017,2,1.57,80000000
2017,3,2.71,80000000
2017,4,-0.29,80000000
2017,5,3.5,80000000
2017,6,-1.91,80000000
2017,7,2.32,80000000
2017,8,-0.19,80000000
2017,9,-1.11,80000000
2017,10,2,80000000
2017,11,1.65,80000000
2017,12,0.43,80000000
2018,1,3.79,50000000
2018,2,-3.84,50000000
2018,3,-4.23,50000000
2018,4,2.68,50000000
2018,5,0.12,50000000
2018,6,1.13,50000000
2018,7,0.27,50000000
2018,8,0.26,50000000
2018,9,-2.4,50000000
2018,10,0.07,50000000
2018,11,-0.13,50000000
2018,12,-0.11,50000000
2019,1,1.68,50000000
2019,2,-0.14,50000000
2019,3,5.52,50000000
2019,4,0.69,50000000
2019,5,0.64,50000000
2019,6,6.78,50000000
2019,7,0.81,50000000
2019,8,3.5,50000000
2019,9,-3.86,50000000
2019,10,-1.86,50000000
2019,11,0.86,50000000
2019,12,2.56,50000000
2020,1,3.51,50000000
2020,2,2.04,50000000
2020,3,5.59,50000000
2020,4,1.39,50000000
