Year, Month, Return, Assets
2005,8,-11.2,39856
2005,9,3.2,41200
2005,10,-6.67,38518
2005,11,-13.73,33284
2005,12,1.22,0
2006,1,13.99,38534
2006,2,47.51,71662
2006,3,3.85,75232
2006,4,-1.29,74384
2006,5,-8.15,68438
2006,6,6.85,73251
2006,7,-2.1,71835
2006,8,0.38,72226
2006,9,-6.03,67987
2006,10,-1.56,67039
2006,11,9.25,73670
2006,12,4.82,77745
2007,1,21.36,98137
2007,2,4.32,103605
2007,3,36.91,85797
2007,4,138.1,230709
2007,5,14.81,273886
2007,6,3.1,284961
2007,7,-24.2,115229
2007,8,77.52,216015
2007,9,-6.14,199768
2007,10,3,207595
2007,11,-1.45,204249
2007,12,13.44,238874
2008,1,-7.61,221059
2008,2,13.68,254730
2008,3,-26,185790
2008,4,45.19,277645
2008,5,4.93,295247
2008,6,19.32,386716
2008,7,-9.97,306067
2008,8,3.61,361892
2008,9,-5.92,297245
2008,10,-11.61,296163
2008,11,1.85,302127
2008,12,42.82,467749
2009,1,12.34,548165
2009,2,-0.7,543117
2009,3,16.32,655011
2009,4,-7.84,624659
2009,5,6.33,653512
2009,6,-4.81,624033
2009,7,4.9,571942
2009,8,-22.09,446343
2009,9,21.52,543417
2009,10,22.54,666076
2009,11,7.98,719320
2009,12,-14.97,592501
2010,1,-22.82,467228
2010,2,-6.26,355936
2010,3,2.96,340503
2010,4,4.54,355963
2010,5,-10.74,361139
2010,6,-1,357539
2010,7,4.86,374903
2010,8,6.98,401089
2010,9,6.1,425545
2010,10,-3.71,409764
2010,11,-2.66,398859
2010,12,-5.48,377003
2011,1,14.55,431869
2011,2,20.17,518989
2011,3,5.78,548998
2011,4,6.1,632426
2011,5,16.82,851712
2011,6,-7.88,835579
2011,7,33.75,1230647
2011,8,-13.89,1702171
2011,9,-4.32,2379218
2011,10,6.89,2945984
2011,11,-0.13,3042892
2011,12,-0.13,2167760
2012,1,0.12,3027610
2012,2,3.14,3122819
2012,3,-1.1,4175245
2012,4,-1.07,3924404
2012,5,3.42,4312839
2012,6,11.92,5092236
2012,7,-5.16,4537886
2012,8,1.67,5944298
2012,9,3.67,6609222
2012,10,-3.3,6589331
2012,11,-10.73,5917970
2012,12,-3.73,5464521
2013,1,-0.23,4829450
2013,2,0.77,4980358
2013,3,-0.12,5074448
2013,4,2.12,5386923
2013,5,1.42,5560648
2013,6,-10.8,4656690
2013,7,-0.31,4543085
2013,8,2.05,4500662
2013,9,-1.44,4380185
2013,10,7.59,4784940
2013,11,-1.4,4818669
2013,12,2.52,4788048
2014,1,17.07,5605372
2014,2,-0.8,5568523
2014,3,10.86,6162790
2014,4,-0.13,6154716
2014,5,-0.18,5745503
2014,6,-0.11,5709292
2014,7,0.91,6269266
2014,8,10.8,6946470
2014,9,1.64,7060388
2014,10,-0.19,6719568
2014,11,0.91,9177487
2014,12,1.53,9025306
2015,1,-0.68,8964035
2015,2,-0.5,8919248
2015,3,-0.22,8899746
2015,4,-0.09,8679798
2015,5,-0.38,10529755
2015,6,0.11,10512611
2015,7,-0.18,10249791
2015,8,-0.16,10427364
2015,9,-1.94,9230504
2015,10,-0.1,7741134
2015,11,-0.19,7337389
2015,12,0.85,7937974
2016,1,0.4,7969416
2016,2,-0.4,7740710
2016,3,-0.85,7678718
2016,4,1.59,7543369
2016,5,-0.17,7530529
2016,6,6.13,7991897
2016,7,1.37,8094441
2016,8,-0.92,7809707
2016,9,-0.16,7797504
2016,10,-0.24,7779019
2016,11,1.98,7258209
2016,12,1.22,6910258
2017,1,-1.61,6799344
2017,2,-0.15,6788891
2017,3,-0.12,6780614
2017,4,-0.72,7728295
2017,5,3.4,7970912
2017,6,-5.36,7737719
2017,7,0.74,7795341
2017,8,-4.22,7466378
2017,9,-0.12,6933877
2017,10,0.6,6584920
2017,11,-0.11,6108453
2017,12,-0.49,6071235
2018,1,0.34,6091964
2018,2,-0.19,5882944
2018,3,0.19,5173984
2018,4,0.47,5198221
2018,5,-1.33,4943621
2018,6,-2.61,4323241
2018,7,-0.15,4194094
2018,8,1.4,4058071
2018,9,-4.87,3737802
2018,10,-2.72,3195415
2018,11,-0.14,3009283
2018,12,-0.12,2902368
2019,1,-0.66,2883271
2019,2,0.26,2890624
2019,3,0.95,2918071
2019,4,2.54,2992317
2019,5,0.16,3097135
2019,6,2.2,3139811
2019,7,-0.03,2963378
2019,8,-1.07,2931815
2019,9,5.06,3080099
2019,10,8.37,3337941
2019,11,0.81,3364905
2019,12,0.28,3258212
2020,1,-0.15,3233445
2020,2,-0.25,3225200
2020,3,-3.65,2933000
2020,4,-0.07,2931000
