Year, Month, Return, Assets
2000,1,22.71,162000
2000,2,-4.41,155000
2000,3,-13.09,134000
2000,4,17.17,157000
2000,5,10.58,174000
2000,6,1.46,168000
2000,7,-6.54,157000
2000,8,27.79,201000
2000,9,-2.11,191000
2000,10,5.2,316000
2000,11,11.84,354000
2000,12,13.53,382000
2001,1,-1.05,378000
2001,2,6.3,533000
2001,3,7.45,565000
2001,4,-3.56,545000
2001,5,5.04,572000
2001,6,-6.1,725000
2001,7,-9.49,656000
2001,8,7.34,704000
2001,9,23.82,852000
2001,10,14.48,975000
2001,11,-17.32,806000
2001,12,-14.02,693000
2002,1,-4.38,663000
2002,2,-4.04,636000
2002,3,-1.13,629000
2002,4,-6.25,590000
2002,5,8.74,641000
2002,6,24.16,796000
2002,7,10.07,876000
2002,8,7.03,938000
2002,9,8.5,984000
2002,10,-15.01,852000
2002,11,-10.41,763000
2002,12,15.16,879000
2003,1,8.96,1175000
2003,2,14.17,1342000
2003,3,-25.64,998000
2003,4,7.03,1068000
2003,5,24.79,1333000
2003,6,-10.21,1196000
2003,7,-17.76,1148000
2003,8,-0.76,1140000
2003,9,-13.16,990000
2003,10,9.42,1083000
2003,11,-0.13,685000
2003,12,14.55,784000
2004,1,6.77,837000
2004,2,24.95,1026000
2004,3,0.38,1029000
2004,4,-6.67,960000
2004,5,-3.94,922000
2004,6,-9.12,838000
2004,7,-5.13,795000
2004,8,-1.08,787000
2004,9,11.67,878000
2004,10,11.42,979000
2004,11,8.62,1063000
2004,12,-0.95,1049000
2005,1,-10.07,943000
2005,2,0.95,952000
2005,3,5.37,1003000
2005,4,-16.02,842000
2005,5,-5.83,793000
2005,6,3.89,824000
2005,7,-3.21,798000
2005,8,-10.97,710000
2005,9,-2.46,693000
2005,10,-1.21,684000
2005,11,3.45,683000
2005,12,-1.48,579000
2006,1,-6.96,538000
2006,2,-4.33,515000
2006,3,17.2,604000
2006,4,35.54,818000
2006,5,17.12,958000
2006,6,-2.84,916000
2006,7,-5.56,865000
2006,8,-0.06,865000
2006,9,12.04,958000
2006,10,-6.95,892000
2006,11,3.44,923000
2006,12,-2.68,898000
2007,1,0.41,902000
2007,2,-12.99,784000
2007,3,-3.34,758000
2007,4,10.61,839000
2007,5,-4.2,803000
2007,6,-1.67,790000
2007,7,-8.45,723000
2007,8,-10.52,647000
2007,9,8.6,703000
2007,10,10.29,775000
2007,11,3.86,805000
2007,12,-4.53,769000
2008,1,6.78,821000
2008,2,9.77,901000
2008,3,5.55,948000
2008,4,-8.85,864000
2008,5,0.33,867000
2008,6,-7.53,801000
2008,7,-6.61,748000
2008,8,5.5,790000
2008,9,9.92,868000
2008,10,26.02,1069000
2008,11,14.33,1192000
2008,12,7.73,1266000
2009,1,-0.87,688000
2009,2,-2.19,673000
2009,3,-5.77,634000
2009,4,0,814000
2009,5,15.39,939000
2009,6,-17.78,772000
2009,7,-0.54,768000
2009,8,-0.64,763000
2009,9,6.17,810000
2009,10,-4.74,772000
2009,11,14.44,883000
2009,12,-12.12,952000
2010,1,-2.1,932000
2010,2,2.78,958000
2010,3,-3.66,923000
2010,4,-0.79,916000
2010,5,21.34,929000
2010,6,8.12,989000
2010,7,2.56,1010000
2010,8,10.52,1095000
2010,9,1.28,1106000
2010,10,6.94,1167000
2010,11,-10.2,1063000
2010,12,19.41,1237000
2011,1,4.86,745000
2011,2,8.81,797000
2011,3,1.24,805000
2011,4,4.58,1042000
2011,5,0.11,1163000
2011,6,-3.21,1569000
2011,7,5.82,1319000
2011,8,-0.63,1310000
2011,9,13.05,1450000
2011,10,-18.02,1189000
2011,11,1.22,1203000
2011,12,0.57,1210000
2012,1,2.56,1231000
2012,2,-0.34,1426000
2012,3,-5.28,1407000
2012,4,-6.46,1394000
2012,5,14.86,1598000
2012,6,-12.15,1408000
2012,7,6.53,1500000
2012,8,-12.96,1305000
2012,9,-0.69,1296000
2012,10,-0.52,1289000
2012,11,2.33,1319000
2012,12,8.19,1427000
2013,1,2.38,1459000
2013,2,8.35,1579000
2013,3,2.07,1610000
2013,4,-7.94,1668000
2013,5,6.99,1784000
2013,6,-7.29,1654000
2013,7,-8.03,1521000
2013,8,0.44,1528000
2013,9,-3.97,1467000
2013,10,0.51,1475000
2013,11,-3.17,1428000
2013,12,-0.1,1426000
2014,1,5.37,1503000
2014,2,4.04,1564000
2014,3,1.35,1585000
2014,4,1.92,1615000
2014,5,-11.04,1437000
2014,6,0.04,1438000
2014,7,8.14,1555000
2014,8,2.59,1595000
2014,9,25.36,1978000
2014,10,3.1,2030000
2014,11,9.48,2189000
2014,12,10.08,1872000
2015,1,6.58,1971000
2015,2,0.94,1146000
2015,3,5.31,1195000
2015,4,-6.36,1119000
2015,5,-4.27,1071000
2015,6,-0.77,1063000
2015,7,-3.24,765000
2015,8,0.34,497000
2015,9,2.44,509000
2015,10,-3.59,491000
2015,11,4.31,512000
2015,12,-0.6,754000
2016,1,-0.33,751000
2016,2,2.32,769000
2016,3,-2.64,748000
2016,4,1.76,761000
2016,5,-4.66,726000
2016,6,8.02,782000
2016,7,-2.81,760000
2016,8,0.85,767000
2016,9,-0.27,765000
2016,10,-2.38,747000
2016,11,3.56,773000
2016,12,-1.37,763000
2017,1,-5.91,906000
2017,2,-0.76,899000
2017,3,-1.18,1085000
2017,4,0.93,1096000
2017,5,0.73,1103000
2017,6,-0.31,1100000
2017,7,-0.27,1097000
2017,8,-0.5,1092000
2017,9,-4.23,1045000
2017,10,6.15,1110000
2017,11,-9.62,1003000
2017,12,-3.43,969000
2018,1,2.92,998000
2018,2,1.26,1010000
2018,3,-1.05,1000000
2018,4,1.9,1018000
2018,5,4.27,1062000
2018,6,-1.29,1048000
2018,7,-0.17,1046000
2018,8,3.63,1084000
2018,9,-0.27,1082000
2018,10,-2.94,1055000
2018,11,2.13,1077000
2018,12,-6.4,1008000
2019,1,0.74,1011000
2019,2,1.83,1030000
2019,3,-3.3,996000
2019,4,3.74,1033000
2019,5,-0.16,1031000
2019,6,-1.18,1019000
2019,7,-3.37,985000
2019,8,6.75,1051000
2019,9,-3.53,1014000
2019,10,-7.6,937000
2019,11,1.51,951000
2019,12,1.41,965000
2020,1,-5.88,918000
2020,2,-2.89,897000
2020,3,7.23,400000
2020,4,-3.41,213000
