Year, Month, Return, Assets
1999,11,-0.9,125000
1999,12,8.7,135000
2000,1,22.7,160000
2000,2,-4.4,155000
2000,3,-13.4,135000
2000,4,17.17,155000
2000,5,10.58,175000
2000,6,-3.39,180000
2000,7,-6.54,160000
2000,8,27.79,205000
2000,9,-4.94,200000
2000,10,5.2,320000
2000,11,11.84,360000
2000,12,7.82,410000
2001,1,-1.05,385000
2001,2,5.01,545000
2001,3,6.07,580000
2001,4,-3.56,555000
2001,5,4.89,585000
2001,6,-6.1,735000
2001,7,-9.49,670000
2001,8,7.34,720000
2001,9,20.94,890000
2001,10,14.48,990000
2001,11,-17.32,825000
2001,12,-14.02,710000
2002,1,-4.38,680000
2002,2,-4.04,655000
2002,3,-1.13,650000
2002,4,-6.25,610000
2002,5,8.74,660000
2002,6,24.16,820000
2002,7,10.07,900000
2002,8,7.03,960000
2002,9,4.97,1040000
2002,10,-15.01,875000
2002,11,-10.41,785000
2002,12,15.16,900000
2003,1,8.96,1200000
2003,2,14.17,1365000
2003,3,-25.64,1025000
2003,4,7.03,1095000
2003,5,24.79,1360000
2003,6,-10.23,1225000
2003,7,-17.76,1175000
2003,8,-0.76,1165000
2003,9,-13.16,1015000
2003,10,9.42,1110000
2003,11,-0.13,710000
2003,12,14.46,810000
2004,1,6.79,865000
2004,2,22.58,1070000
2004,3,0.3,1055000
2004,4,-6.69,985000
2004,5,-3.95,950000
2004,6,-9.15,865000
2004,7,-5.14,825000
2004,8,-1.09,815000
2004,9,11.72,905000
2004,10,11.46,1010000
2004,11,8.65,1095000
2004,12,-1.37,1085000
2005,1,-10.1,975000
2005,2,0.96,985000
2005,3,5.39,1035000
2005,4,-16.07,875000
2005,5,5.85,830000
2005,6,3.91,860000
2005,7,-3.22,835000
2005,8,-11.01,750000
2005,9,-2.48,730000
2005,10,-1.22,725000
2005,11,3.46,725000
2005,12,-1.49,615000
2006,1,-7,580000
2006,2,-4.35,555000
2006,3,17.3,645000
2006,4,35.72,865000
2006,5,17.18,1005000
2006,6,-4.4,975000
2006,7,-5.58,910000
2006,8,-0.06,915000
2006,9,10.86,1020000
2006,10,-6.98,945000
2006,11,3.46,980000
2006,12,-2.69,955000
2007,1,0.41,960000
2007,2,-13.04,845000
2007,3,-3.36,820000
2007,4,10.66,900000
2007,5,-4.21,870000
2007,6,-1.67,860000
2007,7,-8.48,790000
2007,8,-10.56,720000
2007,9,8.64,775000
2007,10,10.33,850000
2007,11,3.87,885000
2007,12,-4.55,845000
2008,1,6.81,900000
2008,2,9.81,980000
2008,3,5.19,1030000
2008,4,-8.88,945000
2008,5,0.33,950000
2008,6,-7.56,885000
2008,7,-6.64,830000
